date,event,detail,ref_period,time_et,source
2000-01-05,nfp,Employment Situation release,December 2000,08:30,bls:sched2000
2000-01-07,nfp,Employment Situation release,December 1999,08:30,bls:sched2000
2000-01-12,ppi,Producer Price Indexes release,December 2000,08:30,bls:sched2000
2000-01-13,ppi,Producer Price Indexes release,December 1999,08:30,bls:sched2000
2000-01-14,cpi,Consumer Price Index release,December 1999,08:30,bls:sched2000
2000-01-17,cpi,Consumer Price Index release,December 2000,08:30,bls:sched2000
2000-01-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-01-21,opex,monthly options expiration,,16:00,computed
2000-02-02,fomc_decision,February 1-2 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-02-04,nfp,Employment Situation release,January 2000,08:30,bls:sched2000
2000-02-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-02-17,ppi,Producer Price Indexes release,January 2000,08:30,bls:sched2000
2000-02-18,cpi,Consumer Price Indexes release,January 2000,08:30,bls:sched2000
2000-02-18,opex,monthly options expiration,,16:00,computed
2000-03-03,nfp,Employment Situation release,February 2000,08:30,bls:sched2000
2000-03-16,ppi,Producer Price Indexes release,February 2000,08:30,bls:sched2000
2000-03-17,cpi,Consumer Price Index release,February 2000,08:30,bls:sched2000
2000-03-17,opex,quad witching,,16:00,computed
2000-03-17,quad_witching,quad witching,,16:00,computed
2000-03-21,fomc_decision,March 21 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-03-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-03-23,fomc_minutes,minutes of 2000-02-02 meeting,,14:00,fed:fomchistorical2000
2000-04-07,nfp,Employment Situation release,March 2000,08:30,bls:sched2000
2000-04-13,ppi,Producer Price Indexes release,March 2000,08:30,bls:sched2000
2000-04-14,cpi,Consumer Price Index release,March 2000,08:30,bls:sched2000
2000-04-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-04-20,opex,monthly options expiration,,16:00,computed
2000-05-05,nfp,Employment Situation release,April 2000,08:30,bls:sched2000
2000-05-12,ppi,Producer Price Indexes release,April 2000,08:30,bls:sched2000
2000-05-16,cpi,Consumer Price Index release,April 2000,08:30,bls:sched2000
2000-05-16,fomc_decision,May 16 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-05-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-05-18,fomc_minutes,minutes of 2000-03-21 meeting,,14:00,fed:fomchistorical2000
2000-05-19,opex,monthly options expiration,,16:00,computed
2000-06-02,nfp,Employment Situation release,May 2000,08:30,bls:sched2000
2000-06-09,ppi,Producer Price Indexes release,May 2000,08:30,bls:sched2000
2000-06-14,cpi,Consumer Price Index release,May 2000,08:30,bls:sched2000
2000-06-16,opex,quad witching,,16:00,computed
2000-06-16,quad_witching,quad witching,,16:00,computed
2000-06-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-06-28,fomc_decision,June 27-28 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-06-29,fomc_minutes,minutes of 2000-05-16 meeting,,14:00,fed:fomchistorical2000
2000-07-07,nfp,Employment Situation release,June 2000,08:30,bls:sched2000
2000-07-14,ppi,Producer Price Indexes release,June 2000,08:30,bls:sched2000
2000-07-18,cpi,Consumer Price Index release,June 2000,08:30,bls:sched2000
2000-07-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-07-21,opex,monthly options expiration,,16:00,computed
2000-08-04,nfp,Employment Situation release,July 2000,08:30,bls:sched2000
2000-08-11,ppi,Producer Price Indexes release,July 2000,08:30,bls:sched2000
2000-08-16,cpi,Consumer Price Index release,July 2000,08:30,bls:sched2000
2000-08-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-08-18,opex,monthly options expiration,,16:00,computed
2000-08-22,fomc_decision,August 22 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-08-24,fomc_minutes,minutes of 2000-06-28 meeting,,14:00,fed:fomchistorical2000
2000-08-25,jackson_hole,"Jackson Hole symposium Aug 24-26, 2000",2000,10:00,manual:kcfed
2000-09-01,nfp,Employment Situation release,August 2000,08:30,bls:sched2000
2000-09-14,ppi,Producer Price Indexes release,August 2000,08:30,bls:sched2000
2000-09-15,cpi,Consumer Price Index release,August 2000,08:30,bls:sched2000
2000-09-15,opex,quad witching,,16:00,computed
2000-09-15,quad_witching,quad witching,,16:00,computed
2000-09-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-10-03,fomc_decision,October 3 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-10-05,fomc_minutes,minutes of 2000-08-22 meeting,,14:00,fed:fomchistorical2000
2000-10-06,nfp,Employment Situation release,September 2000,08:30,bls:sched2000
2000-10-13,ppi,Producer Price Indexes release,September 2000,08:30,bls:sched2000
2000-10-18,cpi,Consumer Price Index release,September 2000,08:30,bls:sched2000
2000-10-18,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-10-20,opex,monthly options expiration,,16:00,computed
2000-11-03,nfp,Employment Situation release,October 2000,08:30,bls:sched2000
2000-11-07,election,US general election (presidential),,,computed
2000-11-09,ppi,Producer Price Indexes release,October 2000,08:30,bls:sched2000
2000-11-15,fomc_decision,November 15 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-11-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-11-16,cpi,Consumer Price Index release,October 2000,08:30,bls:sched2000
2000-11-16,fomc_minutes,minutes of 2000-10-03 meeting,,14:00,fed:fomchistorical2000
2000-11-17,opex,monthly options expiration,,16:00,computed
2000-12-08,nfp,Employment Situation release,November 2000,08:30,bls:sched2000
2000-12-14,ppi,Producer Price Indexes release,November 2000,08:30,bls:sched2000
2000-12-15,cpi,Consumer Price Index release,November 2000,08:30,bls:sched2000
2000-12-15,opex,quad witching,,16:00,computed
2000-12-15,quad_witching,quad witching,,16:00,computed
2000-12-19,fomc_decision,December 19 Meeting - 2000,,14:15,fed:fomchistorical2000
2000-12-20,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2000-12-21,fomc_minutes,minutes of 2000-11-15 meeting,,14:00,fed:fomchistorical2000
2001-01-03,fomc_intermeeting,surprise 50bp cut,,,manual
2001-01-04,nfp,Employment Situation release,December 2001,08:30,bls:sched2001
2001-01-11,ppi,Producer Price Indexes release,December 2001,08:30,bls:sched2001
2001-01-16,cpi,Consumer Price Index release,December 2001,08:30,bls:sched2001
2001-01-17,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2001-01-19,opex,monthly options expiration,,16:00,computed
2001-01-31,fomc_decision,January 30-31 Meeting - 2001,,14:15,fed:fomchistorical2001
2001-02-01,fomc_minutes,minutes of 2000-12-19 meeting,,14:00,fed:fomchistorical2000
2001-02-02,nfp,Employment Situation release,January 2001,08:30,bls:sched2001
2001-02-14,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2001-02-16,opex,monthly options expiration,,16:00,computed
2001-02-16,ppi,Producer Price Indexes release,January 2001,08:30,bls:sched2001
2001-02-21,cpi,Consumer Price Indexes release,January 2001,08:30,bls:sched2001
2001-03-09,nfp,Employment Situation release,February 2001,08:30,bls:sched2001
2001-03-16,opex,quad witching,,16:00,computed
2001-03-16,ppi,Producer Price Indexes release,February 2001,08:30,bls:sched2001
2001-03-16,quad_witching,quad witching,,16:00,computed
2001-03-20,fomc_decision,March 20 Meeting - 2001,,14:15,fed:fomchistorical2001
2001-03-21,cpi,Consumer Price Index release,February 2001,08:30,bls:sched2001
2001-03-21,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
