ticker,beta_2y,label
A,0.982,neutral
AAPL,1.165,risk_on
ABBV,0.334,risk_off
ABNB,1.279,risk_on
ABT,0.211,risk_off
ACGL,0.395,risk_off
ACN,0.781,risk_off
ADBE,0.934,risk_on
ADI,1.571,risk_on
ADM,0.343,risk_off
ADP,0.534,risk_off
ADSK,1.047,neutral
AEE,0.147,risk_off
AEP,0.025,risk_off
AES,0.939,neutral
AFL,0.402,risk_off
AIG,0.572,risk_off
AIZ,0.626,risk_off
AJG,0.306,risk_off
AKAM,1.025,neutral
ALB,1.709,risk_on
ALGN,1.298,risk_on
ALL,0.358,risk_off
ALLE,0.631,risk_off
AMAT,1.828,risk_on
AMCR,0.469,risk_off
AMD,2.111,risk_on
AME,0.762,risk_off
AMGN,0.505,risk_off
AMP,1.08,neutral
AMT,-0.006,risk_off
AMZN,1.362,risk_on
ANET,1.811,risk_on
AON,0.306,risk_off
AOS,0.599,risk_off
APA,1.27,risk_on
APD,0.648,risk_off
APH,1.399,risk_on
APTV,1.168,risk_on
ARE,0.775,risk_off
ATO,0.162,risk_off
AVB,0.576,risk_off
AVGO,2.056,risk_on
AVY,0.589,risk_off
AWK,-0.143,risk_off
AXP,1.237,risk_on
AZO,0.222,risk_off
BA,1.062,risk_on
BAC,0.93,risk_on
BAX,0.789,risk_off
BBWI,1.443,risk_on
BBY,1.182,risk_on
BDX,0.462,risk_off
BEN,0.999,neutral
BF-B,0.413,risk_off
BG,0.369,risk_off
BIIB,0.586,risk_off
BIO,0.922,neutral
BK,0.839,neutral
BKNG,1.006,risk_on
BKR,1.037,neutral
BLDR,1.199,risk_on
BLK,1.037,risk_on
BMY,0.252,risk_off
BR,0.575,risk_off
BRK-B,0.468,risk_off
BRO,0.342,risk_off
BSX,0.621,risk_off
BWA,0.926,neutral
BX,1.493,risk_on
BXP,0.964,neutral
C,1.25,risk_on
CAG,0.026,risk_off
CAH,0.278,risk_off
CARR,1.106,risk_on
CAT,1.176,risk_on
CB,0.221,risk_off
CBOE,-0.236,risk_off
CBRE,0.964,neutral
CCI,0.128,risk_off
CCL,1.701,risk_on
CDNS,1.502,risk_on
CDW,1.072,neutral
CE,1.479,risk_on
CEG,1.686,risk_on
CF,0.39,risk_off
CFG,1.155,risk_on
CHD,0.016,risk_off
CHRW,0.634,risk_off
CHTR,0.76,risk_off
CI,0.151,risk_off
CINF,0.566,risk_off
CL,0.011,risk_off
CLX,0.171,risk_off
CMCSA,0.552,risk_off
CME,-0.07,risk_off
CMG,0.901,risk_on
CMI,1.131,risk_on
CMS,0.05,risk_off
CNC,0.206,risk_off
CNP,0.162,risk_off
COF,1.376,risk_on
COO,0.721,risk_off
COP,0.764,neutral
COR,0.033,risk_off
COST,0.55,risk_off
CPAY,1.243,risk_on
CPB,0.065,risk_off
CPRT,0.664,risk_off
CPT,0.498,risk_off
CRL,1.401,risk_on
CRM,1.122,risk_on
CRWD,1.642,risk_on
CSCO,0.841,neutral
CSGP,0.863,neutral
CSX,0.695,risk_off
CTAS,0.634,risk_off
CTRA,0.624,neutral
CTSH,0.858,neutral
CTVA,0.623,risk_off
CVS,0.326,risk_off
CVX,0.57,risk_off
CZR,1.597,risk_on
D,0.185,risk_off
DAL,1.657,risk_on
DAY,1.114,risk_on
DD,1.165,risk_on
DE,0.705,risk_off
DECK,1.343,risk_on
DG,0.004,risk_off
DGX,0.226,risk_off
DHI,0.597,risk_on
DHR,0.848,neutral
DIS,0.918,risk_on
DLR,0.816,neutral
DLTR,0.566,risk_off
DOV,1.01,neutral
DOW,1.202,risk_on
DPZ,0.59,risk_off
DRI,0.578,risk_off
DTE,0.193,risk_off
