Date,Event
1995-01-06,NFP
1995-02-03,NFP
1995-03-10,NFP
1995-04-07,NFP
1995-05-05,NFP
1995-06-02,NFP
1995-07-07,NFP
1995-08-04,NFP
1995-09-01,NFP
1995-10-06,NFP
1995-11-03,NFP
1995-12-08,NFP
1996-01-05,NFP
1996-02-02,NFP
1996-03-08,NFP
1996-04-05,NFP
1996-05-03,NFP
1996-06-07,NFP
1996-07-05,NFP
1996-08-02,NFP
1996-09-06,NFP
1996-10-04,NFP
1996-11-01,NFP
1996-12-06,NFP
1997-01-10,NFP
1997-02-07,NFP
1997-03-07,NFP
1997-04-04,NFP
1997-05-02,NFP
1997-06-06,NFP
1997-07-03,NFP
1997-08-01,NFP
1997-09-05,NFP
1997-10-03,NFP
1997-11-07,NFP
1997-12-05,NFP
1998-01-09,NFP
1998-02-06,NFP
1998-03-06,NFP
1998-04-03,NFP
1998-05-08,NFP
1998-06-05,NFP
1998-07-02,NFP
1998-08-07,NFP
1998-09-04,NFP
1998-10-02,NFP
1998-11-06,NFP
1998-12-04,NFP
1999-01-08,NFP
1999-02-05,NFP
1999-03-05,NFP
1999-04-02,NFP
1999-05-07,NFP
1999-06-04,NFP
1999-07-02,NFP
1999-08-06,NFP
1999-09-03,NFP
1999-10-08,NFP
1999-11-05,NFP
1999-12-03,NFP
2000-01-07,NFP
2000-02-04,NFP
2000-03-03,NFP
2000-04-07,NFP
2000-05-05,NFP
2000-06-02,NFP
2000-07-07,NFP
2000-08-04,NFP
2000-09-01,NFP
2000-10-06,NFP
2000-11-03,NFP
2000-12-08,NFP
2001-01-05,NFP
2001-02-02,NFP
2001-03-09,NFP
2001-04-06,NFP
2001-05-04,NFP
2001-06-01,NFP
2001-07-06,NFP
2001-08-03,NFP
2001-09-07,NFP
2001-10-05,NFP
2001-11-02,NFP
2001-12-07,NFP
2002-01-04,NFP
2002-02-01,NFP
2002-03-08,NFP
2002-04-05,NFP
2002-05-03,NFP
2002-06-07,NFP
2002-07-05,NFP
2002-08-02,NFP
2002-09-06,NFP
2002-10-04,NFP
2002-11-01,NFP
2002-12-06,NFP
2003-01-10,NFP
2003-02-07,NFP
2003-03-07,NFP
2003-04-04,NFP
2003-05-02,NFP
2003-06-06,NFP
2003-07-03,NFP
2003-08-01,NFP
2003-09-05,NFP
2003-10-03,NFP
2003-11-07,NFP
2003-12-05,NFP
2004-01-09,NFP
2004-02-06,NFP
2004-03-05,NFP
2004-04-02,NFP
2004-05-07,NFP
2004-06-04,NFP
2004-07-02,NFP
2004-08-06,NFP
2004-09-03,NFP
2004-10-08,NFP
2004-11-05,NFP
2004-12-03,NFP
2005-01-07,NFP
2005-02-04,NFP
2005-03-04,NFP
2005-04-01,NFP
2005-05-06,NFP
2005-06-03,NFP
2005-07-08,NFP
2005-08-05,NFP
2005-09-02,NFP
2005-10-07,NFP
2005-11-04,NFP
2005-12-02,NFP
2006-01-06,NFP
2006-02-03,NFP
2006-03-10,NFP
2006-04-07,NFP
2006-05-05,NFP
2006-06-02,NFP
2006-07-07,NFP
2006-08-04,NFP
2006-09-01,NFP
2006-10-06,NFP
2006-11-03,NFP
2006-12-08,NFP
2007-01-05,NFP
2007-02-02,NFP
2007-03-09,NFP
2007-04-06,NFP
2007-05-04,NFP
2007-06-01,NFP
2007-07-06,NFP
2007-08-03,NFP
2007-09-07,NFP
2007-10-05,NFP
2007-11-02,NFP
2007-12-07,NFP
2008-01-04,NFP
2008-02-01,NFP
2008-03-07,NFP
2008-04-04,NFP
2008-05-02,NFP
2008-06-06,NFP
2008-07-03,NFP
2008-08-01,NFP
2008-09-05,NFP
2008-10-03,NFP
2008-11-07,NFP
2008-12-05,NFP
2009-01-09,NFP
2009-02-06,NFP
2009-03-06,NFP
2009-04-03,NFP
2009-05-08,NFP
2009-06-05,NFP
2009-07-02,NFP
2009-08-07,NFP
2009-09-04,NFP
2009-10-02,NFP
2009-11-06,NFP
2009-12-04,NFP
2010-01-08,NFP
2010-02-05,NFP
2010-03-05,NFP
2010-04-02,NFP
2010-05-07,NFP
2010-06-04,NFP
2010-07-02,NFP
2010-08-06,NFP
2010-09-03,NFP
2010-10-08,NFP
2010-11-05,NFP
2010-12-03,NFP
2011-01-07,NFP
2011-02-04,NFP
2011-03-04,NFP
2011-04-01,NFP
2011-05-06,NFP
2011-06-03,NFP
2011-07-08,NFP
2011-08-05,NFP
2011-09-02,NFP
2011-10-07,NFP
2011-11-04,NFP
2011-12-02,NFP
2012-01-06,NFP
2012-02-03,NFP
2012-03-09,NFP
2012-04-06,NFP
2012-05-04,NFP
2012-06-01,NFP
2012-07-06,NFP
2012-08-03,NFP
2012-09-07,NFP
2012-10-05,NFP
2012-11-02,NFP
2012-12-07,NFP
2013-01-04,NFP
2013-02-01,NFP
2013-03-08,NFP
2013-04-05,NFP
2013-05-03,NFP
2013-06-07,NFP
2013-07-05,NFP
2013-08-02,NFP
2013-09-06,NFP
2013-10-04,NFP
2013-11-08,NFP
2013-12-06,NFP
2014-01-10,NFP
2014-02-07,NFP
2014-03-07,NFP
2014-04-04,NFP
2014-05-02,NFP
2014-06-06,NFP
2014-07-03,NFP
2014-08-01,NFP
2014-09-05,NFP
2014-10-03,NFP
2014-11-07,NFP
2014-12-05,NFP
2015-01-09,NFP
2015-02-06,NFP
2015-03-06,NFP
2015-04-03,NFP
2015-05-08,NFP
2015-06-05,NFP
2015-07-02,NFP
2015-08-07,NFP
2015-09-04,NFP
2015-10-02,NFP
2015-11-06,NFP
2015-12-04,NFP
2016-01-08,NFP
2016-02-05,NFP
2016-03-04,NFP
2016-04-01,NFP
2016-05-06,NFP
2016-06-03,NFP
2016-07-08,NFP
2016-08-05,NFP
2016-09-02,NFP
2016-10-07,NFP
2016-11-04,NFP
2016-12-02,NFP
2017-01-06,NFP
2017-02-03,NFP
2017-03-10,NFP
2017-04-07,NFP
2017-05-05,NFP
2017-06-02,NFP
2017-07-07,NFP
2017-08-04,NFP
2017-09-01,NFP
2017-10-06,NFP
2017-11-03,NFP
2017-12-08,NFP
2018-01-05,NFP
2018-02-02,NFP
2018-03-09,NFP
2018-04-06,NFP
2018-05-04,NFP
2018-06-01,NFP
2018-07-06,NFP
2018-08-03,NFP
2018-09-07,NFP
2018-10-05,NFP
2018-11-02,NFP
2018-12-07,NFP
2019-01-04,NFP
2019-02-01,NFP
2019-03-08,NFP
2019-04-05,NFP
2019-05-03,NFP
2019-06-07,NFP
2019-07-05,NFP
2019-08-02,NFP
2019-09-06,NFP
2019-10-04,NFP
2019-11-01,NFP
2019-12-06,NFP
2020-01-10,NFP
2020-02-07,NFP
2020-03-06,NFP
2020-04-03,NFP
2020-05-08,NFP
2020-06-05,NFP
2020-07-02,NFP
2020-08-07,NFP
2020-09-04,NFP
2020-10-02,NFP
2020-11-06,NFP
2020-12-04,NFP
2021-01-08,NFP
2021-02-05,NFP
2021-03-05,NFP
2021-04-02,NFP
2021-05-07,NFP
2021-06-04,NFP
2021-07-02,NFP
2021-08-06,NFP
2021-09-03,NFP
2021-10-08,NFP
2021-11-05,NFP
2021-12-03,NFP
2022-01-07,NFP
2022-02-04,NFP
2022-03-04,NFP
2022-04-01,NFP
2022-05-06,NFP
2022-06-03,NFP
2022-07-08,NFP
2022-08-05,NFP
2022-09-02,NFP
2022-10-07,NFP
2022-11-04,NFP
2022-12-02,NFP
2023-01-06,NFP
2023-02-03,NFP
2023-03-10,NFP
2023-04-07,NFP
2023-05-05,NFP
2023-06-02,NFP
2023-07-07,NFP
2023-08-04,NFP
2023-09-01,NFP
2023-10-06,NFP
2023-11-03,NFP
2023-12-08,NFP
2024-01-05,NFP
2024-02-02,NFP
2024-03-01,NFP
2024-04-05,NFP
2024-05-03,NFP
2024-06-07,NFP
2024-07-05,NFP
2024-08-02,NFP
2024-09-06,NFP
2024-10-04,NFP
2024-11-01,NFP
2024-12-06,NFP
1995-01-31,FOMC
1995-03-28,FOMC
1995-05-23,FOMC
1995-07-05,FOMC
1995-08-22,FOMC
1995-09-26,FOMC
1995-11-15,FOMC
1995-12-19,FOMC
1996-01-30,FOMC
1996-03-26,FOMC
1996-05-21,FOMC
1996-07-02,FOMC
1996-08-20,FOMC
1996-09-24,FOMC
