month,month_end,month_end_weekday,month_end_is_friday,settlement_days,settlement_regime,entry_offset,entry_date,exit_date,hold_sessions,entry_close,exit_close,pressure_5d,gross_return,cost_bps,net_return,year,sample
2000-01,2000-01-31,Monday,False,3,T+3,-4,2000-01-25,2000-01-28,3,89.1687774658,85.3600769043,-0.0265747128,-0.0427133877,4.0000000000,-0.0431133877,2000,paper_era_through_2013
2000-02,2000-02-29,Tuesday,False,3,T+3,-4,2000-02-23,2000-02-28,3,85.7920532227,85.5171508789,-0.0320076310,-0.0032042868,4.0000000000,-0.0036042868,2000,paper_era_through_2013
2000-03,2000-03-31,Friday,True,3,T+3,-4,2000-03-27,2000-03-30,3,95.6936187744,93.6466522217,0.0393335341,-0.0213908365,4.0000000000,-0.0217908365,2000,paper_era_through_2013
2000-04,2000-04-28,Friday,True,3,T+3,-4,2000-04-24,2000-04-27,3,89.5921630859,91.9540328979,0.0459555015,0.0263624600,4.0000000000,0.0259624600,2000,paper_era_through_2013
2000-05,2000-05-31,Wednesday,False,3,T+3,-4,2000-05-24,2000-05-30,3,88.3325500488,89.7496032715,-0.0338000298,0.0160422542,4.0000000000,0.0156422542,2000,paper_era_through_2013
2000-06,2000-06-30,Friday,True,3,T+3,-4,2000-06-26,2000-06-29,3,92.3185119629,91.0262908936,-0.0150488582,-0.0139974209,4.0000000000,-0.0143974209,2000,paper_era_through_2013
2000-07,2000-07-31,Monday,False,3,T+3,-4,2000-07-25,2000-07-28,3,92.9990844727,89.7044677734,-0.0163795845,-0.0354263348,4.0000000000,-0.0358263348,2000,paper_era_through_2013
2000-08,2000-08-31,Thursday,False,3,T+3,-4,2000-08-25,2000-08-30,3,95.4848709106,94.9127578735,0.0104386377,-0.0059916616,4.0000000000,-0.0063916616,2000,paper_era_through_2013
2000-09,2000-09-29,Friday,True,3,T+3,-4,2000-09-25,2000-09-28,3,91.2945327759,91.7691955566,-0.0028086161,0.0051992465,4.0000000000,0.0047992465,2000,paper_era_through_2013
2000-10,2000-10-31,Tuesday,False,3,T+3,-4,2000-10-25,2000-10-30,3,86.2709426880,88.9409713745,0.0153630193,0.0309493394,4.0000000000,0.0305493394,2000,paper_era_through_2013
2000-11,2000-11-30,Thursday,False,3,T+3,-4,2000-11-24,2000-11-29,3,85.3413925171,84.4513702393,-0.0184260969,-0.0104289636,4.0000000000,-0.0108289636,2000,paper_era_through_2013
2000-12,2000-12-29,Friday,True,3,T+3,-4,2000-12-22,2000-12-28,3,83.1233367920,84.8889846802,-0.0002380311,0.0212413019,4.0000000000,0.0208413019,2000,paper_era_through_2013
2001-01,2001-01-31,Wednesday,False,3,T+3,-4,2001-01-25,2001-01-30,3,86.3570098877,87.4799118042,0.0092742962,0.0130030199,4.0000000000,0.0126030199,2001,paper_era_through_2013
2001-02,2001-02-28,Wednesday,False,3,T+3,-4,2001-02-22,2001-02-27,3,79.8682556152,80.2681884766,-0.0473267432,0.0050074070,4.0000000000,0.0046074070,2001,paper_era_through_2013
2001-03,2001-03-30,Friday,True,3,T+3,-4,2001-03-26,2001-03-29,3,73.8006057739,73.5078125000,-0.0120156236,-0.0039673560,4.0000000000,-0.0043673560,2001,paper_era_through_2013
2001-04,2001-04-30,Monday,False,3,T+3,-4,2001-04-24,2001-04-27,3,77.3907394409,80.0641860962,0.0194533896,0.0345447876,4.0000000000,0.0341447876,2001,paper_era_through_2013
2001-05,2001-05-31,Thursday,False,3,T+3,-4,2001-05-24,2001-05-30,3,82.5149154663,79.7586593628,0.0037167252,-0.0334031258,4.0000000000,-0.0338031258,2001,paper_era_through_2013
2001-06,2001-06-29,Friday,True,3,T+3,-4,2001-06-25,2001-06-28,3,77.7001724243,77.9746780396,0.0037931833,0.0035328830,4.0000000000,0.0031328830,2001,paper_era_through_2013
2001-07,2001-07-31,Tuesday,False,3,T+3,-4,2001-07-25,2001-07-30,3,76.0276947021,77.1448287964,-0.0157843269,0.0146937783,4.0000000000,0.0142937783,2001,paper_era_through_2013
2001-08,2001-08-31,Friday,True,3,T+3,-4,2001-08-27,2001-08-30,3,75.5233993530,72.3380279541,0.0040733985,-0.0421772779,4.0000000000,-0.0425772779,2001,paper_era_through_2013
2001-09,2001-09-28,Friday,True,3,T+3,-4,2001-09-24,2001-09-27,3,64.5232391357,65.5291900635,-0.0308930423,0.0155905212,4.0000000000,0.0151905212,2001,paper_era_through_2013
2001-10,2001-10-31,Wednesday,False,3,T+3,-4,2001-10-25,2001-10-30,3,70.8474044800,68.0217208862,0.0293237371,-0.0398840806,4.0000000000,-0.0402840806,2001,paper_era_through_2013
2001-11,2001-11-30,Friday,True,3,T+3,-4,2001-11-26,2001-11-29,3,74.2818222046,73.6026306152,0.0137283753,-0.0091434428,4.0000000000,-0.0095434428,2001,paper_era_through_2013
2001-12,2001-12-31,Monday,False,3,T+3,-4,2001-12-24,2001-12-28,3,73.7657623291,74.5823135376,0.0072143254,0.0110695149,4.0000000000,0.0106695149,2001,paper_era_through_2013
2002-01,2002-01-31,Thursday,False,3,T+3,-4,2002-01-25,2002-01-30,3,73.0071029663,71.9269332886,-0.0010558182,-0.0147954053,4.0000000000,-0.0151954053,2002,paper_era_through_2013
2002-02,2002-02-28,Thursday,False,3,T+3,-4,2002-02-22,2002-02-27,3,70.4931488037,71.7855148315,-0.0215954332,0.0183332146,4.0000000000,0.0179332146,2002,paper_era_through_2013
2002-03,2002-03-28,Thursday,False,3,T+3,-4,2002-03-22,2002-03-27,3,74.1769790649,73.8739471436,-0.0138016694,-0.0040852556,4.0000000000,-0.0044852556,2002,paper_era_through_2013
2002-04,2002-04-30,Tuesday,False,3,T+3,-4,2002-04-24,2002-04-29,3,70.5468063354,68.9026031494,-0.0314267686,-0.0233065573,4.0000000000,-0.0237065573,2002,paper_era_through_2013
2002-05,2002-05-31,Friday,True,3,T+3,-4,2002-05-24,2002-05-30,3,70.0825042725,68.9928283691,-0.0199284385,-0.0155484727,4.0000000000,-0.0159484727,2002,paper_era_through_2013
2002-06,2002-06-28,Friday,True,3,T+3,-4,2002-06-24,2002-06-27,3,64.5755615234,64.3361358643,-0.0381354844,-0.0037076822,4.0000000000,-0.0041076822,2002,paper_era_through_2013
2002-07,2002-07-31,Wednesday,False,3,T+3,-4,2002-07-25,2002-07-30,3,54.3521575928,58.8426742554,-0.0432802758,0.0826189219,4.0000000000,0.0822189219,2002,paper_era_through_2013
2002-08,2002-08-30,Friday,True,3,T+3,-4,2002-08-26,2002-08-29,3,61.6379699707,59.6191329956,-0.0014673921,-0.0327531386,4.0000000000,-0.0331531386,2002,paper_era_through_2013
2002-09,2002-09-30,Monday,False,3,T+3,-4,2002-09-24,2002-09-27,3,53.4973983765,53.7833938599,-0.0586476875,0.0053459699,4.0000000000,0.0049459699,2002,paper_era_through_2013
2002-10,2002-10-31,Thursday,False,3,T+3,-4,2002-10-25,2002-10-30,3,58.6255264282,58.1250534058,0.0175994307,-0.0085367766,4.0000000000,-0.0089367766,2002,paper_era_through_2013
2002-11,2002-11-29,Friday,True,3,T+3,-4,2002-11-22,2002-11-27,3,60.7183456421,61.2772827148,0.0221005455,0.0092054068,4.0000000000,0.0088054068,2002,paper_era_through_2013
2002-12,2002-12-31,Tuesday,False,3,T+3,-4,2002-12-24,2002-12-30,3,58.3584556580,57.5485267639,-0.0116774420,-0.0138785183,4.0000000000,-0.0142785183,2002,paper_era_through_2013
2003-01,2003-01-31,Friday,True,3,T+3,-4,2003-01-27,2003-01-30,3,55.6478691101,55.1449584961,-0.0602254350,-0.0090373742,4.0000000000,-0.0094373742,2003,paper_era_through_2013
2003-02,2003-02-28,Friday,True,3,T+3,-4,2003-02-24,2003-02-27,3,54.7335014343,55.0861892700,-0.0041588758,0.0064437287,4.0000000000,0.0060437287,2003,paper_era_through_2013
2003-03,2003-03-31,Monday,False,3,T+3,-4,2003-03-25,2003-03-28,3,57.3936614990,56.8625144958,0.0066773467,-0.0092544541,4.0000000000,-0.0096544541,2003,paper_era_through_2013
2003-04,2003-04-30,Wednesday,False,3,T+3,-4,2003-04-24,2003-04-29,3,59.9118423462,60.4036903381,0.0352406980,0.0082095287,4.0000000000,0.0078095287,2003,paper_era_through_2013
2003-05,2003-05-30,Friday,True,3,T+3,-4,2003-05-23,2003-05-29,3,61.4857254028,62.5743103027,-0.0116998507,0.0177046769,4.0000000000,0.0173046769,2003,paper_era_through_2013
2003-06,2003-06-30,Monday,False,3,T+3,-4,2003-06-24,2003-06-27,3,64.8405838013,64.2746047974,-0.0273866423,-0.0087287771,4.0000000000,-0.0091287771,2003,paper_era_through_2013
2003-07,2003-07-31,Thursday,False,3,T+3,-4,2003-07-25,2003-07-30,3,65.9660491943,65.2618026733,0.0072356274,-0.0106758936,4.0000000000,-0.0110758936,2003,paper_era_through_2013
2003-08,2003-08-29,Friday,True,3,T+3,-4,2003-08-25,2003-08-28,3,65.7685699463,66.3148498535,-0.0054737822,0.0083060937,4.0000000000,0.0079060937,2003,paper_era_through_2013
2003-09,2003-09-30,Tuesday,False,3,T+3,-4,2003-09-24,2003-09-29,3,66.8006210327,66.6817016602,-0.0182035698,-0.0017802136,4.0000000000,-0.0021802136,2003,paper_era_through_2013
2003-10,2003-10-31,Friday,True,3,T+3,-4,2003-10-27,2003-10-30,3,68.4655609131,69.6349563599,-0.0134236732,0.0170800536,4.0000000000,0.0166800536,2003,paper_era_through_2013
2003-11,2003-11-28,Friday,True,3,T+3,-4,2003-11-21,2003-11-26,3,68.8486938477,70.2758026123,-0.0118535275,0.0207281894,4.0000000000,0.0203281894,2003,paper_era_through_2013
2003-12,2003-12-31,Wednesday,False,3,T+3,-4,2003-12-24,2003-12-30,3,72.7651672363,73.8006973267,0.0150962622,0.0142311236,4.0000000000,0.0138311236,2003,paper_era_through_2013
2004-01,2004-01-30,Friday,True,3,T+3,-4,2004-01-26,2004-01-29,3,76.9139022827,75.3274459839,0.0143571977,-0.0206263920,4.0000000000,-0.0210263920,2004,paper_era_through_2013
2004-02,2004-02-27,Friday,True,3,T+3,-4,2004-02-23,2004-02-26,3,76.0642395020,76.2965393066,-0.0046900869,0.0030539950,4.0000000000,0.0026539950,2004,paper_era_through_2013
2004-03,2004-03-31,Wednesday,False,3,T+3,-4,2004-03-25,2004-03-30,3,73.9395141602,75.2518005371,-0.0148658546,0.0177481066,4.0000000000,0.0173481066,2004,paper_era_through_2013
2004-04,2004-04-30,Friday,True,3,T+3,-4,2004-04-26,2004-04-29,3,76.0710983276,74.4923934937,0.0032501923,-0.0207530175,4.0000000000,-0.0211530175,2004,paper_era_through_2013
2004-05,2004-05-28,Friday,True,3,T+3,-4,2004-05-24,2004-05-27,3,73.4532546997,75.1851501465,0.0107238296,0.0235781989,4.0000000000,0.0231781989,2004,paper_era_through_2013
2004-06,2004-06-30,Wednesday,False,3,T+3,-4,2004-06-24,2004-06-29,3,76.4758529663,76.1615829468,0.0085882270,-0.0041094020,4.0000000000,-0.0045094020,2004,paper_era_through_2013
2004-07,2004-07-30,Friday,True,3,T+3,-4,2004-07-26,2004-07-29,3,72.7051620483,73.9219512939,-0.0135159014,0.0167359402,4.0000000000,0.0163359402,2004,paper_era_through_2013
2004-08,2004-08-31,Tuesday,False,3,T+3,-4,2004-08-25,2004-08-30,3,74.2762680054,73.8952102661,0.0097247654,-0.0051302758,4.0000000000,-0.0055302758,2004,paper_era_through_2013
2004-09,2004-09-30,Thursday,False,3,T+3,-4,2004-09-24,2004-09-29,3,74.8271408081,75.0822753906,-0.0149359430,0.0034096530,4.0000000000,0.0030096530,2004,paper_era_through_2013
2004-10,2004-10-29,Friday,True,3,T+3,-4,2004-10-25,2004-10-28,3,73.7530059814,76.0086822510,-0.0162965643,0.0305841944,4.0000000000,0.0301841944,2004,paper_era_through_2013
2004-11,2004-11-30,Tuesday,False,3,T+3,-4,2004-11-23,2004-11-29,3,79.5601577759,79.3245315552,0.0023754743,-0.0029616108,4.0000000000,-0.0033616108,2004,paper_era_through_2013
2004-12,2004-12-31,Friday,True,3,T+3,-4,2004-12-27,2004-12-30,3,81.5325775146,81.9451980591,0.0090421244,0.0050608058,4.0000000000,0.0046608058,2004,paper_era_through_2013
2005-01,2005-01-31,Monday,False,3,T+3,-4,2005-01-25,2005-01-28,3,79.0700912476,79.4421691895,-0.0216788906,0.0047056723,4.0000000000,0.0043056723,2005,paper_era_through_2013
2005-02,2005-02-28,Monday,False,3,T+3,-4,2005-02-22,2005-02-25,3,80.2336654663,82.1482162476,-0.0172355000,0.0238621877,4.0000000000,0.0234621877,2005,paper_era_through_2013
2005-03,2005-03-31,Thursday,False,3,T+3,-4,2005-03-24,2005-03-30,3,79.5572509766,80.2635650635,-0.0147443555,0.0088780605,4.0000000000,0.0084780605,2005,paper_era_through_2013
2005-04,2005-04-29,Friday,True,3,T+3,-4,2005-04-25,2005-04-28,3,79.0071105957,77.5604858398,0.0159822940,-0.0183100577,4.0000000000,-0.0187100577,2005,paper_era_through_2013
2005-05,2005-05-31,Tuesday,False,3,T+3,-4,2005-05-24,2005-05-27,3,81.1600646973,81.6694412231,0.0163290022,0.0062761966,4.0000000000,0.0058761966,2005,paper_era_through_2013
2005-06,2005-06-30,Thursday,False,3,T+3,-4,2005-06-24,2005-06-29,3,81.1330490112,81.7126541138,-0.0196107878,0.0071438841,4.0000000000,0.0067438841,2005,paper_era_through_2013
2005-07,2005-07-29,Friday,True,3,T+3,-4,2005-07-25,2005-07-28,3,84.0038070679,84.9448928833,0.0068650888,0.0112028948,4.0000000000,0.0108028948,2005,paper_era_through_2013
2005-08,2005-08-31,Wednesday,False,3,T+3,-4,2005-08-25,2005-08-30,3,82.9128112793,82.5446090698,-0.0049105513,-0.0044408361,4.0000000000,-0.0048408361,2005,paper_era_through_2013
2005-09,2005-09-30,Friday,True,3,T+3,-4,2005-09-26,2005-09-29,3,83.2589187622,83.9984817505,-0.0122674232,0.0088826879,4.0000000000,0.0084826879,2005,paper_era_through_2013
2005-10,2005-10-31,Monday,False,3,T+3,-4,2005-10-25,2005-10-28,3,81.9851608276,82.0399627686,0.0161261711,0.0006684373,4.0000000000,0.0002684373,2005,paper_era_through_2013
2005-11,2005-11-30,Wednesday,False,3,T+3,-4,2005-11-23,2005-11-29,3,86.9911041260,86.3473739624,0.0286663629,-0.0073999539,4.0000000000,-0.0077999539,2005,paper_era_through_2013
2005-12,2005-12-30,Friday,True,3,T+3,-4,2005-12-23,2005-12-29,3,87.2663879395,86.1855163574,0.0031656491,-0.0123858866,4.0000000000,-0.0127858866,2005,paper_era_through_2013
2006-01,2006-01-31,Tuesday,False,3,T+3,-4,2006-01-25,2006-01-30,3,87.1974792480,88.4229125977,-0.0090759113,0.0140535410,4.0000000000,0.0136535410,2006,paper_era_through_2013
2006-02,2006-02-28,Tuesday,False,3,T+3,-4,2006-02-22,2006-02-27,3,88.9943771362,89.1251220703,0.0118984922,0.0014691370,4.0000000000,0.0010691370,2006,paper_era_through_2013
2006-03,2006-03-31,Friday,True,3,T+3,-4,2006-03-27,2006-03-30,3,89.8666305542,89.7145538330,-0.0029902677,-0.0016922491,4.0000000000,-0.0020922491,2006,paper_era_through_2013
2006-04,2006-04-28,Friday,True,3,T+3,-4,2006-04-24,2006-04-27,3,90.4817504883,90.5647125244,0.0174877893,0.0009168925,4.0000000000,0.0005168925,2006,paper_era_through_2013
2006-05,2006-05-31,Wednesday,False,3,T+3,-4,2006-05-24,2006-05-30,3,87.2056045532,87.1572036743,-0.0053605975,-0.0005550203,4.0000000000,-0.0009550203,2006,paper_era_through_2013
2006-06,2006-06-30,Friday,True,3,T+3,-4,2006-06-26,2006-06-29,3,86.7718582153,88.3546752930,0.0106734499,0.0182411338,4.0000000000,0.0178411338,2006,paper_era_through_2013
2006-07,2006-07-31,Monday,False,3,T+3,-4,2006-07-25,2006-07-28,3,87.9312438965,88.8475723267,0.0216991270,0.0104209652,4.0000000000,0.0100209652,2006,paper_era_through_2013
2006-08,2006-08-31,Thursday,False,3,T+3,-4,2006-08-25,2006-08-30,3,90.1180114746,90.7081451416,-0.0067339229,0.0065484542,4.0000000000,0.0061484542,2006,paper_era_through_2013
2006-09,2006-09-29,Friday,True,3,T+3,-4,2006-09-25,2006-09-28,3,92.3761138916,93.2198104858,0.0025729393,0.0091332765,4.0000000000,0.0087332765,2006,paper_era_through_2013
2006-10,2006-10-31,Tuesday,False,3,T+3,-4,2006-10-25,2006-10-30,3,96.4692153931,96.0926895142,0.0128855923,-0.0039030677,4.0000000000,-0.0043030677,2006,paper_era_through_2013
2006-11,2006-11-30,Thursday,False,3,T+3,-4,2006-11-24,2006-11-29,3,97.8637771606,97.9474105835,-0.0002132512,0.0008545902,4.0000000000,0.0004545902,2006,paper_era_through_2013
2006-12,2006-12-29,Friday,True,3,T+3,-4,2006-12-22,2006-12-28,3,98.6894836426,99.7131729126,-0.0111703854,0.0103728303,4.0000000000,0.0099728303,2006,paper_era_through_2013
2007-01,2007-01-31,Wednesday,False,3,T+3,-4,2007-01-25,2007-01-30,3,99.7482299805,100.1198883057,-0.0019643612,0.0037259641,4.0000000000,0.0033259641,2007,paper_era_through_2013
2007-02,2007-02-28,Wednesday,False,3,T+3,-4,2007-02-22,2007-02-27,3,102.2794723511,97.8130264282,0.0017857466,-0.0436690356,4.0000000000,-0.0440690356,2007,paper_era_through_2013
2007-03,2007-03-30,Friday,True,3,T+3,-4,2007-03-26,2007-03-29,3,100.8055801392,99.9397354126,0.0213978261,-0.0085892539,4.0000000000,-0.0089892539,2007,paper_era_through_2013
2007-04,2007-04-30,Monday,False,3,T+3,-4,2007-04-24,2007-04-27,3,104.2690048218,105.2615585327,0.0070023585,0.0095191636,4.0000000000,0.0091191636,2007,paper_era_through_2013
2007-05,2007-05-31,Thursday,False,3,T+3,-4,2007-05-24,2007-05-30,3,106.3386611938,108.0422134399,-0.0015858701,0.0160200648,4.0000000000,0.0156200648,2007,paper_era_through_2013
2007-06,2007-06-29,Friday,True,3,T+3,-4,2007-06-25,2007-06-28,3,105.9274139404,106.3161926270,-0.0200136720,0.0036702367,4.0000000000,0.0032702367,2007,paper_era_through_2013
2007-07,2007-07-31,Tuesday,False,3,T+3,-4,2007-07-25,2007-07-30,3,107.1857833862,104.1952362061,-0.0185149866,-0.0279005954,4.0000000000,-0.0283005954,2007,paper_era_through_2013
2007-08,2007-08-31,Friday,True,3,T+3,-4,2007-08-27,2007-08-30,3,103.8912506104,103.3256607056,0.0159700859,-0.0054440571,4.0000000000,-0.0058440571,2007,paper_era_through_2013
2007-09,2007-09-28,Friday,True,3,T+3,-4,2007-09-24,2007-09-27,3,107.7511215210,108.7455825806,0.0290992227,0.0092292409,4.0000000000,0.0088292409,2007,paper_era_through_2013
2007-10,2007-10-31,Wednesday,False,3,T+3,-4,2007-10-25,2007-10-30,3,107.8576431274,108.7242965698,-0.0120375005,0.0080351602,4.0000000000,0.0076351602,2007,paper_era_through_2013
2007-11,2007-11-30,Friday,True,3,T+3,-4,2007-11-26,2007-11-29,3,100.1220932007,104.5474853516,-0.0331983628,0.0441999564,4.0000000000,0.0437999564,2007,paper_era_through_2013
2007-12,2007-12-31,Monday,False,3,T+3,-4,2007-12-24,2007-12-28,3,106.5662689209,105.1880340576,0.0341351074,-0.0129331249,4.0000000000,-0.0133331249,2007,paper_era_through_2013
2008-01,2008-01-31,Thursday,False,3,T+3,-4,2008-01-25,2008-01-30,3,95.0048599243,96.3402557373,-0.0029225772,0.0140560790,4.0000000000,0.0136560790,2008,paper_era_through_2013
2008-02,2008-02-29,Friday,True,3,T+3,-4,2008-02-25,2008-02-28,3,98.0684280396,97.7399139404,0.0162054170,-0.0033498457,4.0000000000,-0.0037498457,2008,paper_era_through_2013
2008-03,2008-03-31,Monday,False,3,T+3,-4,2008-03-25,2008-03-28,3,96.7742004395,94.3772277832,0.0562558093,-0.0247687157,4.0000000000,-0.0251687157,2008,paper_era_through_2013
2008-04,2008-04-30,Wednesday,False,3,T+3,-4,2008-04-24,2008-04-29,3,99.2643585205,99.8097763062,0.0092665452,0.0054945984,4.0000000000,0.0050945984,2008,paper_era_through_2013
2008-05,2008-05-30,Friday,True,3,T+3,-4,2008-05-23,2008-05-29,3,98.7763900757,100.4700164795,-0.0351885019,0.0171460650,4.0000000000,0.0167460650,2008,paper_era_through_2013
2008-06,2008-06-30,Monday,False,3,T+3,-4,2008-06-24,2008-06-27,3,94.6184997559,91.9787826538,-0.0274680012,-0.0278985305,4.0000000000,-0.0282985305,2008,paper_era_through_2013
2008-07,2008-07-31,Thursday,False,3,T+3,-4,2008-07-25,2008-07-30,3,90.5002212524,92.7000122070,-0.0039694965,0.0243070229,4.0000000000,0.0239070229,2008,paper_era_through_2013
