omitted_year,n,mean_net_pct
2000,307,0.2762396462
2001,307,0.2755149169
2002,307,0.2657347613
2003,307,0.2480360722
2004,307,0.2501977941
2005,307,0.2559003703
2006,307,0.2439208274
2007,307,0.2667210762
2008,307,0.1809873598
2009,307,0.2488959932
2010,307,0.2754293626
2011,307,0.2146763916
2012,307,0.2563920800
2013,307,0.2548592184
2014,307,0.2558009932
2015,307,0.2537836824
2016,307,0.2489295158
2017,307,0.2511994657
2018,307,0.2591267877
2019,307,0.2577388166
2020,307,0.2788557232
2021,307,0.2954171647
2022,307,0.2319603947
2023,307,0.2264372520
2024,307,0.2818520803
2025,307,0.2751129007
2026,312,0.2256700739
