hold_sessions,cost_bps,n,mean_net_pct,t_stat,win_rate_pct,profit_factor
1,0.0000000000,320,0.1132798191,1.5822120817,52.1875000000,1.3266865072
1,4.0000000000,320,0.0732798191,1.0235204825,50.0000000000,1.1999947717
1,10.0000000000,320,0.0132798191,0.1854830838,45.3125000000,1.0333579683
1,20.0000000000,320,-0.0867201809,-1.2112459141,40.0000000000,0.8096289900
2,0.0000000000,320,0.2967467273,3.2356678831,59.3750000000,1.7267466360
2,4.0000000000,320,0.2567467273,2.7995157593,57.5000000000,1.6041384948
2,10.0000000000,320,0.1967467273,2.1452875737,55.3125000000,1.4361803743
2,20.0000000000,320,0.0967467273,1.0549072644,51.5625000000,1.1944099093
3,0.0000000000,319,0.2938863397,2.5780214789,56.7398119122,1.5534892897
3,4.0000000000,319,0.2538863397,2.2271346046,55.7993730408,1.4629021719
3,10.0000000000,319,0.1938863397,1.7008042931,53.2915360502,1.3368690819
3,20.0000000000,319,0.0938863397,0.8235871073,51.4106583072,1.1506555221
4,0.0000000000,319,0.3525704720,2.8570931736,57.0532915361,1.6095255211
4,4.0000000000,319,0.3125704720,2.5329488223,56.4263322884,1.5246851055
4,10.0000000000,319,0.2525704720,2.0467322954,54.8589341693,1.4059261489
4,20.0000000000,319,0.1525704720,1.2363714172,52.3510971787,1.2281591913
5,0.0000000000,319,0.5238537103,4.0380147499,60.5015673981,1.8858644885
5,4.0000000000,319,0.4838537103,3.7296832695,59.8746081505,1.7967988265
5,10.0000000000,319,0.4238537103,3.2671860489,58.3072100313,1.6708457752
5,20.0000000000,319,0.3238537103,2.4963573479,55.7993730408,1.4800839488
