year,n,mean_net_pct,compounded_net_pct
2000,12,-0.3179857496,-4.0497027041
2001,12,-0.2994447595,-3.8515015287
2002,12,-0.0492357780,-1.0521975698
2003,12,0.4035556847,4.8714372481
2004,12,0.3482516315,4.1120065140
2005,12,0.2023607244,2.3810749667
2006,12,0.5088373639,6.2518540363
2007,12,-0.0744690026,-1.1597475599
2008,12,2.1188852438,26.3541201602
2009,12,0.3815560377,4.5339205129
2010,12,-0.2972559944,-3.6074842808
2011,12,1.2570075135,15.8603398496
2012,12,0.1897811523,2.1756343781
2013,12,0.2289968608,2.7399676754
2014,12,0.2049031219,2.4575388609
2015,12,0.2565126560,2.8137913774
2016,12,0.3806984180,4.6234353662
2017,12,0.3226255334,3.9066225988
2018,12,0.1198182122,1.3538336802
2019,12,0.1553271388,1.7998694169
2020,12,-0.3849137206,-4.7842195090
2021,12,-0.8086105980,-9.4202891707
2022,12,0.8148251004,9.7700642279
2023,12,0.9561255007,12.0079574869
2024,12,-0.4615705236,-5.4383769226
2025,12,-0.2891598449,-3.4910579450
2026,7,1.5115256149,10.9745068801
