entry_offset,cost_bps,n,mean_net_pct,t_stat,win_rate_pct,profit_factor
-3,0.0000000000,288,0.3679700665,4.7248577483,62.8472222222,2.0478043960
-3,4.0000000000,288,0.3279700665,4.2112444760,62.1527777778,1.8957098863
-3,10.0000000000,288,0.2679700665,3.4408245676,60.0694444444,1.6877808256
-3,20.0000000000,288,0.1679700665,2.1567913869,56.5972222222,1.3896511585
-4,0.0000000000,288,0.3515924600,4.0032560088,60.7638888889,1.8041001095
-4,4.0000000000,288,0.3115924600,3.5478132489,60.0694444444,1.6877417904
-4,10.0000000000,288,0.2515924600,2.8646491090,59.3750000000,1.5270832984
-4,20.0000000000,288,0.1515924600,1.7260422091,56.2500000000,1.2920243552
-5,0.0000000000,288,0.4302222019,4.6165846507,60.7638888889,1.9810711406
-5,4.0000000000,288,0.3902222019,4.1873567186,60.0694444444,1.8588942446
-5,10.0000000000,288,0.3302222019,3.5435148206,59.0277777778,1.6900565985
-5,20.0000000000,288,0.2302222019,2.4704449905,56.5972222222,1.4418822339
-6,0.0000000000,288,0.4834495608,4.5052420614,60.4166666667,1.9494149320
-6,4.0000000000,288,0.4434495608,4.1324840798,59.3750000000,1.8440926023
-6,10.0000000000,288,0.3834495608,3.5733471075,58.6805555556,1.6971596155
-6,20.0000000000,288,0.2834495608,2.6414521536,56.5972222222,1.4783291536
-7,0.0000000000,288,0.4792639489,4.0663893060,60.0694444444,1.8567664949
-7,4.0000000000,288,0.4392639489,3.7270031022,59.3750000000,1.7633283083
-7,10.0000000000,288,0.3792639489,3.2179237965,57.9861111111,1.6317980135
-7,20.0000000000,288,0.2792639489,2.3694582870,56.2500000000,1.4341634097
