dimension,strategy,value,era,n,tot_r,avg_r,win_pct,pf
baseline,3x Bear ETF Overbot Fade,prod,2003-2009,0,0.0,,,
baseline,3x Bear ETF Overbot Fade,prod,2010-2014,0,0.0,,,
baseline,3x Bear ETF Overbot Fade,prod,2015-2019,0,0.0,,,
baseline,3x Bear ETF Overbot Fade,prod,2020-2022,19,13.47,0.709,68.4,2.77
baseline,3x Bear ETF Overbot Fade,prod,2023-now,32,20.06,0.627,65.6,2.8
baseline,3x ETF Overbot Fade,prod,2003-2009,0,0.0,,,
baseline,3x ETF Overbot Fade,prod,2010-2014,1,2.98,2.982,100.0,
baseline,3x ETF Overbot Fade,prod,2015-2019,9,4.58,0.508,77.8,10.51
baseline,3x ETF Overbot Fade,prod,2020-2022,37,44.56,1.204,73.0,6.41
baseline,3x ETF Overbot Fade,prod,2023-now,23,9.84,0.428,73.9,3.31
baseline,52wh Breakout,prod,2003-2009,65,7.17,0.11,30.8,1.16
baseline,52wh Breakout,prod,2010-2014,80,74.32,0.929,51.2,2.94
baseline,52wh Breakout,prod,2015-2019,75,8.26,0.11,36.0,1.17
baseline,52wh Breakout,prod,2020-2022,17,14.51,0.853,52.9,2.65
baseline,52wh Breakout,prod,2023-now,17,27.54,1.62,58.8,4.66
baseline,ATR Extended Gap Up,prod,2003-2009,16,9.41,0.588,56.2,2.38
baseline,ATR Extended Gap Up,prod,2010-2014,7,-1.55,-0.221,57.1,0.73
baseline,ATR Extended Gap Up,prod,2015-2019,13,5.61,0.431,53.8,1.99
baseline,ATR Extended Gap Up,prod,2020-2022,11,17.61,1.601,81.8,10.18
baseline,ATR Extended Gap Up,prod,2023-now,25,25.18,1.007,72.0,3.9
baseline,Indices Oversold Bounce,prod,2003-2009,107,20.54,0.192,59.8,1.55
baseline,Indices Oversold Bounce,prod,2010-2014,50,5.76,0.115,54.0,1.23
baseline,Indices Oversold Bounce,prod,2015-2019,54,17.45,0.323,66.7,1.64
baseline,Indices Oversold Bounce,prod,2020-2022,57,21.11,0.37,71.9,2.36
baseline,Indices Oversold Bounce,prod,2023-now,39,32.41,0.831,76.9,7.76
