ticker,event,era,td,mean_bps,t,N,hit
SPY,fomc_decision,2000-2012,-5,-9.9,-0.76,104,0.442
SPY,fomc_decision,2000-2012,-4,12.0,1.16,104,0.558
SPY,fomc_decision,2000-2012,-3,-6.9,-0.48,104,0.538
SPY,fomc_decision,2000-2012,-2,-1.2,-0.11,104,0.558
SPY,fomc_decision,2000-2012,-1,3.1,0.18,104,0.538
SPY,fomc_decision,2000-2012,0,39.1,2.98,104,0.625
SPY,fomc_decision,2000-2012,1,-8.8,-0.58,104,0.538
SPY,fomc_decision,2000-2012,2,-0.8,-0.08,104,0.519
SPY,fomc_decision,2000-2012,3,18.1,1.29,104,0.51
SPY,fomc_decision,2000-2012,4,5.4,0.48,104,0.548
SPY,fomc_decision,2000-2012,5,-14.6,-1.16,104,0.471
SPY,fomc_decision,2013-2019,-5,7.6,0.97,56,0.607
SPY,fomc_decision,2013-2019,-4,17.1,2.26,56,0.643
SPY,fomc_decision,2013-2019,-3,-1.5,-0.14,56,0.482
SPY,fomc_decision,2013-2019,-2,-9.0,-1.1,56,0.446
SPY,fomc_decision,2013-2019,-1,20.5,2.59,56,0.643
SPY,fomc_decision,2013-2019,0,3.1,0.3,56,0.5
SPY,fomc_decision,2013-2019,1,-5.2,-0.42,56,0.5
SPY,fomc_decision,2013-2019,2,-4.5,-0.37,56,0.518
SPY,fomc_decision,2013-2019,3,-5.8,-0.39,56,0.482
SPY,fomc_decision,2013-2019,4,1.3,0.09,56,0.464
SPY,fomc_decision,2013-2019,5,9.4,1.35,56,0.571
SPY,fomc_decision,2020+,-5,18.1,1.34,52,0.596
SPY,fomc_decision,2020+,-4,3.6,0.26,52,0.519
SPY,fomc_decision,2020+,-3,1.0,0.06,52,0.519
SPY,fomc_decision,2020+,-2,24.8,1.82,52,0.75
SPY,fomc_decision,2020+,-1,5.8,0.47,52,0.442
SPY,fomc_decision,2020+,0,11.6,0.64,52,0.481
SPY,fomc_decision,2020+,1,-11.9,-0.6,52,0.519
SPY,fomc_decision,2020+,2,-6.4,-0.42,52,0.481
SPY,fomc_decision,2020+,3,22.3,1.41,52,0.596
SPY,fomc_decision,2020+,4,21.9,1.91,52,0.596
SPY,fomc_decision,2020+,5,-2.9,-0.22,52,0.558
SPY,fomc_decision,full,-5,1.6,0.21,212,0.524
SPY,fomc_decision,full,-4,11.3,1.77,212,0.571
SPY,fomc_decision,full,-3,-3.5,-0.42,212,0.519
SPY,fomc_decision,full,-2,3.2,0.5,212,0.575
SPY,fomc_decision,full,-1,8.3,0.9,212,0.542
SPY,fomc_decision,full,0,22.8,2.74,212,0.557
SPY,fomc_decision,full,1,-8.6,-0.91,212,0.524
SPY,fomc_decision,full,2,-3.2,-0.44,212,0.509
SPY,fomc_decision,full,3,12.8,1.46,212,0.524
SPY,fomc_decision,full,4,8.4,1.16,212,0.538
SPY,fomc_decision,full,5,-5.4,-0.75,212,0.519
SPY,fomc_minutes,2000-2012,-5,21.4,1.44,104,0.558
SPY,fomc_minutes,2000-2012,-4,11.0,0.99,104,0.596
SPY,fomc_minutes,2000-2012,-3,-13.5,-1.24,104,0.481
SPY,fomc_minutes,2000-2012,-2,19.9,1.81,104,0.596
SPY,fomc_minutes,2000-2012,-1,-7.0,-0.53,103,0.505
SPY,fomc_minutes,2000-2012,0,-3.8,-0.31,103,0.534
SPY,fomc_minutes,2000-2012,1,-11.2,-0.77,103,0.515
SPY,fomc_minutes,2000-2012,2,-2.6,-0.19,103,0.524
SPY,fomc_minutes,2000-2012,3,3.6,0.25,103,0.553
SPY,fomc_minutes,2000-2012,4,4.3,0.24,103,0.534
SPY,fomc_minutes,2000-2012,5,15.3,1.25,103,0.573
SPY,fomc_minutes,2013-2019,-5,-6.1,-0.5,56,0.589
SPY,fomc_minutes,2013-2019,-4,4.3,0.38,56,0.643
SPY,fomc_minutes,2013-2019,-3,21.2,1.75,56,0.536
SPY,fomc_minutes,2013-2019,-2,13.6,1.48,56,0.607
SPY,fomc_minutes,2013-2019,-1,15.1,1.29,56,0.589
SPY,fomc_minutes,2013-2019,0,17.3,1.85,56,0.643
SPY,fomc_minutes,2013-2019,1,-5.0,-0.42,56,0.536
SPY,fomc_minutes,2013-2019,2,11.7,1.09,56,0.607
SPY,fomc_minutes,2013-2019,3,-14.6,-1.07,56,0.518
SPY,fomc_minutes,2013-2019,4,9.7,1.06,56,0.518
SPY,fomc_minutes,2013-2019,5,13.5,0.99,56,0.589
SPY,fomc_minutes,2020+,-5,1.0,0.06,51,0.569
SPY,fomc_minutes,2020+,-4,-7.0,-0.48,51,0.549
SPY,fomc_minutes,2020+,-3,-6.4,-0.36,51,0.588
SPY,fomc_minutes,2020+,-2,25.1,2.24,51,0.608
SPY,fomc_minutes,2020+,-1,-9.5,-0.81,52,0.442
SPY,fomc_minutes,2020+,0,30.2,1.34,52,0.577
SPY,fomc_minutes,2020+,1,1.5,0.09,52,0.519
SPY,fomc_minutes,2020+,2,13.0,0.9,52,0.577
SPY,fomc_minutes,2020+,3,7.2,0.48,52,0.596
SPY,fomc_minutes,2020+,4,11.2,0.88,52,0.558
SPY,fomc_minutes,2020+,5,17.3,1.64,52,0.558
SPY,fomc_minutes,full,-5,9.2,1.02,211,0.569
SPY,fomc_minutes,full,-4,4.9,0.69,211,0.597
SPY,fomc_minutes,full,-3,-2.6,-0.34,211,0.521
SPY,fomc_minutes,full,-2,19.5,2.99,211,0.602
SPY,fomc_minutes,full,-1,-1.8,-0.23,211,0.512
SPY,fomc_minutes,full,0,10.2,1.19,211,0.573
SPY,fomc_minutes,full,1,-6.4,-0.73,211,0.521
SPY,fomc_minutes,full,2,5.1,0.63,211,0.559
SPY,fomc_minutes,full,3,-0.4,-0.04,211,0.555
SPY,fomc_minutes,full,4,7.4,0.78,211,0.536
SPY,fomc_minutes,full,5,15.3,2.07,211,0.573
SPY,cpi,2000-2012,-5,-9.7,-0.86,155,0.497
SPY,cpi,2000-2012,-4,5.3,0.54,155,0.6
SPY,cpi,2000-2012,-3,8.1,0.58,155,0.516
SPY,cpi,2000-2012,-2,3.7,0.41,155,0.548
SPY,cpi,2000-2012,-1,-8.5,-0.69,155,0.523
SPY,cpi,2000-2012,0,-0.6,-0.05,156,0.564
SPY,cpi,2000-2012,1,-9.6,-0.81,155,0.542
SPY,cpi,2000-2012,2,18.0,1.63,155,0.529
SPY,cpi,2000-2012,3,0.8,0.06,155,0.484
SPY,cpi,2000-2012,4,-13.2,-1.39,155,0.516
SPY,cpi,2000-2012,5,5.5,0.62,155,0.574
SPY,cpi,2013-2019,-5,11.6,1.2,84,0.619
SPY,cpi,2013-2019,-4,9.3,1.09,84,0.643
SPY,cpi,2013-2019,-3,3.1,0.33,84,0.524
SPY,cpi,2013-2019,-2,6.0,0.8,84,0.536
SPY,cpi,2013-2019,-1,9.9,1.14,84,0.548
SPY,cpi,2013-2019,0,14.0,1.79,84,0.583
SPY,cpi,2013-2019,1,14.2,1.48,84,0.571
SPY,cpi,2013-2019,2,2.2,0.26,84,0.583
SPY,cpi,2013-2019,3,6.7,0.74,84,0.643
SPY,cpi,2013-2019,4,-0.9,-0.12,84,0.536
SPY,cpi,2013-2019,5,10.3,1.23,84,0.548
SPY,cpi,2020+,-5,-11.2,-0.77,78,0.436
SPY,cpi,2020+,-4,11.5,0.7,78,0.551
SPY,cpi,2020+,-3,7.6,0.67,78,0.564
SPY,cpi,2020+,-2,4.3,0.29,78,0.615
SPY,cpi,2020+,-1,31.1,1.7,78,0.577
SPY,cpi,2020+,0,-2.9,-0.17,78,0.513
SPY,cpi,2020+,1,-2.2,-0.12,78,0.603
SPY,cpi,2020+,2,30.8,2.03,78,0.603
SPY,cpi,2020+,3,-3.4,-0.2,78,0.564
SPY,cpi,2020+,4,0.4,0.03,78,0.487
SPY,cpi,2020+,5,-25.7,-2.07,78,0.423
SPY,cpi,full,-5,-4.4,-0.63,317,0.514
SPY,cpi,full,-4,7.9,1.19,317,0.599
SPY,cpi,full,-3,6.6,0.86,317,0.53
SPY,cpi,full,-2,4.4,0.74,317,0.562
SPY,cpi,full,-1,6.1,0.78,317,0.543
SPY,cpi,full,0,2.7,0.38,318,0.557
SPY,cpi,full,1,-1.5,-0.19,317,0.565
SPY,cpi,full,2,17.0,2.44,317,0.562
SPY,cpi,full,3,1.3,0.18,317,0.546
SPY,cpi,full,4,-6.6,-1.07,317,0.514
SPY,cpi,full,5,-0.9,-0.16,317,0.53
SPY,nfp,2000-2012,-5,3.4,0.36,154,0.5
SPY,nfp,2000-2012,-4,5.1,0.41,154,0.565
SPY,nfp,2000-2012,-3,10.6,0.97,154,0.532
SPY,nfp,2000-2012,-2,20.9,2.27,153,0.588
SPY,nfp,2000-2012,-1,-6.0,-0.52,155,0.542
SPY,nfp,2000-2012,0,-1.4,-0.13,156,0.526
SPY,nfp,2000-2012,1,-16.3,-1.5,154,0.506
SPY,nfp,2000-2012,2,-1.7,-0.14,154,0.5
SPY,nfp,2000-2012,3,-23.7,-2.37,154,0.494
SPY,nfp,2000-2012,4,7.2,0.6,154,0.571
SPY,nfp,2000-2012,5,-4.8,-0.49,154,0.552
SPY,nfp,2013-2019,-5,7.3,0.99,83,0.518
