window,cycle,mean_bps,t,N,hit
pre_drift(-3..0),all,30.3,2.05,212,0.59
pre_drift(-3..0),y0,72.3,2.39,55,0.636
pre_drift(-3..0),y1,48.1,1.89,56,0.625
pre_drift(-3..0),y2,-37.8,-1.34,53,0.491
pre_drift(-3..0),y3,36.7,1.09,48,0.604
pre_drift(-3..0),2000-2012,33.2,1.37,104,0.558
pre_drift(-3..0),2013-2019,13.1,0.7,56,0.589
pre_drift(-3..0),2020+,43.1,1.44,52,0.654
post_fade(+1..+3),all,0.7,0.05,212,0.561
post_fade(+1..+3),y0,-1.8,-0.06,55,0.6
post_fade(+1..+3),y1,42.0,1.77,56,0.625
post_fade(+1..+3),y2,-47.0,-1.37,53,0.434
post_fade(+1..+3),y3,8.3,0.41,48,0.583
post_fade(+1..+3),2000-2012,7.4,0.4,104,0.558
post_fade(+1..+3),2013-2019,-15.1,-0.6,56,0.571
post_fade(+1..+3),2020+,4.5,0.14,52,0.558
