event,ticker,era,leg,mean_bps,t,N,hit
cpi,SPY,2000-2012,overnight,0.7,0.11,156,0.558
cpi,SPY,2000-2012,intraday,-1.3,-0.14,156,0.5
cpi,SPY,2013-2019,overnight,1.7,0.39,84,0.548
cpi,SPY,2013-2019,intraday,12.3,1.8,84,0.56
cpi,SPY,2020+,overnight,6.5,0.57,78,0.615
cpi,SPY,2020+,intraday,-9.5,-0.86,78,0.474
cpi,SPY,full,overnight,2.4,0.56,318,0.569
cpi,SPY,full,intraday,0.3,0.05,318,0.509
cpi,TLT,2000-2012,overnight,5.9,0.99,124,0.54
cpi,TLT,2000-2012,intraday,5.3,0.82,125,0.528
cpi,TLT,2013-2019,overnight,5.4,0.98,84,0.512
cpi,TLT,2013-2019,intraday,1.4,0.24,84,0.571
cpi,TLT,2020+,overnight,5.4,0.6,78,0.487
cpi,TLT,2020+,intraday,-9.8,-0.81,78,0.474
cpi,TLT,full,overnight,5.6,1.44,286,0.517
cpi,TLT,full,intraday,0.0,0.01,287,0.526
nfp,SPY,2000-2012,overnight,8.2,1.32,156,0.596
nfp,SPY,2000-2012,intraday,-9.5,-1.04,156,0.423
nfp,SPY,2013-2019,overnight,10.6,1.98,84,0.667
nfp,SPY,2013-2019,intraday,15.4,1.76,84,0.655
nfp,SPY,2020+,overnight,2.6,0.27,78,0.615
nfp,SPY,2020+,intraday,-6.6,-0.63,78,0.564
nfp,SPY,full,overnight,7.4,1.81,318,0.619
nfp,SPY,full,intraday,-2.2,-0.39,318,0.519
nfp,TLT,2000-2012,overnight,-3.2,-0.39,124,0.419
nfp,TLT,2000-2012,intraday,-1.5,-0.26,125,0.496
nfp,TLT,2013-2019,overnight,-8.2,-1.04,84,0.476
nfp,TLT,2013-2019,intraday,-2.0,-0.33,84,0.452
nfp,TLT,2020+,overnight,-20.6,-1.61,78,0.333
nfp,TLT,2020+,intraday,5.0,0.59,78,0.5
nfp,TLT,full,overnight,-9.4,-1.72,286,0.413
nfp,TLT,full,intraday,0.1,0.03,287,0.484
