,3x Bear ETF Overbot Fade,3x ETF Overbot Fade,3x Leader Gap Fade,52wh Breakout,ATR Extended Gap Up,Indices Oversold Bounce,LT Trend ST OS,Monday Dip,Monthly Weak Close,Overbot Vol Spike P1,Overbot Vol Spike P2,Oversold Low Volume,SPY QQQ MonFri Reversion,Sector BO,St OS Sznl,Weak Close Decent Sznls
3x Bear ETF Overbot Fade,1.0,-0.00046097418343314894,0.6412687188678674,0.010595336635343514,,-0.002338224265075532,0.25091026578126574,-0.001982260858202883,,0.01172121319539981,-0.00121302825260523,-0.0016569144170304388,-0.06932214692273031,0.0036664525895586013,-0.0008798426302585882,-0.003951723500757105
3x ETF Overbot Fade,-0.00046097418343314894,1.0,-0.0009517075575965801,0.0013396274420924413,,-0.0012080342630398087,-0.030959358838118328,-0.00102412718521438,,0.054983267517161184,0.00852705568037755,-0.0008560382408967661,-0.0015273062950376109,0.0018942581420241691,-0.0004545671941357195,-0.009387139458465124
3x Leader Gap Fade,0.6412687188678674,-0.0009517075575965801,1.0,0.0537579639477076,,-0.005038120932141813,0.3028087111880098,-0.00409249087623397,,-0.08319660994273487,-0.0025043661816041623,-0.0034207945469624857,0.1949899279652898,0.0075696009981836825,0.07544221756514324,-0.00815855910453163
52wh Breakout,0.010595336635343514,0.0013396274420924413,0.0537579639477076,1.0,,0.02030891649061867,0.1573498477398729,0.005760606859276311,,0.06307604853487339,-0.018762749573008643,0.004815124364929799,0.07213836847478874,-0.010655001257387957,0.20036525768873564,0.007782652500731087
ATR Extended Gap Up,,,,,,,,,,,,,,,,
Indices Oversold Bounce,-0.002338224265075532,-0.0012080342630398087,-0.005038120932141813,0.02030891649061867,,1.0,0.009003397822865402,0.10684976912903649,,0.09686338612884357,0.022391898194969274,-0.004342129035926088,0.17506092769066656,-0.0066509459161068095,0.004605529221427651,0.10584654108607448
LT Trend ST OS,0.25091026578126574,-0.030959358838118328,0.3028087111880098,0.1573498477398729,,0.009003397822865402,1.0,-0.00474115755833127,,-0.005029191083996288,-0.003875415070544146,-0.003962996231956014,0.018672244483876867,0.008769395478559075,0.20109798574466964,0.12372031911287697
Monday Dip,-0.001982260858202883,-0.00102412718521438,-0.00409249087623397,0.005760606859276311,,0.10684976912903649,-0.00474115755833127,1.0,,0.008618788400326453,-0.0026949344552747,-0.0036810978988383956,0.11998239423864956,0.008145605340198342,-0.0019547098053247502,0.6657286034921095
Monthly Weak Close,,,,,,,,,,,,,,,,
Overbot Vol Spike P1,0.01172121319539981,0.054983267517161184,-0.08319660994273487,0.06307604853487339,,0.09686338612884357,-0.005029191083996288,0.008618788400326453,,1.0,0.23340661723446193,-0.002551112432249801,-0.016219766580467674,-0.2559236749826514,-0.0013546731499257737,-0.013209814694640432
Overbot Vol Spike P2,-0.00121302825260523,0.00852705568037755,-0.0025043661816041623,-0.018762749573008643,,0.022391898194969274,-0.003875415070544146,-0.0026949344552747,,0.23340661723446193,1.0,-0.0022526176277046332,0.028348259015648483,0.07877771398446007,-0.02137004295144485,-0.012586136884720715
Oversold Low Volume,-0.0016569144170304388,-0.0008560382408967661,-0.0034207945469624857,0.004815124364929799,,-0.004342129035926088,-0.003962996231956014,-0.0036810978988383956,,-0.002551112432249801,-0.0022526176277046332,1.0,-0.005489712678966448,0.006808675491807245,-0.0016338852901981963,0.04051651146853783
SPY QQQ MonFri Reversion,-0.06932214692273031,-0.0015273062950376109,0.1949899279652898,0.07213836847478874,,0.17506092769066656,0.018672244483876867,0.11998239423864956,,-0.016219766580467674,0.028348259015648483,-0.005489712678966448,1.0,0.005947189528587885,0.08652402970308472,0.09874047376042915
Sector BO,0.0036664525895586013,0.0018942581420241691,0.0075696009981836825,-0.010655001257387957,,-0.0066509459161068095,0.008769395478559075,0.008145605340198342,,-0.2559236749826514,0.07877771398446007,0.006808675491807245,0.005947189528587885,1.0,0.0036154932878339637,0.023151475849321243
St OS Sznl,-0.0008798426302585882,-0.0004545671941357195,0.07544221756514324,0.20036525768873564,,0.004605529221427651,0.20109798574466964,-0.0019547098053247502,,-0.0013546731499257737,-0.02137004295144485,-0.0016338852901981963,0.08652402970308472,0.0036154932878339637,1.0,-0.003896799274877053
Weak Close Decent Sznls,-0.003951723500757105,-0.009387139458465124,-0.00815855910453163,0.007782652500731087,,0.10584654108607448,0.12372031911287697,0.6657286034921095,,-0.013209814694640432,-0.012586136884720715,0.04051651146853783,0.09874047376042915,0.023151475849321243,-0.003896799274877053,1.0
