,3x Bear ETF Overbot Fade,3x ETF Overbot Fade,3x Leader Gap Fade,52wh Breakout,ATR Extended Gap Up,Indices Oversold Bounce,LT Trend ST OS,Monday Dip,Monthly Weak Close,Overbot Vol Spike P1,Overbot Vol Spike P2,Oversold Low Volume,SPY QQQ MonFri Reversion,Sector BO,St OS Sznl,Weak Close Decent Sznls
3x Bear ETF Overbot Fade,1.0,0.000912184482288413,0.2567941027917719,0.028174638234195686,0.006401080108579286,0.10158938215543477,0.05915771768832908,0.0010063646803495944,0.09745884731925379,0.024635957399039187,0.1147079378936693,0.07489765080947502,-0.00493667724944904,0.013030199690431026,0.021513540884036515,0.008741486133366833
3x ETF Overbot Fade,0.000912184482288413,1.0,-0.0006007644429551976,-0.010314828817577469,0.010209038552356569,-0.0056770455971769974,-0.0050062089232815405,-0.00102140594134178,-0.001472331415438693,0.07892592368734495,0.06814366779630353,-0.007039093651466433,-0.009319103642276741,-0.07687962996671902,-0.0011195458738267152,-0.009071588877497764
3x Leader Gap Fade,0.2567941027917719,-0.0006007644429551976,1.0,0.0032307235897115656,-0.0005848401857962919,0.0171475220326063,0.07916538059145377,-0.0006964728508408847,-0.0007148957171439803,-0.03108951388717657,-0.0006264424725477932,-0.00036283673232013434,0.06790586471024704,-0.0004435696890502664,0.03252325082102317,-0.0006232194048145395
52wh Breakout,0.028174638234195686,-0.010314828817577469,0.0032307235897115656,1.0,-0.004905927423939821,0.14299618813633394,0.049470123405948654,0.0983578029820507,0.04262197803189611,-0.024145078432731306,-0.02936301686797317,0.03723589600655306,0.09763437139744682,0.1749457852710561,0.016623626059736926,0.1120897785254536
ATR Extended Gap Up,0.006401080108579286,0.010209038552356569,-0.0005848401857962919,-0.004905927423939821,1.0,-0.0014726391879335548,0.01977418167222145,0.0042725939312170695,-0.0014333048312965826,0.027868778664995302,0.024520008518324237,0.00691806802175594,-0.004581145429602485,-0.00012789636272260172,-0.013309176601032369,-0.00408132837705808
Indices Oversold Bounce,0.10158938215543477,-0.0056770455971769974,0.0171475220326063,0.14299618813633394,-0.0014726391879335548,1.0,0.14364410869091943,0.07065489152452199,0.030062678979055662,0.009179890707808093,-0.006426380345522451,0.025192499339499772,0.09218404610174415,0.0972775581075412,0.14220977287401337,0.11990633174933461
LT Trend ST OS,0.05915771768832908,-0.0050062089232815405,0.07916538059145377,0.049470123405948654,0.01977418167222145,0.14364410869091943,1.0,0.06560900360427988,-0.00011516659629044191,0.0037673564069512946,0.007790977357349663,0.07673875978214753,0.0606358540197845,0.018423628910584123,0.19534225297583407,0.02961952155356364
Monday Dip,0.0010063646803495944,-0.00102140594134178,-0.0006964728508408847,0.0983578029820507,0.0042725939312170695,0.07065489152452199,0.06560900360427988,1.0,-0.001706890063681166,-0.02270866030666496,-0.03722024095827696,0.030439006027992127,0.347023011819497,0.08603011005760161,0.042701392343788044,0.15754820407066256
Monthly Weak Close,0.09745884731925379,-0.001472331415438693,-0.0007148957171439803,0.04262197803189611,-0.0014333048312965826,0.030062678979055662,-0.00011516659629044191,-0.001706890063681166,1.0,-0.001192315051640773,0.0015091036752654548,0.009227789115369199,0.07083314787361318,0.022367514486086718,0.003452635970223513,0.016606340201314268
Overbot Vol Spike P1,0.024635957399039187,0.07892592368734495,-0.03108951388717657,-0.024145078432731306,0.027868778664995302,0.009179890707808093,0.0037673564069512946,-0.02270866030666496,-0.001192315051640773,1.0,0.2670486239048075,-0.021711562516941403,-0.02746381807479558,-0.033141056799551115,-0.011747621320958376,0.005425568508685608
Overbot Vol Spike P2,0.1147079378936693,0.06814366779630353,-0.0006264424725477932,-0.02936301686797317,0.024520008518324237,-0.006426380345522451,0.007790977357349663,-0.03722024095827696,0.0015091036752654548,0.2670486239048075,1.0,0.014125519398715276,-0.020667129595558914,-0.05626078759828812,0.0001699916143275684,-0.03239079680662111
Oversold Low Volume,0.07489765080947502,-0.007039093651466433,-0.00036283673232013434,0.03723589600655306,0.00691806802175594,0.025192499339499772,0.07673875978214753,0.030439006027992127,0.009227789115369199,-0.021711562516941403,0.014125519398715276,1.0,0.029788635512092588,0.03540836728895415,0.06985438097291914,0.010874557894583598
SPY QQQ MonFri Reversion,-0.00493667724944904,-0.009319103642276741,0.06790586471024704,0.09763437139744682,-0.004581145429602485,0.09218404610174415,0.0606358540197845,0.347023011819497,0.07083314787361318,-0.02746381807479558,-0.020667129595558914,0.029788635512092588,1.0,0.06434086432200148,0.08445553752836125,0.10118889642702258
Sector BO,0.013030199690431026,-0.07687962996671902,-0.0004435696890502664,0.1749457852710561,-0.00012789636272260172,0.0972775581075412,0.018423628910584123,0.08603011005760161,0.022367514486086718,-0.033141056799551115,-0.05626078759828812,0.03540836728895415,0.06434086432200148,1.0,0.039625684314961405,0.09717529827686198
St OS Sznl,0.021513540884036515,-0.0011195458738267152,0.03252325082102317,0.016623626059736926,-0.013309176601032369,0.14220977287401337,0.19534225297583407,0.042701392343788044,0.003452635970223513,-0.011747621320958376,0.0001699916143275684,0.06985438097291914,0.08445553752836125,0.039625684314961405,1.0,0.013885539520672126
Weak Close Decent Sznls,0.008741486133366833,-0.009071588877497764,-0.0006232194048145395,0.1120897785254536,-0.00408132837705808,0.11990633174933461,0.02961952155356364,0.15754820407066256,0.016606340201314268,0.005425568508685608,-0.03239079680662111,0.010874557894583598,0.10118889642702258,0.09717529827686198,0.013885539520672126,1.0
