Component,Tier,Rows_Base,PnL_Base,Risk_Base,Rows_Proposal,PnL_Proposal,Risk_Proposal,Delta_PnL,Delta_Risk
3x Bear ETF Overbot Fade,Liquid,72,96269.0,141960.9375,72,96269.0,141960.9375,0.0,0.0
3x ETF Overbot Fade,Liquid,87,209047.0,303065.3409090909,87,209047.0,303065.3409090909,0.0,0.0
3x Leader Gap Fade,Liquid,24,77988.0,67500.0,24,77988.0,67500.0,0.0,0.0
52wh Breakout,Liquid,58,116511.0,228375.0,58,116511.0,228375.0,0.0,0.0
52wh Breakout,Overflow,196,402431.0,771750.0,196,402431.0,771750.0,0.0,0.0
ATR Extended Gap Up,Liquid,12,67615.0,54000.0,12,67615.0,54000.0,0.0,0.0
ATR Extended Gap Up,Overflow,59,182239.0,265500.0,59,182239.0,265500.0,0.0,0.0
Indices Oversold Bounce,Liquid,307,296528.0,949968.75,307,296528.0,949968.75,0.0,0.0
LT Trend ST OS,Liquid,63,70884.0,198741.07142857142,63,70884.0,198741.07142857142,0.0,0.0
LT Trend ST OS,Overflow,184,159992.0,578031.25,184,159992.0,578031.25,0.0,0.0
Monday Dip,Liquid,117,148978.0,319359.375,117,148978.0,319359.375,0.0,0.0
Monthly Weak Close,Liquid,15,86763.0,48093.75,15,86763.0,48093.75,0.0,0.0
Overbot Vol Spike P1,Liquid,320,60022.0,422396.80604214827,320,60022.0,422396.80604214827,0.0,0.0
Overbot Vol Spike P1,Overflow,960,436683.0,1171916.1775561522,960,436683.0,1171916.1775561522,0.0,0.0
Overbot Vol Spike P2,Liquid,271,26642.0,91760.33081690526,271,26642.0,91760.33081690526,0.0,0.0
Overbot Vol Spike P2,Overflow,892,49662.0,320956.5409409201,892,49662.0,320956.5409409201,0.0,0.0
Oversold Low Volume,Liquid,90,206539.0,181131.73023366104,88,225727.0,200203.97494174176,19188.0,19072.244708080718
Oversold Low Volume,Overflow,268,239360.0,405194.15150507045,268,238134.0,404408.17354814993,-1226.0,-785.977956920513
SPY QQQ MonFri Reversion,Liquid,365,473169.0,1031765.625,365,473169.0,1031765.625,0.0,0.0
Sector BO,Liquid,74,194277.0,208125.0,74,194277.0,208125.0,0.0,0.0
St OS Sznl,Liquid,11,39048.0,41850.0,11,39048.0,41850.0,0.0,0.0
St OS Sznl,Overflow,46,60767.0,180225.0,46,60767.0,180225.0,0.0,0.0
Weak Close Decent Sznls,Liquid,287,315899.0,1207441.9524240554,287,311396.0,1184194.658619749,-4503.0,-23247.293804306537
