Component,Tier_Basis,Ledger_Avg_R,Risk_Weighted_R_Full,Risk_Weighted_R_LOYO,Risk_Weighted_R_2018,SE_Cluster_Full,SE_Cluster_2018,Signals,Signals_2018,Episodes,Effective_N,Cluster_Mode,Kish_N,Worst_R,Best_R,Annual_Risk_Budget,Annual_Risk_Budget_2018,Actual_Daily_Mean,Standalone_Full_Kelly_Fraction,Standalone_Full_Kelly_Mult_HeteroQ,Shrunk_R_Full,Shrinkage_Kappa_Full,Shrunk_R_LOYO,Shrinkage_Kappa_LOYO,Shrunk_R_2018,Shrinkage_Kappa_2018
3x Bear ETF Overbot Fade,Liquid,0.6713314128943758,0.6781372516647404,0.5932497249724973,0.6781372516647404,0.21928649123092053,0.21928649123092053,72,72,32,32.0,gap_gt_5td,59.433434907489776,-3.5029333333333335,4.050488888888889,0.007748355263157895,0.02126565983058404,2.085098548841239e-05,0.21742188983185376,80.81937919275157,0.6714973399252704,0.7807956361971291,0.576380816964231,0.773122125333376,0.6836264299248518,0.7556853216480722
3x ETF Overbot Fade,Liquid,0.8609710344827587,0.6897753447257662,0.3493594215227563,0.6539015597702713,0.19034617029364537,0.20639528642960955,87,80,28,28.0,gap_gt_5td,78.32274105854387,-2.3128888888888888,6.043333333333333,0.016541578061314906,0.04068031856685445,4.527766948234784e-05,0.39463661257143606,63.06876962963298,0.6824545788479095,0.8254011371979256,0.38005816728910313,0.8189269775674013,0.6642996558276891,0.7773586600338833
3x Leader Gap Fade,Liquid,1.1553777777777776,1.1553777777777778,0.528871111111111,1.2628656084656082,0.7206884460215498,0.8298816474121435,24,21,12,10.909641223464455,gap_gt_5td,23.99999999999999,-1.8147555555555555,7.531377777777778,0.0036842105263157894,0.008847525635309854,1.689148797920728e-05,0.3595065994260908,95.8684279356716,0.7737103868650083,0.24799269109226693,0.5212893255394425,0.23982656351287293,0.8004667583310456,0.17760773632217594
52wh Breakout,Liquid,0.5101740558292281,0.5101740558292283,0.31038339438339446,0.6491890331890333,0.27165871906074857,0.5788218370109023,58,11,49,49.0,gap_gt_5td,57.99999999999996,-1.3391746031746032,4.0,0.012464912280701752,0.006488185465893892,2.5235217673814162e-05,0.15628395834888847,29.768373458564184,0.5516298091209064,0.698880790424478,0.3751311159321363,0.6894801584875815,0.6847970468201566,0.30745098320021863
ATR Extended Gap Up,Liquid,1.2521296296296298,1.2521296296296296,0.8484691358024693,1.3938333333333335,0.5105824855112449,0.571497815455444,12,8,11,11.0,gap_gt_5td,12.000000000000002,-0.8826666666666667,3.9997777777777777,0.0029473684210526317,0.005392777530093625,1.464479098982023e-05,0.635785520394983,105.96425497092328,0.8874493584231815,0.3965078214120839,0.6460992838285238,0.38596122950408124,0.9175162264124732,0.3129002077863984
Indices Oversold Bounce,Liquid,0.31681629698567815,0.3121450047698938,0.26935478753541087,0.6465169212339025,0.09239154275496185,0.10298931722228478,307,118,149,149.0,gap_gt_5td,266.0757197849683,-7.137777777777778,2.0,0.05185014619883041,0.04689188586714221,6.422525449426034e-05,0.11927444457187311,22.47136065769061,0.32808116159738154,0.9525287578780479,0.2817107040233813,0.9504857360166228,0.6501173447185651,0.9334339528615544
LT Trend ST OS,Liquid,0.38544743092298644,0.3566650792937687,0.31714495651769514,0.3245169417204814,0.10866346605920994,0.14089692680154522,63,37,41,41.0,gap_gt_5td,60.25211839067548,-2.415703703703704,2.0,0.010847465886939571,0.016776192599197506,1.535282651072125e-05,0.34157373788170375,73.43417060204497,0.37544380943669675,0.9355084405322072,0.3307058238051063,0.9327846038613425,0.36880297385613453,0.882245548668672
Monday Dip,Liquid,0.38154605887939214,0.46649014139635014,0.36697831846445,0.5386920305519527,0.13416515728989897,0.20484248955458004,117,46,74,65.10096597460984,gap_gt_5td,105.01172805570822,-2.17362962962963,2.0,0.017430921052631575,0.01624152920196166,3.226727312107429e-05,0.31118614524586885,100.60076337970492,0.4837366659410993,0.9049024529539375,0.38201485138715036,0.9010227196627293,0.5743190586982663,0.7799617381797821
Monthly Weak Close,Liquid,1.8134518518518516,1.804038986354776,1.7721421012849587,1.8336449553001275,0.1299097131399306,0.14613156107576086,15,8,12,12.0,gap_gt_5td,14.439999999999994,0.41688888888888886,2.0,0.0026249999999999997,0.003665403477485511,1.8792072774528915e-05,inf,inf,1.7003364552570082,0.9103068795415783,1.6551202241512581,0.906624881258225,1.691394318275969,0.8744522425503426
Overbot Vol Spike P1,Liquid,0.3784469132791327,0.1420986123508017,0.08666769026619374,0.13926790985819884,0.12307829698411983,0.16986300734145915,164,117,63,63.0,calendar_month_conservative_vs_gap_gt_5td,111.67215281027863,-2.8962962962962964,1.6006666666666671,0.023054796431150392,0.04136942817546476,1.3000216590859867e-05,0.23147388430598773,19.822949003990793,0.1831927842053767,0.9187457027447984,0.12324386180065183,0.9153779237225795,0.23047002493555951,0.8375269840402071
Overbot Vol Spike P2,Liquid,0.3402038603174603,0.2903433298770503,0.23542055765263528,0.36053985599497085,0.11303964575106111,0.13324337909727985,140,97,69,69.0,calendar_month_conservative_vs_gap_gt_5td,116.86793253382805,-3.1822222222222223,1.6011851851851848,0.005008361136205354,0.009123248483938267,5.770413688542343e-06,0.21634629337809647,175.6819221787864,0.31516218180660127,0.9305772121122531,0.2559269268708867,0.9276612071388234,0.3968030846680019,0.893363847750718
Oversold Low Volume,Liquid,1.0257036380445816,1.1402695691890283,1.0760050926230897,0.9776871858185744,0.17369411501526327,0.21748076708483308,90,69,36,36.0,gap_gt_5td,72.39613681215974,-2.382222222222222,2.0,0.009886332254468829,0.020528314643983317,4.473445960580463e-05,0.35125923222450817,120.99939797032224,1.0665236850794417,0.8502388357580455,0.9893816184756723,0.8445121687070127,0.9108343229330081,0.7587255906773781
SPY QQQ MonFri Reversion,Liquid,0.39602026527505985,0.45860124483212955,0.4241108614232209,0.5788781764977668,0.07799977219207262,0.13976304696642622,365,129,186,186.0,gap_gt_5td,306.0555636976512,-4.811333333333334,2.0,0.05631469298245613,0.04559284440481499,0.00010248408057179987,0.18915420816022321,78.8641408976987,0.4650926794504672,0.9656982578787495,0.4275041504519354,0.9642007109543708,0.5930089373027058,0.8839140703388894
