c,Raw_Log_Growth,Adjusted_Log_Growth,Gaussian_Growth,Historical_Total_PnL,Historical_MaxDD,Bootstrap_DD_Median,Bootstrap_DD_P05,P_DD_Worse_20pct,Bootstrap_Terminal_Median,Bootstrap_Terminal_P05,P_Terminal_Negative
0.0,0.013969268336442084,0.010219615430108265,0.010189813377526868,261020.00000000003,-23834.20315367845,-3440.249119349893,-18017.084966693612,0.0,6816.0,-3344.0983236551333,0.1167
0.05,0.2011441473981568,0.17430297324193908,0.17428769200318137,3773065.8773229583,-88103.47403887287,-31588.537818026845,-66420.66388508282,0.0,149570.67404541693,49584.27556963713,0.00665
0.1,0.37987846267028064,0.329945767264179,0.329781246113032,7285111.754645917,-175894.94807774387,-62499.65970541086,-130791.54127225792,0.03355,289425.77904826065,94695.35920790107,0.0074
0.15,0.5503836518169738,0.4773594351609883,0.4766704757070789,10797157.631968873,-263686.4221166149,-93749.48955811618,-195383.90169946846,0.14385,429317.1142148352,138867.99682609626,0.0075
0.2,0.7128336553599396,0.6167179174540701,0.6149553807853219,14309203.509291831,-351477.89615548775,-124999.31941082171,-260038.01040042445,0.31655,568927.1730836732,183411.4700469568,0.00775
0.25,0.8673687496121275,0.7481614904563741,0.7446359613477609,17821249.38661479,-439269.3701943606,-156234.98907824227,-324550.4970035646,0.55115,709016.3564612533,228224.6229020073,0.00795
0.3,1.0140982224989847,0.8717994420933475,0.8657122173943961,21333295.263937745,-527060.844233226,-187481.98689389075,-390060.63767795265,0.7106,849159.4814146813,272941.84723617404,0.008
0.35,1.1531020895999484,0.9877117879444273,0.9781841489252276,24845341.141260702,-614852.3182721026,-218728.98470953922,-455105.7779304401,0.82005,989577.0831126194,317322.0015977382,0.008
0.4,1.2844319609351726,1.0959501380297676,1.0820517559402552,28357387.018583663,-702643.7923109755,-249785.73854368174,-520345.54474523105,0.88705,1129488.3571464124,361359.87233452144,0.00805
0.45,1.4081110986669438,1.196537754511655,1.1773150384394793,31869432.895906623,-790435.2663498484,-279425.83461310295,-585375.0053319735,0.94255,1269282.7628533742,405758.87311009195,0.00805
0.5,1.5241336402724137,1.2894687748672409,1.263973996422899,35381478.77322958,-878226.7403887212,-310149.12143987464,-650291.6067481643,0.96735,1409136.3020501928,450469.2116085822,0.00805
0.55,1.6324628902455354,1.3747065035904784,1.342028629890515,38893524.65055253,-966018.2144275829,-341164.0335838621,-715427.2440843197,0.9837,1549020.711808959,494881.33773550595,0.00805
0.6,1.7330284935275149,1.4521805856225742,1.4114789388423272,42405570.52787549,-1053809.6884664595,-372178.9457278495,-780509.8678395422,0.99045,1688877.2590439706,539485.217560721,0.00805
0.65,1.8257221775545098,1.5217827483996853,1.4723249232783358,45917616.405198455,-1141601.1625053436,-403193.8578718371,-845556.881427623,0.9949,1829018.6126417192,583657.8298980254,0.00805
0.7,1.9103915569130445,1.5833606065083359,1.5245665831985407,49429662.28252141,-1229392.6365442052,-434208.77001582435,-910576.022378182,0.9975,1968749.453474728,628325.7192659875,0.0081
0.75,1.9868311801913832,1.6367087085367906,1.5682039186029413,52941708.15984437,-1317184.1105830744,-465223.682159812,-975218.2346849304,0.999,2108439.9492854476,673062.8923104338,0.0082
0.8,2.0547694553190814,1.681555462414605,1.6032369294915383,56453754.03716733,-1404975.584621951,-496238.5943037995,-1040161.7004745405,0.9996,2248446.9668257562,717612.9847415434,0.0082
0.85,2.113849092474701,1.7175435783203405,1.6296656158643312,59965799.91449028,-1492767.0586608201,-527253.5064477869,-1105171.8067541996,0.99975,2388199.3491065013,762339.7082939976,0.00815
0.9,2.1635967429498595,1.7441997075456153,1.6474899777213206,63477845.79181325,-1580558.5326997042,-558268.4185917745,-1170242.4605862002,0.99985,2528469.043655844,807083.5813375472,0.00815
0.95,2.2033733212019304,1.7608847645478023,1.6567100150625058,66989891.6691362,-1668350.0067385659,-589283.3307357617,-1235168.7518699311,0.99985,2667851.816873636,851535.1910650722,0.0082
1.0,2.232286532782228,1.7667064548782159,1.6573257278878875,70501937.54645915,-1756141.4807774425,-620298.2428797493,-1300181.7414420326,0.99995,2807421.998377949,896217.6725001539,0.0082
1.05,2.2490198402228088,1.7603482410689129,1.649337116197465,74013983.42378213,-1843932.9548162967,-651313.1550237364,-1365194.7310141346,0.99995,2947295.7950067716,940919.0486565074,0.0082
1.1,2.2514409080214453,1.7396777876176652,1.632744179991239,77526029.30110508,-1931724.4288551807,-682328.0671677242,-1430207.7205862359,1.0,3087153.81492131,985620.4248128625,0.0082
1.15,2.235438557203571,1.7005839155499074,1.6075469192692093,81038075.17842802,-2019515.902894035,-713342.9793117116,-1495220.7101583378,1.0,3227120.077933847,1030401.5729180515,0.0082
1.2,2.189076368108777,1.6311302052052294,1.5737453340313756,84550121.055751,-2107307.376932919,-744357.8914556988,-1560233.699730439,1.0,3366875.094303513,1075155.6300820634,0.0082
1.25,-inf,-inf,1.5313394242777383,88062166.93307394,-2195098.850971788,-775372.8035996864,-1625246.689302541,1.0,3507063.9082220094,1119698.10570871,0.00825
1.3,-inf,-inf,1.4803291900082964,91574212.81039691,-2282890.325010687,-806387.7157436742,-1690259.678874643,1.0,3647319.3564911913,1164219.149545766,0.00825
1.35,-inf,-inf,1.420714631223051,95086258.68771988,-2370681.7990495116,-837402.6278876616,-1755272.668446745,1.0,3787205.580730791,1208737.2071957907,0.00825
1.4,-inf,-inf,1.3524957479220028,98598304.56504282,-2458473.2730884254,-868417.5400316487,-1820282.9758304465,1.0,3927422.908139173,1253291.9954642355,0.00825
1.45,-inf,-inf,1.2756725401051492,102110350.44236578,-2546264.7471272796,-899432.4521756365,-1885293.0821101046,1.0,4067380.451866301,1297848.706937355,0.00825
1.5,-inf,-inf,1.1902450077724915,105622396.31968874,-2634056.221166149,-930447.364319624,-1950303.1883897632,1.0,4207477.589827152,1342405.4184104735,0.00825
