Scenario,3x Bear ETF Overbot Fade,3x ETF Overbot Fade,3x Leader Gap Fade,52wh Breakout,ATR Extended Gap Up,Indices Oversold Bounce,LT Trend ST OS,Monday Dip,Monthly Weak Close,Overbot Vol Spike P1,Overbot Vol Spike P2,Oversold Low Volume,SPY QQQ MonFri Reversion,Sector BO,St OS Sznl,Weak Close Decent Sznls
Primary_LOYO_FullCov_RawFullKelly,1.0,18.03813540058218,1.0,5.806425845733912,20.89437854754045,9.93062138789942,25.283402057119392,10.826221384311284,1.0,19.68339212863522,51.83659584301028,27.331921918867824,37.07490751789956,3.21315634632213,12.24645182336344,8.017359621703937
Primary_LOYO_FullCov_EqualRisk,1.0,0.0,1.0,1.02935544113839e-15,5.8427896831653126,1.9109536059903958e-16,1.6492619583818337e-16,0.0,1.0,0.0,0.0,11.523383105031082,6.534065360791333e-16,1.4814416260166223,0.0,1.0476355205040914e-17
Primary_LOYO_FullCov_EqualRisk_Quadratic,1.0,3.1191516451702645e-16,1.0,0.0,5.923995325442872,6.710782080781986e-17,1.7657861986241739e-16,1.6611861700970148e-16,1.0,0.0,0.0,11.367588733729054,9.951145279003517e-16,1.7956809985855735,4.4010540290723643e-16,0.0
OVS_Internal_LOYO_FixedRisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2588681620257147,0.0,1.0,1.0,1.0,1.0,1.0
OVS_Internal_FullMean_FixedRisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2588681620257147,0.0,1.0,1.0,1.0,1.0,1.0
OVS_Internal_CrisisCov_FixedRisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2588681620257145,9.992007221626409e-16,1.0,1.0,1.0,1.0,1.0
FullMean_FullCov_EqualRisk,1.0,5.102923419188022,1.0,9.17881758734165e-16,5.005446201725353,0.0,1.3348583618399452e-16,9.464372003605301e-16,1.0,1.8282027782330392e-16,0.0,8.901191952171704,4.867096951533055e-17,2.7233421974935625,0.0,1.6008565674006721e-16
LOYO_CrisisCov_EqualRisk,1.0,1.7114040633081526e-16,1.0,1.1063825241264902e-16,5.019679091952188,0.0,1.0518114082923526e-16,3.2383148882930873e-16,1.0,0.0,0.0,12.23149749018805,1.2617043553864148e-15,0.7501409300096711,0.0,0.0
2018Mean_2018Cov_EqualRisk,1.0,0.3695406030120876,1.0,3.448542901925409,7.478125503496295,3.6640631193336445e-15,0.0,6.075135292048326e-16,1.0,0.0,0.0,4.500431279616823,3.1510541028291536e-15,0.4352285726484987,7.608781363307944e-16,0.0
OVS_Internal_2018_FixedRisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.250215912841834,4.440892098500626e-16,1.0,1.0,1.0,1.0,1.0
LOYO_DiagonalCov_EqualRisk,1.0,0.0,1.0,0.0,5.871377639189933,2.2040711048328387e-16,0.0,0.0,1.0,3.397374685506767e-16,2.7808568760230647e-16,11.279630601762287,5.946247029009241e-17,2.1242502720477656,0.0,5.321718889854573e-16
LOYO_ShrinkStrength_0.5_EqualRisk,1.0,2.0545154263425627e-17,1.0,0.0,5.842792182086405,0.0,3.247737416721752e-16,0.0,1.0,2.997399571195046e-16,0.0,11.523381015782231,8.406075443680093e-17,1.4814436756280922,1.85447340109567e-16,4.8558885634142945e-17
LOYO_ShrinkStrength_2_EqualRisk,1.0,9.428252620108144e-17,1.0,4.659545329941771e-16,5.842796685224694,2.356130580445732e-17,0.0,0.0,1.0,0.0,1.4321945020769858e-16,11.523377250876518,5.059439117128211e-16,1.4814473691246743,6.023932571372467e-16,0.0
LiquidOnly_LOYO_EqualRisk,1.0,0.0,1.0,0.0,7.332979868125968,1.0156302858940333e-15,0.0,0.0,1.0,1.6238067179513488e-15,2.5076803227563243e-15,21.73258312651344,0.13696030591616484,2.638377042108754,5.140179863816352,1.4559939294191096e-15
OVS_Internal_LiquidOnly_FixedRisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.551115123125783e-16,5.603261586806842,1.0,1.0,1.0,1.0,1.0
FullCov_LiquidSupportedMeans_EqualRisk,1.0,0.0,1.0,3.389219650523758e-16,3.1086244689504383e-15,0.0,3.0596052680411173e-16,0.0,1.0,1.296169266023788e-15,2.9967616957246714e-16,15.233088594640106,0.0,2.697677634615091e-15,1.649877142556293e-15,0.0
OVS_Internal_LiquidSupportedMeans_FixedRisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.862970216865315,1.0,1.0,1.0,1.0,1.0
OVS_Pooled_LOYO_EqualRisk,1.0,1.2762003635692047e-16,1.0,0.0,5.924692593193781,3.0743058254658563e-16,0.0,0.0,1.0,3.6805046083383377e-16,3.6805046083383377e-16,11.405363421431307,0.0,1.6881924502571808,7.4430804675321e-16,6.798877449624634e-16
