Date,Entry Date,Exit Date,Exit Type,Time Stop,Strategy,Ticker,Action,Entry Criteria,Price,Exit Price,Shares,PnL,ATR,stop_atr,tgt_atr,T+1 Open,Signal Close,Range %,Equity at Signal,Risk $,Risk bps,Size_Mult,Tranche,R_Multiple
2020-06-05,2020-06-08,2020-06-10,Time,2020-06-10,3x ETF Overbot Fade,UDOW,SELL SHORT,Limit (Open +/- 0.5 ATR),18.527976615088328,17.538467407226562,1990,1969.0,0.8563682692391532,1.0,8.0,18.09979248046875,17.74215316772461,38.95724692635859,848663.3381084885,1704.5454545454545,60.0,1.0,,1.1551466666666668
2020-06-08,2020-06-09,2020-06-11,Time,2020-06-11,3x ETF Overbot Fade,SOXL,SELL SHORT,Limit (Open +/- 0.5 ATR),12.458412068230766,10.191856384277344,1565,3548.0,0.8554132325308663,1.0,8.0,12.030705451965332,12.459085464477539,49.54360160315143,831400.5247161898,1339.2857142857142,60.0,1.0,,2.6491733333333336
2020-06-09,2020-06-10,2020-06-12,Time,2020-06-12,3x ETF Overbot Fade,TQQQ,SELL SHORT,Limit (Open +/- 0.5 ATR),11.712992770331246,10.124368667602539,8781,13950.0,0.5124437468392509,1.0,8.0,11.456770896911621,11.215604782104492,75.47177986808813,855004.2501077141,4500.0,60.0,1.0,,3.1
2020-09-23,2020-09-24,2020-09-28,Time,2020-09-28,3x Bear ETF Overbot Fade,TZA,SELL SHORT,Limit (Open +/- 0.5 ATR),1394.6746477399554,1184.041015625,20,4213.0,95.40959821428571,1.0,8.0,1346.9698486328125,1344.8629150390625,96.37309619297135,1009580.8570972682,1968.7499999999995,37.5,0.7,,2.1399365079365085
2020-10-29,2020-10-30,2020-11-03,Time,2020-11-03,3x Bear ETF Overbot Fade,SDOW,SELL SHORT,Limit (Open +/- 0.5 ATR),280.8188509259905,245.7333526611328,246,8631.0,11.432135445731026,1.0,8.0,275.102783203125,270.522216796875,39.7162847113446,1016281.8695691483,2812.5,37.5,1.0,,3.0688
2021-03-04,2021-03-05,2021-03-09,Time,2021-03-09,3x Bear ETF Overbot Fade,LABD,SELL SHORT,Limit (Open +/- 0.5 ATR),217.84221948896135,187.39971923828125,148,4505.0,18.952017102922714,1.0,8.0,208.3662109375,217.528564453125,69.11766448816498,1033258.0412312406,2812.5,37.5,1.0,,1.6017777777777777
2021-05-12,2021-05-13,2021-05-17,Time,2021-05-17,3x Bear ETF Overbot Fade,SQQQ,SELL SHORT,Limit (Open +/- 0.5 ATR),1309.0307442801338,1223.7447509765625,9,768.0,57.673549107142854,1.0,8.0,1280.1939697265625,1316.48291015625,85.13518820961127,1042669.5924648046,562.5,37.5,0.2,,1.3653333333333333
2021-07-15,2021-07-16,2021-07-20,Time,2021-07-20,3x Bear ETF Overbot Fade,TZA,SELL SHORT,Limit (Open +/- 0.5 ATR),289.87790080479215,286.9685363769531,51,148.0,13.543948582240514,1.0,8.0,283.1059265136719,291.7966613769531,34.23902569896577,1046311.8068104642,703.125,37.5,0.25,,0.2104888888888889
2021-09-29,2021-09-30,2021-10-04,Time,2021-10-04,3x Bear ETF Overbot Fade,SQQQ,SELL SHORT,Limit (Open +/- 0.5 ATR),868.0191563197544,907.2241821289062,77,-3019.0,36.50498744419643,1.0,8.0,849.7666625976562,860.8548583984375,85.29405479334957,1049294.9876829728,2812.5,37.5,1.0,,-1.0734222222222223
2022-08-04,2022-08-05,2022-08-09,Time,2022-08-09,3x ETF Overbot Fade,TQQQ,SELL SHORT,Limit (Open +/- 0.5 ATR),16.969744035175868,16.108251571655273,4267,3676.0,1.0543943813868932,1.0,8.0,16.442546844482422,17.263957977294922,90.83991109728993,1053083.6859685525,4500.0,60.0,1.0,,0.8168888888888889
2022-08-12,2022-08-15,2022-08-17,Time,2022-08-17,3x ETF Overbot Fade,TNA,SELL SHORT,Limit (Open +/- 0.5 ATR),50.8910162789481,48.68985366821289,1817,4000.0,2.4763150896344865,1.0,8.0,49.65285873413086,50.84699249267578,98.63944295037969,1056606.3144138712,4500.0,60.0,1.0,,0.8888888888888888
2022-08-12,2022-08-15,2022-08-17,Time,2022-08-17,3x ETF Overbot Fade,FAS,SELL SHORT,Limit (Open +/- 0.5 ATR),77.6848497390747,78.61267852783203,1391,-1291.0,3.2331180572509766,1.0,8.0,76.06829071044922,78.22663116455078,97.78344642061614,1056606.3144138712,4500.0,60.0,1.0,,-0.2868888888888889
2022-08-15,2022-08-16,2022-08-18,Time,2022-08-18,3x ETF Overbot Fade,FAS,SELL SHORT,Limit (Open +/- 0.5 ATR),79.0996333530971,78.89344024658203,720,148.0,3.2550528390066966,1.0,8.0,77.47210693359375,78.29682159423828,83.72082049761036,1052918.3176630395,2343.75,60.0,1.0,,0.06314666666666667
2022-08-15,2022-08-16,2022-08-18,Time,2022-08-18,3x ETF Overbot Fade,SPXL,SELL SHORT,Limit (Open +/- 0.5 ATR),92.63845552716937,90.7922592163086,631,1166.0,3.711725507463728,1.0,8.0,90.7825927734375,91.49787902832031,88.63632286650761,1052918.3176630395,2343.75,60.0,1.0,,0.49749333333333334
2023-02-01,2023-02-02,2023-02-06,Time,2023-02-06,3x ETF Overbot Fade,RETL,SELL SHORT,Limit (Open +/- 0.5 ATR),12.053685597011022,10.929332733154297,3382,3803.0,0.6928585597446987,1.0,8.0,11.707256317138672,11.092602729797363,81.04573763554752,1053377.0759280752,2343.75,60.0,1.0,,1.6226133333333332
2023-02-02,2023-02-03,2023-02-07,Time,2023-02-07,3x ETF Overbot Fade,SPXL,SELL SHORT,Limit (Open +/- 0.5 ATR),75.32009288242885,75.54666137695312,739,-168.0,3.1692232404436385,1.0,8.0,73.73548126220703,76.54428100585938,70.33330882661849,1042529.9136395457,2343.75,60.0,1.0,,-0.07168
2023-02-02,2023-02-03,2023-02-07,Time,2023-02-07,3x ETF Overbot Fade,TQQQ,SELL SHORT,Limit (Open +/- 0.5 ATR),12.454373802457537,12.677938461303711,3324,-743.0,0.7049779210771833,1.0,8.0,12.101884841918945,12.917959213256836,68.23521850148705,1042529.9136395457,2343.75,60.0,1.0,,-0.3170133333333333
2023-02-02,2023-02-03,2023-02-07,Time,2023-02-07,3x ETF Overbot Fade,TNA,SELL SHORT,Limit (Open +/- 0.5 ATR),43.792640277317595,42.26755905151367,1084,1654.0,2.1613379887172153,1.0,8.0,42.711971282958984,44.199790954589844,82.20855997761717,1042529.9136395457,2343.75,60.0,1.0,,0.7057066666666667
