ticker,reason
CEF,etf_or_fund
COPX,etf_or_fund
DBA,etf_or_fund
DBC,etf_or_fund
DIA,etf_or_fund
DX-Y.NYB,no_profile
EEM,etf_or_fund
EFA,etf_or_fund
EWJ,etf_or_fund
EWT,etf_or_fund
EWW,etf_or_fund
EWY,etf_or_fund
EWZ,etf_or_fund
FXI,etf_or_fund
GDX,etf_or_fund
GDXJ,etf_or_fund
GLD,etf_or_fund
IBB,etf_or_fund
IHI,etf_or_fund
INDA,etf_or_fund
ITA,etf_or_fund
ITB,etf_or_fund
IWM,etf_or_fund
IYR,etf_or_fund
IYT,etf_or_fund
KRE,etf_or_fund
KWEB,etf_or_fund
OIH,etf_or_fund
PALL,etf_or_fund
PPLT,etf_or_fund
QQQ,etf_or_fund
RSX,etf_or_fund
SLV,etf_or_fund
SMH,etf_or_fund
SPY,etf_or_fund
UNG,etf_or_fund
URA,etf_or_fund
USO,etf_or_fund
UVXY,etf_or_fund
VGK,etf_or_fund
VNQ,etf_or_fund
XBI,etf_or_fund
XHB,etf_or_fund
XLB,etf_or_fund
XLC,etf_or_fund
XLE,etf_or_fund
XLF,etf_or_fund
XLI,etf_or_fund
XLK,etf_or_fund
XLP,etf_or_fund
XLRE,etf_or_fund
XLU,etf_or_fund
XLV,etf_or_fund
XLY,etf_or_fund
XME,etf_or_fund
XOP,etf_or_fund
XRT,etf_or_fund
