date,raw,dist_pct,incumbent_fire,fire_raw_1d,fire_sma3,fire_sma5,fire_sma8,fire_sma13,fire_sma21,fire_ema5,fire_ema8,fire_ema13,fire_ema21,fire_persist_3of5
2026-08-03,61.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-04,103.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-05,91.0,0.2,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-06,31.0,0.36,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-07,39.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-10,0.0,0.03,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-11,15.0,0.35,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-12,37.0,0.1,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-13,98.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-14,13.0,0.2,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-17,-61.0,0.67,True,True,False,False,False,False,False,False,False,False,False,False
2026-08-18,-117.0,1.34,True,True,True,True,False,False,False,True,True,False,False,False
2026-08-19,27.0,1.13,False,False,True,True,False,False,False,True,True,False,False,False
2026-08-20,-20.0,1.96,True,True,True,True,True,False,False,True,True,False,False,True
2026-08-21,-8.0,1.56,True,True,True,True,True,False,False,True,True,False,False,True
2026-08-24,-5.0,1.85,True,True,True,True,True,False,False,True,True,False,False,True
2026-08-25,13.0,1.54,False,False,False,False,True,False,False,True,True,False,False,True
2026-08-26,14.0,1.52,False,False,False,True,True,False,False,False,False,False,False,True
2026-08-27,7.0,0.87,False,False,False,False,True,False,False,False,False,False,False,False
2026-08-28,4.0,1.1,False,False,False,False,False,False,False,False,False,False,False,False
2026-08-31,-102.0,1.39,True,True,True,True,True,True,False,True,True,True,False,False
2026-09-01,-133.0,2.07,True,True,True,True,True,True,False,True,True,True,True,False
2026-09-02,-59.0,1.64,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-03,-10.0,0.61,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-04,-44.0,0.99,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-08,-50.0,1.53,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-09,-185.0,1.99,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-10,-307.0,2.58,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-11,-129.0,1.75,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-14,-212.0,2.19,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-15,-309.0,2.63,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-16,-161.0,3.06,False,False,False,False,False,False,False,False,False,False,False,False
2026-09-17,-41.0,1.96,True,True,True,True,True,True,True,True,True,True,True,True
