variant,fire_days,episodes,eps_per_yr,ctrl_days,ctrl_episodes,state_on_days,pct_of_near_high
raw_1d,345,78,3.0330565314595974,3249,43,570,9.599332220367279
sma3,289,58,2.255349728521239,3305,46,559,8.041179744017807
sma5,268,44,1.7109549664643884,3326,48,581,7.456872565386756
sma8,253,34,1.322101564995209,3341,46,538,7.039510294936004
sma13,253,30,1.1665602044075374,3341,46,550,7.039510294936004
sma21,244,25,0.9721335036729479,3350,41,549,6.789092932665554
ema5,244,34,1.322101564995209,3350,46,619,6.789092932665554
ema8,224,30,1.1665602044075374,3370,45,575,6.232609905397886
ema13,215,27,1.0499041839667838,3379,42,592,5.982192543127435
ema21,215,22,0.8554774832321942,3379,40,584,5.982192543127435
persist_3of5,273,46,1.7887256467582242,3321,48,567,7.595993322203673
