variant,era,n_ep,ep_mean_21d_pct,ctrl_mean_21d_pct,edge_21d_pct,ep_mean_63d_pct,ctrl_mean_63d_pct,edge_63d_pct
raw_1d,pre2010,18,-0.6193605961912639,0.8121053052116819,-1.4314659014029458,0.6831269099401732,2.186883913664857,-1.503757003724684
raw_1d,2010plus,60,1.0510951421595593,1.2587105848888236,-0.20761544272926424,2.609670071444559,2.7226627405135555,-0.11299266906899641
sma3,pre2010,12,-1.656245178287043,0.8285277076245804,-2.4847728859116236,0.039980724135833354,2.1678061744710875,-2.127825450335254
sma3,2010plus,46,0.6976276239333464,1.44427374726092,-0.7466461233275735,2.420701943206721,3.164704911794046,-0.7440029685873251
sma5,pre2010,7,-0.8287191957516498,0.693476530437374,-1.5221957261890238,-0.7058841236769301,2.018808413242414,-2.724692536919344
sma5,2010plus,37,0.5585973375383387,1.357440629257672,-0.7988432917193332,1.8904601031789796,2.9402531153853686,-1.049793012206389
sma8,pre2010,5,-0.17689934492399306,0.7136910548387962,-0.8905903997627893,-2.1124787026886804,2.04330404472966,-4.155782747418341
sma8,2010plus,29,1.1916767994660187,1.4042009374752593,-0.21252413800924064,2.4783151376603727,3.200531969467804,-0.7222168318074313
sma13,pre2010,6,0.22151279567125629,1.415716929710158,-1.1942041340389016,-0.28601033374455,3.41940270195614,-3.70541303570069
sma13,2010plus,24,2.117886436884903,1.4921864847768775,0.6256999521080253,3.316797208053262,3.3701710815859425,-0.05337387353268053
sma21,pre2010,6,1.0118443347872652,0.8666424952589584,0.1452018395283068,-0.20684491933682012,3.3944451629657646,-3.601290082302585
sma21,2010plus,19,1.308264370586033,1.4207135519282754,-0.11244918134224235,0.5640643672143958,3.384962014233147,-2.820897647018751
ema5,pre2010,5,-1.6047863202789856,0.8285277076245804,-2.433314027903566,-1.0635538721709348,2.1678061744710875,-3.2313600466420223
ema5,2010plus,29,0.47897337735338696,1.3650507310562248,-0.8860773537028378,1.223593401981207,3.161804694606062,-1.9382112926248551
ema8,pre2010,5,0.10662378809647599,0.693476530437374,-0.586852742340898,-1.318863288429859,2.018808413242414,-3.337671701672273
ema8,2010plus,25,1.5897397450189084,1.3494887094855805,0.24025103553332783,1.6926748862136698,3.329083764029768,-1.6364088778160983
ema13,pre2010,6,0.1640557646139536,1.194258513479089,-1.0302027488651355,-2.361025566555321,3.293861707124568,-5.654887273679889
ema13,2010plus,21,1.9075370874607847,1.590363057870534,0.31717402959025076,2.3414760094141633,3.5309150471808946,-1.1894390377667312
ema21,pre2010,5,0.6990488542503548,0.7336464854974836,-0.03459763124712878,-0.9053750305312923,3.34892011607512,-4.254295146606412
ema21,2010plus,17,1.351386556310543,1.5464010331385585,-0.19501447682801554,2.5054348711374033,3.9390664837202354,-1.4336316125828321
persist_3of5,pre2010,9,-0.9516780621916989,0.5069913946253269,-1.458669456817026,-1.113633344807362,2.0871047189880354,-3.2007380637953977
persist_3of5,2010plus,37,0.7546491714500937,1.4071479410326,-0.6524987695825063,1.9083422620742412,3.23586249204956,-1.3275202299753186
