date,spy,dist_pct,near_high,raw,sma5,ema5,sma13,ema21,incumbent_fire,incumbent_sev,fire_sma5,on_sma5,fire_ema5,on_ema5,fire_sma13,on_sma13,fire_ema21,on_ema21,fire_persist_3of5,on_persist_3of5,on_raw_1d
2026-08-06,768.56,0.36,True,31.0,53.4,55.1,31.9,46.0,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-07,773.26,0.0,True,39.0,65.0,49.7,34.6,45.3,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-10,773.03,0.03,True,0.0,52.8,33.1,34.0,41.2,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-11,770.56,0.35,True,15.0,35.2,27.1,43.3,38.8,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-12,772.49,0.1,True,37.0,24.4,30.4,45.0,38.7,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-13,777.88,0.0,True,98.0,37.8,52.9,48.0,44.1,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-14,776.34,0.2,True,13.0,32.6,39.6,39.3,41.2,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-17,772.67,0.67,True,-61.0,20.4,6.1,32.3,31.9,True,1.0,False,False,False,False,False,False,False,False,False,False,True
2026-08-18,767.45,1.34,True,-117.0,-6.0,-34.9,22.4,18.4,True,1.0,True,True,True,True,False,False,False,False,False,False,True
2026-08-19,769.06,1.13,True,27.0,-8.0,-14.3,25.9,19.2,False,0.0,True,True,True,True,False,False,False,False,False,False,False
2026-08-20,762.6,1.96,True,-20.0,-31.6,-16.2,19.7,15.6,True,1.0,True,True,True,True,False,False,False,False,True,True,True
2026-08-21,765.72,1.56,True,-8.0,-35.8,-13.5,11.2,13.5,True,1.0,True,True,True,True,False,False,False,False,True,True,True
2026-08-24,763.47,1.85,True,-5.0,-24.6,-10.6,3.8,11.8,True,1.0,True,True,True,True,False,False,False,False,True,True,True
2026-08-25,765.91,1.54,True,13.0,1.4,-2.8,2.4,11.9,False,0.0,False,False,True,True,False,False,False,False,True,True,False
2026-08-26,766.08,1.52,True,14.0,-1.2,2.8,0.5,12.1,False,0.0,True,True,False,False,False,False,False,False,True,True,False
2026-08-27,771.1,0.87,True,7.0,4.2,4.2,1.0,11.6,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-28,769.35,1.1,True,4.0,6.6,4.1,0.2,10.9,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2026-08-31,767.05,1.39,True,-102.0,-12.8,-31.2,-10.5,0.7,True,1.0,True,True,True,True,True,True,False,False,False,False,True
2026-09-01,761.78,2.07,True,-133.0,-42.0,-65.2,-28.3,-11.5,True,0.6,True,True,True,True,True,True,True,True,False,False,True
2026-09-02,765.16,1.64,True,-59.0,-56.6,-63.1,-33.8,-15.8,True,1.0,True,True,True,True,True,True,True,True,True,True,True
2026-09-03,773.17,0.61,True,-10.0,-60.0,-45.4,-29.9,-15.3,True,1.0,True,True,True,True,True,True,True,True,True,True,True
2026-09-04,770.19,0.99,True,-44.0,-69.6,-44.9,-24.3,-17.9,True,1.0,True,True,True,True,True,True,True,True,True,True,True
2026-09-08,765.96,1.53,True,-50.0,-59.2,-46.6,-30.2,-20.8,True,1.0,True,True,True,True,True,True,True,True,True,True,True
2026-09-09,762.4,1.99,True,-185.0,-69.6,-92.7,-42.9,-35.7,True,1.0,True,True,True,True,True,True,True,True,True,True,True
2026-09-10,757.83,2.58,True,-307.0,-119.2,-164.2,-65.9,-60.4,True,0.6,True,True,True,True,True,True,True,True,True,True,True
2026-09-11,764.29,1.75,True,-129.0,-143.0,-152.4,-75.5,-66.6,True,1.0,True,True,True,True,True,True,True,True,True,True,True
2026-09-14,760.88,2.19,True,-212.0,-176.6,-172.3,-92.8,-79.8,True,0.6,True,True,True,True,True,True,True,True,True,True,True
2026-09-15,757.39,2.63,True,-309.0,-228.4,-217.9,-117.6,-100.7,True,0.6,True,True,True,True,True,True,True,True,True,True,True
2026-09-16,754.05,3.06,False,-161.0,-223.6,-198.9,-130.5,-106.2,False,0.0,False,True,False,True,False,True,False,True,False,True,True
2026-09-17,762.6,1.96,True,-41.0,-170.4,-146.3,-134.0,-100.2,True,1.0,True,True,True,True,True,True,True,True,True,True,True
