variant,horizon,cell,n,n_clusters,mean_pct,median_pct,pct_neg,t_vs_zero,t_vs_control,t_vs_baseline,sign_p_vs_control,ctrl_mean_pct,ctrl_pct_neg,base_mean_pct,base_pct_neg
raw_1d,5,fire_days,341,78,-0.19840053913783587,0.08138768323446843,47.50733137829912,-1.2967479088180238,-2.430937884842292,-2.5410165228070767,,0.18485711566030893,39.76608187134503,0.1979813245996039,41.52292152292152
raw_1d,5,episode_starts,78,78,0.32355812391732686,0.4107700802241543,38.46153846153847,1.7156230975788387,1.2137815236024074,0.657357463004593,0.6344892633258737,-0.07122838451231416,48.837209302325576,0.1979813245996039,41.52292152292152
raw_1d,10,fire_days,336,78,-0.1924162837649483,0.1426894361865494,48.214285714285715,-0.6530969342446444,-1.8374533429754734,-1.9667475303100284,,0.36522796291875165,36.072637734687596,0.39267073546264947,38.55365474339036
raw_1d,10,episode_starts,78,78,0.5233281823266074,0.9608360250947467,37.17948717948718,1.897710767486418,0.1428455711541651,0.46859098575894903,0.46156065491138387,0.45681433819442124,37.2093023255814,0.39267073546264947,38.55365474339036
raw_1d,21,fire_days,330,78,-0.25042748127388115,0.19952387586087417,46.36363636363636,-0.44297521334179474,-1.6868899853447534,-1.8768415963750038,,0.7525725784974485,32.059186189889026,0.8163250431148652,34.77177130394142
raw_1d,21,episode_starts,78,78,0.6656053563862925,1.2466501493139437,35.8974358974359,1.7802735495880366,-0.7350304477188359,-0.39823653403658177,0.2696435274004633,1.1340765533510166,30.23255813953488,0.8163250431148652,34.77177130394142
raw_1d,42,fire_days,326,76,-0.3082502014664895,0.4412444768562507,46.31901840490797,-0.322573322185644,-1.837976353930318,-2.0291757829132337,,1.5963323647004364,27.973977695167285,1.6377223718693448,31.55673648015005
raw_1d,42,episode_starts,76,76,1.2211981990756537,2.1951964956282044,34.21052631578947,2.2665898408331637,-0.07545125794937228,-0.7645614139789161,0.13982485985209697,1.2982338178889712,34.883720930232556,1.6377223718693448,31.55673648015005
raw_1d,63,fire_days,325,75,0.1680947494517646,1.0393256952411667,44.0,0.14958691311757216,-1.8436872378104507,-2.0698763326686014,,2.4901945435953623,25.716064757160645,2.5025773806956786,29.73184883173906
raw_1d,63,episode_starts,75,75,2.1472997126835063,3.088423023249409,32.0,3.4627965435587105,-0.35194434634199667,-0.5661581766184254,0.13367092238319866,2.573143067904616,27.906976744186046,2.5025773806956786,29.73184883173906
raw_1d,21,drawdown_21d_fire_days,330,78,-3.1874836960116464,-2.3081944934350673,25.151515151515152,,-2.719466917957342,-0.9670293016045999,,-1.9080566594625477,8.692971639950677,-2.75880861562562,17.86882692008101
raw_1d,21,drawdown_21d_episodes,78,78,-2.1328549115444067,-1.1970849188657484,12.82051282051282,,-0.632723713597972,1.9657914432095318,0.13822963194745067,-1.9080566594625477,8.692971639950677,-2.75880861562562,17.86882692008101
raw_1d,63,drawdown_63d_fire_days,325,75,-6.1223728733490645,-5.215742710490378,51.69230769230769,,-2.2492950194259467,-1.0864377036127029,,-3.6904128578135507,23.816936488169365,-5.115165495570529,34.091265485337935
raw_1d,63,drawdown_63d_episodes,75,75,-3.882306252044127,-3.0810990737905053,30.666666666666664,,-0.2662547907683295,2.6911021162735858,0.10639199284440005,-3.6904128578135507,23.816936488169365,-5.115165495570529,34.091265485337935
sma3,5,fire_days,285,58,-0.30599123755712093,-0.009515198286225157,50.526315789473685,-1.7901671373843397,-2.8274598781259495,-2.9028216146256502,,0.18764105526115618,39.636913767019664,0.1979813245996039,41.52292152292152
sma3,5,episode_starts,58,58,-0.008092615778762045,0.6190741499058072,44.827586206896555,-0.03404188644943408,-0.3158542329173332,-0.8598463017959925,0.24871549962108347,0.10351225356880465,41.30434782608695,0.1979813245996039,41.52292152292152
sma3,10,fire_days,280,58,-0.45482661598015717,-0.370690382221156,53.92857142857142,-1.2207620472079126,-2.201162518226029,-2.2609077489298968,,0.378010660409212,35.794251134644476,0.39267073546264947,38.55365474339036
sma3,10,episode_starts,58,58,0.21724636882207274,0.12847378836113865,46.55172413793103,0.6695983747129535,-0.7633920961933058,-0.5363844693365766,0.05972077337555713,0.5836608636014947,34.78260869565217,0.39267073546264947,38.55365474339036
sma3,21,fire_days,273,58,-0.5407977338288444,-0.04047766332266889,50.18315018315018,-0.7903396760619148,-1.839751131586359,-1.976070857851772,,0.7592675423085784,31.990305967888517,0.8163250431148652,34.77177130394142
sma3,21,episode_starts,58,58,0.21061945795671413,0.364134469294608,46.55172413793103,0.4607608737142791,-1.571739709883416,-1.31425486385562,0.014405253307424655,1.2836443456166575,30.434782608695656,0.8163250431148652,34.77177130394142
sma3,42,fire_days,269,56,-0.6886050983218132,-0.1333222976160342,50.55762081784386,-0.6114159007378769,-1.9191674433533388,-2.060279020024731,,1.5944310742841707,27.945205479452056,1.6377223718693448,31.55673648015005
sma3,42,episode_starts,56,56,1.1967598698795467,1.2364825168872384,37.5,2.006222797746469,-0.5160259877627966,-0.732551517020893,0.07703579016760341,1.7165983661173885,32.608695652173914,1.6377223718693448,31.55673648015005
sma3,63,fire_days,269,56,-0.3831084282916807,0.2668631216630635,48.3271375464684,-0.2913152565892699,-2.02304702528899,-2.188424910808583,,2.495774735254158,25.673194614443084,2.5025773806956786,29.73184883173906
sma3,63,episode_starts,56,56,1.9105473962629589,3.067667922685069,32.142857142857146,2.454581667958139,-0.8171119113030507,-0.7548684623022327,0.16897990392430434,2.90464437162284,23.91304347826087,2.5025773806956786,29.73184883173906
sma3,21,drawdown_21d_fire_days,273,58,-3.561169759253198,-2.748247152964367,29.67032967032967,,-2.9240946167982638,-1.4571343166510513,,-1.8992444952148513,8.603453498939716,-2.75880861562562,17.86882692008101
sma3,21,drawdown_21d_episodes,58,58,-2.6380818913849162,-1.8212698380933756,15.517241379310345,,-1.7357577307208585,0.30053862033527273,0.05872384886520463,-1.8992444952148513,8.603453498939716,-2.75880861562562,17.86882692008101
sma3,63,drawdown_63d_fire_days,269,56,-6.852801673075313,-6.6380890522722,59.479553903345725,,-2.631685106059008,-1.5910822818426331,,-3.6719625560215152,23.653610771113833,-5.115165495570529,34.091265485337935
sma3,63,drawdown_63d_episodes,56,56,-4.541710386913985,-3.4410144068307833,35.714285714285715,,-1.0920453210833492,0.9477166899900167,0.028416113463164475,-3.6719625560215152,23.653610771113833,-5.115165495570529,34.091265485337935
sma5,5,fire_days,264,44,-0.3360088094844765,0.002652494313470921,50.0,-1.7830792402876556,-2.7264157577909924,-2.797479629484804,,0.18690694847812492,39.747444377630785,0.1979813245996039,41.52292152292152
sma5,5,episode_starts,44,44,-0.35822503166440106,-0.12355267037244544,52.27272727272727,-1.1658280702876949,-0.9886585905473603,-1.8013436054630183,0.06256501025675791,0.038089098002693875,39.58333333333333,0.1979813245996039,41.52292152292152
sma5,10,fire_days,259,44,-0.5279722348603016,-0.42631415048960397,54.826254826254825,-1.321751874963347,-2.2369765251249736,-2.2926141803034494,,0.37844816265989767,35.838845460012024,0.39267073546264947,38.55365474339036
sma5,10,episode_starts,44,44,0.22332257153368382,0.3314405445750124,45.45454545454545,0.5831710923971901,-0.5898725533841316,-0.4396868380435145,0.12126311849571154,0.5437720672230114,33.33333333333333,0.39267073546264947,38.55365474339036
sma5,21,fire_days,251,44,-0.5847137204741558,0.17058015770727852,48.20717131474104,-0.7386182918549398,-1.6518306231102453,-1.764955415095969,,0.7539775864171998,32.26000601865784,0.8163250431148652,34.77177130394142
sma5,21,episode_starts,44,44,0.337887889060386,0.5655333711912625,45.45454545454545,0.6402256779066304,-1.1804949386979777,-0.9009692030176584,0.046194970585195484,1.1914496045525975,27.083333333333332,0.8163250431148652,34.77177130394142
sma5,42,fire_days,248,42,-0.8528909125477987,-0.29137399993498514,52.41935483870967,-0.6620968281693586,-1.8241664430358548,-1.9296756797613914,,1.59225295035898,27.949183303085302,1.6377223718693448,31.55673648015005
sma5,42,episode_starts,42,42,0.7223825565073237,0.7968949946230208,40.476190476190474,1.0064817081918604,-0.9654499680781172,-1.2673447668904214,0.05433313161971904,1.7498239895313346,33.33333333333333,1.6377223718693448,31.55673648015005
sma5,63,fire_days,248,42,-0.5104926662637984,0.39959241676339463,47.58064516129033,-0.35204764206300393,-1.9433412485255817,-2.0733255007694362,,2.4869984338198687,25.874125874125873,2.5025773806956786,29.73184883173906
sma5,63,episode_starts,42,42,1.4577360653696616,1.910636373858965,30.952380952380953,1.5092159532837297,-0.9247035986603255,-1.07641390887808,0.2763376359515754,2.70989193984963,27.083333333333332,2.5025773806956786,29.73184883173906
sma5,21,drawdown_21d_fire_days,251,44,-3.6491357949173757,-2.6525020649842745,30.278884462151396,,-2.7430603349442273,-1.43431380520135,,-1.9036028704351746,8.696960577791153,-2.75880861562562,17.86882692008101
sma5,21,drawdown_21d_episodes,44,44,-2.748467496441927,-2.3095708661334315,13.636363636363635,,-1.7649085432862337,0.022591425599567967,0.18017958147472055,-1.9036028704351746,8.696960577791153,-2.75880861562562,17.86882692008101
