variant,n_confirmed,n_missed,median_lag_td,mean_lag_td,dd63_confirmed_pct,dd63_missed_pct,p5_confirmed,p5_missed,fwd21_confirmed_pct,fwd21_missed_pct,sign_p_confirmed
sma3,54,24,2.0,3.8703703703703702,-4.7081120873522195,-2.1274688520144305,37.254901960784316,16.666666666666664,-0.08135797488889698,2.3462728517554687,0.19123437622458675
sma5,39,39,4.0,5.512820512820513,-5.332646230011118,-2.543530887766903,47.22222222222222,15.384615384615385,-0.5291047115562153,1.8603154243288,0.02715247720789891
sma8,29,49,7.0,8.206896551724139,-5.236161178060252,-3.120762856160056,48.148148148148145,20.833333333333336,-0.5853027426543345,1.4059387211246226,0.04264015199822449
sma13,21,57,10.0,9.666666666666666,-5.546454451696657,-3.2771614521704793,50.0,23.636363636363637,-0.9725057149433867,1.2691199616130162,0.05517516828028886
sma21,18,60,7.5,4.944444444444445,-7.585744594244375,-2.796815703468192,76.47058823529412,17.24137931034483,-1.6736262214414501,1.3673748297346153,0.00013280803189538902
ema5,38,40,3.5,5.7894736842105265,-5.095889159191732,-2.820421208289972,42.857142857142854,20.0,-0.24104930321007684,1.526927283002843,0.08622363139529615
ema8,28,50,6.0,8.357142857142858,-5.708168965125016,-2.9134811389807975,53.84615384615385,18.367346938775512,-0.6965568089492192,1.428416168974179,0.011607251163897457
ema13,21,57,8.0,8.761904761904763,-5.556562799332823,-3.273485689393692,55.00000000000001,21.818181818181817,-1.0063922028895294,1.2816044571721217,0.02028644478554948
ema21,15,63,6.0,5.133333333333334,-6.273734506970399,-3.3334538656676065,71.42857142857143,21.311475409836063,-1.0543729824587371,1.075124008492252,0.0020077206513043756
persist_3of5,42,36,3.0,4.785714285714286,-5.247364579175031,-2.3222395924659507,47.5,11.428571428571429,-0.41338020337784653,1.924421842777788,0.018753081842519455
