,flat,opencount,recency,recency-opencount,recency-flat
2003,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0
2005,15122.000000000004,11900.0,10985.0,-915.0,-4137.000000000004
2006,13352.0,9984.0,8571.0,-1413.0,-4781.0
2007,1336.0,-11.0,668.0,679.0,-668.0
2008,0.0,0.0,0.0,0.0,0.0
2009,550.0,550.0,275.0,-275.0,-275.0
2010,34646.99999999999,30942.999999999993,29185.0,-1757.9999999999927,-5461.999999999993
2011,9584.0,4792.0,5917.0,1125.0,-3667.0
2012,8414.0,1909.9999999999993,3666.9999999999995,1757.0000000000002,-4747.0
2013,23004.0,12265.0,11807.0,-458.0,-11197.0
2014,5108.0,4383.0,2553.0,-1830.0,-2555.0
2015,16667.0,10688.0,9124.0,-1564.0,-7543.0
2016,14355.0,11085.0,9961.0,-1124.0,-4394.0
2017,10058.0,5970.0,10489.0,4519.0,431.0
2018,85995.0,60601.0,54014.0,-6587.0,-31981.0
2019,28368.0,22612.0,17328.0,-5284.0,-11040.0
2020,7057.0,4787.0,4029.0,-758.0,-3028.0
2021,145109.0,118099.0,101948.0,-16151.0,-43161.0
2022,0.0,0.0,0.0,0.0,0.0
2023,55551.0,40704.0,33278.0,-7426.0,-22273.0
2024,-2759.999999999999,-5217.999999999998,-5420.0,-202.00000000000182,-2660.000000000001
2025,116689.0,99390.0,88500.0,-10890.0,-28189.0
2026,20472.000000000004,31130.0,39768.0,8638.0,19295.999999999996
