,pnl_flat
2003-01-21,-356.366858754839
2003-01-22,-1640.9334763118322
2003-01-23,4587.57299545833
2003-01-24,-9801.437607901416
2003-01-27,-4519.468096801219
2003-01-28,1575.7981452941895
2003-01-29,1102.8348990167874
2003-01-30,0.0
2003-01-31,3598.079411097939
2003-02-03,1090.31884765625
2003-02-04,-2860.398258754189
2003-02-05,0.0
2003-02-06,-237.52050781250728
2003-02-07,-1895.044921875
2003-02-10,1406.5654296875073
2003-02-11,0.0
2003-02-12,0.0
2003-02-13,691.4197267804755
2003-02-14,3906.96435546875
2003-02-17,0.0
2003-02-18,3269.6159177507743
2003-02-19,0.0
2003-02-20,0.0
2003-02-21,0.0
2003-02-24,0.0
2003-02-25,7252.120382513319
2003-02-26,-5982.122262954712
2003-02-27,5691.001880441393
2003-02-28,0.0
2003-03-03,0.0
2003-03-04,74.14879144940716
2003-03-05,284.4523067474365
2003-03-06,-341.6010981968437
2003-03-07,0.0
2003-03-10,0.0
2003-03-11,-765.1880066735446
2003-03-12,1160.9355685370392
2003-03-13,8701.252438136506
2003-03-14,0.0
2003-03-17,0.0
2003-03-18,0.0
2003-03-19,0.0
2003-03-20,0.0
2003-03-21,0.0
2003-03-24,0.0
2003-03-25,0.0
2003-03-26,0.0
2003-03-27,0.0
2003-03-28,0.0
2003-03-31,0.0
2003-04-01,0.0
2003-04-02,0.0
2003-04-03,0.0
2003-04-04,0.0
2003-04-07,0.0
2003-04-08,1291.0296532426623
2003-04-09,-5403.388120651245
2003-04-10,-1013.4601287160662
2003-04-11,364.00043964385986
2003-04-14,4124.818156480789
2003-04-15,0.0
2003-04-16,0.0
2003-04-17,0.0
2003-04-18,0.0
2003-04-21,0.0
2003-04-22,0.0
2003-04-23,142.1500495501936
2003-04-24,232.9553165435791
2003-04-25,569.8946339062272
2003-04-28,0.0
2003-04-29,0.0
2003-04-30,0.0
2003-05-01,0.0
2003-05-02,0.0
2003-05-05,0.0
2003-05-06,0.0
2003-05-07,0.0
2003-05-08,0.0
2003-05-09,0.0
2003-05-12,0.0
2003-05-13,0.0
2003-05-14,0.0
2003-05-15,0.0
2003-05-16,-1086.0
2003-05-19,0.0
2003-05-20,2250.8736748525075
2003-05-21,6521.863600100787
2003-05-22,4556.262725046705
2003-05-23,0.0
2003-05-26,0.0
2003-05-27,0.0
2003-05-28,0.0
2003-05-29,0.0
2003-05-30,-454.0
2003-06-02,2593.719176428653
2003-06-03,3044.262087617606
2003-06-04,5062.55766780036
2003-06-05,273.31578322819087
2003-06-06,1064.422664642334
2003-06-09,-145.80234074594637
2003-06-10,4826.204027175903
2003-06-11,7406.393818310361
2003-06-12,1599.9292830228806
2003-06-13,-4352.316569226138
2003-06-16,-1748.6855982542038
2003-06-17,0.0
2003-06-18,0.0
2003-06-19,0.0
2003-06-20,0.0
2003-06-23,-1736.1335046632194
2003-06-24,1576.7382272311786
2003-06-25,-1338.794134344349
2003-06-26,3079.1894117763895
2003-06-27,0.0
2003-06-30,-352.4351282119854
2003-07-01,10686.018144794865
2003-07-02,9917.26896599362
2003-07-03,-6456.851982576501
2003-07-04,0.0
2003-07-07,0.0
2003-07-08,-343.3630953856822
2003-07-09,-531.1687965393066
2003-07-10,8074.531891924989
2003-07-11,0.0
2003-07-14,0.0
2003-07-15,0.0
2003-07-16,0.0
2003-07-17,0.0
2003-07-18,0.0
2003-07-21,0.0
2003-07-22,0.0
2003-07-23,0.0
2003-07-24,0.0
2003-07-25,0.0
2003-07-28,0.0
2003-07-29,-850.4750641413868
2003-07-30,-595.031494140625
2003-07-31,570.5065582820118
2003-08-01,0.0
2003-08-04,0.0
2003-08-05,0.0
2003-08-06,0.0
2003-08-07,0.0
2003-08-08,-124.32903180804487
2003-08-11,2236.329031808045
2003-08-12,0.0
2003-08-13,0.0
