month_pnl,year_pnl
-88652.513694082,-102461.65994943885
-85462.83690219266,-95830.67865056651
-83039.28562566207,-83441.40035762102
-79384.86016387597,-80422.79423471856
-76785.61222783155,-78948.77669545585
-76642.60652075495,-78204.4104005439
-76134.91266080311,-77529.45463686324
-72999.30330204964,-76508.86410069469
-72606.68345510958,-74914.03364908691
-72478.5033124089,-70072.43834435937
-71861.783381973,-69785.4920189552
-70961.14203000069,-69156.14994829048
-70381.66516838752,-67477.15940688344
-69515.78302361284,-65950.39016475003
-69263.35441425868,-64151.90529692169
-68842.7685484375,-62308.09804522996
-68596.75566550663,-59668.10545660768
-68097.95298591681,-57680.97680245134
-65085.52423647474,-55129.30876064302
-64698.18812438418,-53673.52014519481
-63520.40853963575,-52693.7679184164
-62529.017896856625,-52656.21550202356
-62450.18572524617,-52213.20384291241
-62186.256165913175,-52189.728816117604
-61767.752882361405,-52007.30827697691
-61313.83248298507,-49699.52207349029
-61225.20581674574,-48537.07414366517
-60387.99999999999,-48497.46998785215
-60387.99999999999,-45989.65724689627
-59482.91295930317,-45431.417262809686
-59059.72763608184,-44760.64722599303
-58546.25287018503,-44289.117229768206
-58356.54600102563,-43939.07138783585
-57659.15719652175,-43467.05361002691
-56572.10391439708,-42488.11069778032
-56372.05268839425,-42486.56744941644
-56137.85978848594,-40849.58228448466
-55665.28061985969,-40607.202184489746
-55506.498504161835,-40417.38978075974
-55114.351469789224,-39568.469240912396
-55071.478543417805,-39538.207681724045
-55011.241409540155,-39040.686857598215
-54582.31194913389,-38979.775239041766
-53972.30785502705,-38393.15389450954
-53959.63277380806,-38257.474897061125
-53831.41070842742,-37552.92966691078
-53593.061550072256,-37411.42263094026
-53302.00873722348,-36975.04190501143
-52611.93038477221,-35881.40880693709
-52434.437174422375,-35255.68638249817
-52107.049392700166,-34653.54272149284
-52083.73956346511,-34309.85916968752
-51955.145692552825,-33617.09763116503
-51624.62466096877,-33488.501822812264
-51607.292243957505,-33144.9167786496
-51089.82033123288,-32806.2105680192
-50892.227478214685,-32731.94037233087
-50826.21120704928,-32498.01481941773
-50155.63366811615,-32312.122930978017
-50141.51995866638,-31976.095105920598
-49921.94598126411,-31466.504616771366
-49886.31722187993,-31103.050835737125
-49724.97772230421,-28312.023710829904
-49670.32584653582,-27475.107959287514
-49606.923487867636,-27446.220556276123
-49462.01348706655,-26241.226165720454
-49440.05108523369,-26006.42225643571
-49098.43883776667,-25968.19318289424
-49035.149263586325,-25839.07999094895
-49008.1439516885,-25349.975979132374
-49005.10243259159,-24625.970847742894
-48949.93078405515,-24616.345427410954
-48884.51473855974,-24529.9292808345
-48873.96397342,-24041.66039642274
-48859.093259266425,-22992.868700427556
-48778.04093997819,-22926.530475940104
-48532.239210605614,-22418.848789436626
-48492.190465314015,-21458.711164815068
-48448.85956948143,-21385.927682263486
-47948.846815858575,-21246.21245041911
-47948.846815858575,-21000.682763406294
-47921.353442907304,-20895.613802756474
-47556.406235013696,-20866.47949402673
-47363.262648752774,-20754.54538760864
-47229.87579389979,-20606.941410200947
-47049.12937647956,-20281.720714892625
-47049.12937647956,-19883.93851309159
-47049.12937647956,-19814.07194606755
-47048.709994844015,-17639.133305864612
-47009.55725254332,-17618.25342362268
-46295.65264170512,-17383.85065226896
-46203.1018967458,-17202.167001417733
-46077.06415336471,-16962.153637272953
-46074.904702322856,-16783.470535295302
-46026.31073573674,-15986.95273867678
-45711.11348877635,-15809.067858883296
-45197.20693843707,-15635.600277355687
-45185.26123929024,-15426.286613685726
-44970.653384872865,-15422.622158050433
-44817.81956562826,-15373.096700497998
-44816.5890504292,-14640.572763085424
-44787.90608174459,-14517.559842288427
-44567.024956498826,-13958.03369665156
-44517.21281872477,-13380.401130744405
-44466.0402344976,-11192.14264825419
-44438.74180412292,-10871.349365404847
-44138.93034369604,-10329.52998059131
-44056.25267801964,-9556.055817978766
-43667.614010470264,-9406.228171280429
-43663.93511397499,-9294.849020958012
-43476.649858610974,-8168.19044227252
-43152.73414027689,-8145.331533372388
-43053.52422789167,-7918.528549432769
-43035.844592945905,-7600.412664379473
-42756.60038234498,-7553.638637883334
-42614.884809400304,-7552.086999041652
-42614.1636301449,-7377.787003891854
-42276.98311008727,-6971.887165870001
-42212.07262560302,-6947.59198049131
-42197.27351297651,-6898.659634368902
-41843.38380304403,-6630.296747292628
-41000.923677767976,-6477.514217632095
-40997.26300784519,-6279.635599204557
-40468.37948989869,-6231.206807885848
-40455.60598174165,-6031.995036329543
-40350.73957497736,-5557.588010345271
-40200.66172136581,-5500.865490155738
-40120.82762377601,-5306.905468770434
-40070.01319163185,-5197.361296534553
-39661.107292873494,-4755.013227207228
-39574.176626546,-4618.4845854044
-39567.7159613201,-4447.805088588266
-39397.00649074141,-4356.949958733145
-38941.34516899928,-4255.2460266351845
-38936.71569735659,-4097.866285238975
-38755.23599192074,-3436.439788750238
-38744.90599255909,-3100.320762736432
-38505.88928309505,-3020.655832784454
-38413.81233007571,-3005.1269670725305
-38392.87929480418,-2934.3910023314456
-38162.4978979315,-2927.395324340836
-38094.64138589583,-2535.1831126893594
-38017.46191922258,-2240.5272358825823
-37975.90319524484,-2079.6454317910648
-37971.46059117998,-1636.6832705566776
-37892.88986778259,-1630.3621853419754
-37845.55997545381,-1574.9199528181143
-37678.36481753418,-1572.6640038320584
-37534.49325973647,-1332.4346069609019
-37456.98652911182,-1322.3821542944552
-37427.90035659923,-1231.1203383037646
-37304.68704227037,-1142.5840623037884
-37289.984669583304,-1106.8287224343803
-37253.59703622547,-911.788970810916
-37135.39412702833,-899.3950071421095
-37031.52531167436,-887.4026748791948
-36995.86717152594,-558.1179979698682
-36901.846368040366,-450.3375785521421
-36830.0492112977,-351.440515603259
-36777.04790139198,-268.9880870410634
-36743.76509816305,-206.8772860085469
-36566.789190564814,88.22786092759634
-36554.54183220862,143.11218917375663
-36383.375914352306,369.5820543935879
-36249.69891214371,508.34868776807525
-35896.903892176495,797.6187180280976
-35895.1635870593,817.3284970010427
-35813.54873153143,966.4350258196428
-35670.00877230507,1380.081278869111
-35626.17558291983,1387.1222920075488
-35536.06234277998,1417.847388812439
-35448.140462449635,1551.2247934511397
-35339.09138759542,1599.1828813722714
-35261.06016339575,1674.212939790279
-35196.88433977536,2463.535371831458
-35056.27828507768,2563.567986931077
-34975.7689916747,2618.665541546645
-34930.20255349361,2825.940404568344
-34853.73126128739,3154.58645200725
-34733.21469521522,3164.606795276988
-34714.30726810864,3546.61617026999
-34624.399939945775,3620.941747443998
-34576.3634717124,3801.903210418546
-34435.817777701785,4001.596513560864
-34421.469904150305,4021.7445347479297
-34358.843402760365,4030.6465717214305
-34332.98998750953,4082.4507279396485
-34174.20136301858,4455.62449785641
-34143.51903023035,4521.322034205703
-34028.27294424603,4617.5939253397955
-33998.43219014574,4859.242247564427
-33965.11557773181,4895.274274281037
-33945.33419585228,5270.9193365317915
-33871.22697154114,5311.9927099261695
-33849.20265366352,5618.072733572539
-33757.70652471269,5704.085083161128
-33585.222212280554,5817.194329823826
-33556.13192847793,5849.156575850146
-33555.999678347835,5941.7217675618085
-33547.001623221775,6065.985682896244
-33409.140849334835,6128.40813962038
-33270.076303754526,6211.62889856947
-33166.47352933887,6347.625464405275
-33156.48561372071,6694.238042439749
-33155.7290425981,6951.602869851198
-33115.70378141743,7603.6982112270925
-32995.230061735405,7645.915290628152
-32921.56399863104,7992.326478106632
-32913.795215521546,8087.424951638539
-32852.52392295429,8165.672584329299
-32728.17059942651,8234.636192457967
-32664.59367990493,8562.011642864696
-32555.623841915833,8625.676578402428
-32550.933428611075,8694.077158996064
-32357.627500329727,8955.235507896941
-32282.481026513164,9031.326833196996
-32244.003199645464,9094.1956880008
-32221.571415151862,9115.4683798041
-32215.796756744385,9137.18562855048
-32163.35379648208,9348.928478973117
-32128.354608331385,9817.981899142207
-32036.32706230028,9945.570793134924
-32014.751363141157,9951.401864256062
-31877.92851230073,10030.367377502553
-31742.626408713208,10032.643414173726
-31721.007404429518,10046.337176016299
-31676.698324850622,10127.621353779581
-31630.763090900076,10178.849516613078
-31546.736599121767,10307.972907117466
-31505.632723586903,10324.00296609741
-31421.927647726865,10377.245029858226
-31337.614698137553,10393.341588820787
-31313.69040203095,10691.731812749596
-31262.814351218098,10844.889023644631
-31172.442689010168,11372.063104731662
-31150.624158927356,11460.85293093758
-31115.506594743063,11462.710328136109
-31092.19645152772,11612.222167781365
-31072.392542941227,11836.105148332377
-31029.482505866472,11871.84800399196
-30833.999999999996,11909.368202924754
-30833.999999999993,12234.632663198849
-30749.374617849055,12356.508245825753
-30749.0150545665,12362.981100678495
-30715.182585239418,12509.992898923938
-30709.980922835195,12573.922578794676
-30588.628838539105,12584.913638029713
-30550.661366377564,12596.308769566636
-30530.790061984677,12674.774465697148
-30500.25666207928,12940.354304671328
-30472.949212585176,12985.510114346012
-30431.445235099138,12993.52522890913
-30388.250950132075,13115.851568818056
-30369.70355354035,13117.935592991955
-30335.492867009983,13395.814596993576
-30309.28142871173,13476.963911397164
-30270.043463127953,13561.577307019892
-30212.390904435073,13743.93139650132
-30209.65675619668,13787.198337197384
-30033.51940798761,13948.22479313612
-29989.82040371217,14166.549197503598
-29978.737514019005,14190.515858156163
-29970.66867053508,14294.792121895814
-29943.543539524115,14363.900766849445
-29942.290781940683,14369.983999354488
-29935.365459953013,14403.863183770947
-29831.035090310215,14474.529759526267
-29703.768215043212,14479.76744881698
-29618.403170994363,14611.060649914405
-29549.889922278264,14637.583486522868
-29422.435920681244,14765.692086415664
-29284.61397869256,14787.911880935779
-29203.806481497617,14914.879481724427
-29137.248641150334,14916.279102393513
-29104.75261524744,14941.439018181438
-29046.750228643425,15076.243628297594
-29024.14126394476,15177.833723085227
-29009.69580684394,15188.798859970895
-28973.797503931306,15231.372506448217
-28943.614841188668,15243.241001640097
-28809.95687065804,15328.026830775336
-28784.34045655386,15677.489860006666
-28738.75774029324,15759.963849067615
-28661.609541978083,16152.427660737729
-28546.476001279705,16293.417135374926
-28493.169806207956,16365.054862669575
-28491.985625675763,16439.87518109591
-28426.43007707596,16714.61111574514
-28424.380779317515,16841.35342516234
-28415.111317924086,16883.299024948188
-28394.226206745418,16884.872857247086
-28375.852736524175,16924.803749203784
-28362.429191759653,16977.37187038159
-28324.325681924824,16983.243870752118
-28271.334914548093,17202.49152181823
-28261.12221295491,17439.70290744306
-28232.823836939664,17490.452448879005
-28216.79262406483,17764.957837309157
-28212.751808319772,17831.904683300374
-28202.82879638673,17869.222060322805
-28090.62083632605,17963.262090172033
-28085.572213258038,17974.49888290673
-27957.163753918227,18090.880820632123
-27845.65888524057,18427.28580527651
-27828.543622783243,18598.900695102566
-27715.35452074666,18655.06900588106
-27667.83248938834,18666.84432555946
-27656.440168159344,19224.83946813856
-27631.585531967045,19407.845800246512
-27587.430548429555,19570.700980986636
-27583.58617118426,19888.275387798
-27506.655653187216,19993.821488584766
-27506.031121407228,20103.282888242207
-27408.603207179498,20111.962136081303
-27394.269588896197,20491.29348673138
-27394.269588896197,20535.025352529192
-27347.008999688223,20667.50812458992
-27310.813068560194,20734.635777592528
-27287.38670613085,20811.549848028473
-27213.90670636721,20874.903610553098
-27196.376060622082,20940.915671169776
-27132.973556654808,21119.34829614849
-26996.73408009326,21183.91426929404
-26947.73336512701,21681.505732102116
-26928.328830105922,21696.10170859949
-26839.438215153546,21865.157841248038
-26833.832538945364,22190.289231683542
-26796.606059721555,22412.458357683296
-26774.556892752596,22417.769322259115
-26774.334499904082,22475.72061324113
-26737.605163438024,22919.464148725805
-26716.755928363084,22961.35652160649
-26716.42019115176,22983.15983819952
-26691.209043434643,23117.13179440157
-26626.590561560224,23130.9352081845
-26625.808559417725,23182.115898319636
-26557.076731511534,23244.057118449953
-26532.064821958542,23310.110525182343
-26530.32176392418,23406.641396709834
-26485.070461715964,23580.925385611506
-26483.297933340076,23624.127208607555
-26459.415355614252,23730.236208047107
-26422.09115329809,23739.917143208637
-26370.97814512252,23799.514669282024
-26355.285078644727,23975.78715871917
-26257.94292291571,24018.892624020522
-26192.357757142658,24022.743124672248
-26159.892215456282,24296.077302319754
-26126.17149100988,24576.3035709432
-26012.10981086323,24835.50564699489
-25979.228658897533,24837.210351654438
-25959.283367463526,24924.689782236375
-25913.97266852859,25036.167323895832
-25877.101593903128,25053.341559103697
-25755.176014150875,25083.113228746814
-25683.531830412947,25133.966901983506
-25675.848752192098,25206.85069950144
-25523.154713562533,25386.94177566252
-25509.38726706163,25435.825210554212
-25493.029173816958,25454.835595335302
-25478.81269587789,25469.1843436275
-25467.589656165685,25513.901081051146
-25383.439181872745,25564.638383252288
-25371.722037434538,25632.860993215156
-25195.78677538465,25674.803617256082
-25192.76571280617,25736.00641156949
-25094.318498798784,25798.153281279985
-25091.61955203328,25855.141656058273
-25048.99841957434,25860.13361789495
-25043.88307646342,25906.059653197022
-25014.17759711404,26046.77861806311
-24970.26296809742,26089.545886942396
-24936.09344141821,26093.90137393133
-24928.812059913354,26172.843022704226
-24907.932465348877,26387.916860171747
-24904.38793000152,26497.35232290198
-24858.89997558931,26602.380745955823
-24838.591039930074,26625.379824280608
-24824.74554109576,26670.80810907906
-24799.96334203652,26698.500205108132
-24758.50901443617,26796.27880447251
-24740.083224041155,26878.686918343912
-24609.03417597497,26891.17882701326
-24563.067706857408,26900.530042001148
-24527.71439354761,26992.06277067324
-24465.55068174431,27049.504770994175
-24431.584314908298,27052.7925600665
-24358.84407080923,27077.031971956872
-24309.347759553355,27128.77813061654
-24243.784784555442,27156.950377004432
-24176.941941670022,27317.047998683825
-24128.789675848806,27663.144343001586
-24086.295777865824,27717.813120382278
-24073.797744750987,27861.255272013776
-24049.757282257073,27871.35983148637
-23983.88461528506,27898.033430405994
-23959.624320455958,27977.94512552883
-23941.672879883197,28001.421429182854
-23867.2187219347,28002.324567658477
-23817.25302955082,28186.130036915958
-23800.162284646663,28354.821404695547
-23752.84732285566,28535.379630582713
-23726.938773376583,28676.722262365496
-23710.180623667577,28702.15696704387
-23682.14314096314,28734.627558027016
-23677.51947048732,28779.710019111524
-23648.105947204982,28803.53027093414
-23601.15660585671,28871.831219145177
-23532.86210998467,28877.91703345088
-23519.054325478406,28898.561569537436
-23415.07949468068,29019.636017697176
-23414.582240377145,29104.008759413366
-23375.719684311323,29119.076761739543
-23348.339838436674,29208.867894308885
-23323.76932374919,29371.690819621042
-23287.91094865118,29548.682545576765
-23277.619660002845,29573.729866981565
-23265.914068017668,29576.813157251883
-23229.424636364005,29588.296413234246
-23197.43093742644,29704.190633807775
-23108.12983281271,29715.97645660817
-23091.92143886432,29740.13126913135
-23061.220319747918,29764.940934870945
-23037.639156000954,30020.64692119183
-22961.539143306858,30029.976251925764
-22961.539143306858,30116.414068988466
-22961.539143306858,30155.7025708983
-22889.65074293954,30185.658520502668
-22875.20398334097,30232.096063375488
-22813.42246539255,30582.5238710641
-22769.489131518738,30644.006994247422
-22765.48686286391,30761.710812977435
-22759.87210931098,30788.54283792631
-22751.5691683633,30813.818669625776
-22737.10583870749,30857.95380192151
-22584.093879835964,30904.6012672016
-22572.875092080638,30939.0972456762
-22542.699793985907,30999.405633756163
-22509.45889355456,31008.33295023437
-22483.80327013561,31268.803639837646
-22478.05957668167,31298.162491491803
-22462.066168035795,31447.151678136535
-22424.71763401366,31665.377640622042
-22395.26515523029,31859.39520285812
-22376.997450743453,31991.0866089293
-22365.762245638012,32253.56532611168
-22349.741210103068,32279.524824942884
-22301.43182398592,32386.779990153664
-22243.07004121372,32402.70719626981
-22218.67009924136,32433.471443312537
-22210.22736035073,32434.583632043577
-22169.615112032283,32506.11061813149
-22132.226339646746,32524.821217656234
-21957.60493305752,32745.26735648099
-21954.90654730791,32756.733093432063
-21889.3664147343,32796.37692701819
-21875.27639324324,32979.78967693879
-21859.034447976534,33130.54976122726
-21839.39549139568,33277.539018120035
-21711.55555135865,33385.68523005067
-21664.3124229908,33416.002212132735
-21606.808274694868,33530.71552616359
-21528.901765380586,33675.81589502942
-21477.921836614616,33702.84766800076
-21401.0637602806,33730.6937773909
-21398.983616096626,33853.97110288481
-21355.469912529006,33940.61110150814
-21336.4364186355,34030.69143205037
-21300.11155387333,34158.716549004836
-21261.609161376953,34272.72006363531
-21235.0454916273,34344.800785234984
-21159.408140914733,34367.322028739174
-21152.655286686753,34371.172806756775
-21138.320463759563,34436.03692042827
-21134.40315566745,34439.80696177481
-21126.626505647477,34574.784295235426
-21097.815904106374,34584.212251799436
-21096.62473242624,34765.23995632782
-21071.257478475567,34778.387216516814
-21050.76661750251,34800.65497633396
-21034.58293737685,34839.74870748162
-21026.619648933407,35116.3928464141
-21019.41518541744,35127.43678259854
-20994.715187549642,35189.40054769178
-20993.25461959839,35205.77916261121
-20990.34170624189,35235.136477930166
-20943.411409309934,35249.32190498278
-20859.982188718648,35268.92421167239
-20845.18596599782,35312.81196039065
-20828.28097626141,35426.6985731295
-20819.796751090453,35430.2319218517
-20808.15015459061,35434.22830292152
-20798.289579527715,35585.49806770262
-20780.17800167628,35628.79977599204
-20759.47411683625,35671.93259651314
-20738.635147571586,35695.91504668341
-20720.027240344414,35810.13064782108
-20698.657173837928,35851.153072782836
-20695.06628608705,36139.25094456329
-20678.64302539824,36235.018067564335
-20659.914157867428,36272.62891869888
