,pnl,ret_pct,R,n_exits,frag_avg,frag_max,spy_ret_pct,spy_dd_pct
2003-01,-9052.0,-1.2069333333333332,-0.9207095875994404,6,,,-2.4594426,-42.98321
2003-02,15931.0,2.1241333333333334,4.043391473513955,5,,,-1.3479412,-44.5567
2003-03,9114.0,1.2152,2.820433719622555,4,,,0.21398067,-45.623707
2003-04,337.0,0.04493333333333333,0.5601571879055158,4,,,8.461189,-41.661663
2003-05,12858.0,1.7144,4.453861609242903,7,,,5.483651,-37.68836
2003-06,17446.0,2.3261333333333334,4.250621800306784,11,,,1.0651469,-33.993095
2003-07,31280.0,4.170666666666667,7.70600786861716,8,,,1.8027067,-33.12177
2003-08,4437.0,0.5916,1.1252420189988523,2,,,2.062583,-34.3875
2003-09,2388.0,0.3184,0.6058165395345239,1,,,-1.09061,-31.72428
2003-10,13000.0,1.7333333333333332,3.301657080413854,3,,,5.352688,-30.2693
2003-11,6774.0,0.9032,1.903887988231369,9,,,1.0921121,-29.107988
2003-12,1180.0,0.15733333333333333,0.8404999571951246,5,,,5.0313234,-27.092861
2004-01,15749.0,2.0998666666666663,3.999658313456443,1,,,1.9769907,-23.659914
2004-02,9102.0,1.2136,2.537846103021769,3,,,1.3569951,-22.54805
2004-03,-28244.0,-3.7658666666666667,-7.805508159455376,15,,,-1.3245046,-24.611372
2004-04,2193.0,0.2924,1.012893356718547,2,,,-1.8921256,-23.578232
2004-05,7978.0,1.0637333333333334,2.5884955507265603,4,,,1.7123342,-25.045216
2004-06,13892.0,1.8522666666666667,3.704724273721692,4,,,1.8501639,-22.799938
2004-07,-1480.0,-0.19733333333333333,-0.3759013970736718,2,,,-3.2219052,-24.826944
2004-08,15956.0,2.127466666666667,3.546383932044567,2,,,0.24360418,-26.140291
2004-09,10941.0,1.4588,2.838104101409021,9,,,1.0037184,-23.125767
2004-10,13735.0,1.8313333333333335,3.4876139063768274,4,,,1.2884855,-23.743534
2004-11,2274.0,0.3032,0.4749445440511195,3,,,4.451692,-21.209967
2004-12,-5564.0,-0.7418666666666667,-2.3802620330081483,7,,,3.0121326,-17.781002
2005-01,-16598.0,-2.2130666666666667,-3.671760718050503,14,,,-2.24213,-18.476778
2005-02,8432.0,1.1242666666666667,1.3064697845878257,3,,,2.0904422,-17.042892
2005-03,14600.0,1.9466666666666668,4.088362997822163,8,,,-1.8292964,-18.170643
2005-04,-12967.0,-1.7289333333333334,-3.5042107480259697,10,,,-1.873529,-20.08766
2005-05,13972.0,1.8629333333333336,3.4835025181891566,5,,,3.2225251,-18.739426
2005-06,-4206.0,-0.5608,-1.2058111224671486,8,,,0.1514554,-16.112984
2005-07,390.0,0.052,0.4342519879173149,1,,,3.826189,-15.760433
2005-08,19432.0,2.590933333333333,4.821676407099939,7,,,-0.9374738,-14.858013
2005-09,20229.0,2.6972,3.0966962525474,11,,,0.80251694,-14.38936
2005-10,7962.0,1.0616,2.642088063918437,15,,,-2.3650825,-16.853397
2005-11,-5428.0,-0.7237333333333333,-4.114148066802882,5,,,4.3952227,-14.686704
2005-12,12349.0,1.6465333333333332,3.3293606005234317,7,,,-0.19133687,-11.373043
2006-01,18529.0,2.4705333333333335,5.062568969359405,8,,,2.4014115,-10.333813
2006-02,-8029.0,-1.0705333333333333,-2.048019315562141,5,,,0.5725503,-10.682589
2006-03,-13674.0,-1.8232000000000002,-2.357117291771303,4,,,1.6504049,-9.330172
2006-04,15407.0,2.054266666666667,4.312002373922748,3,,,1.2631536,-8.069145
2006-05,-20391.0,-2.7188,-7.179564640763828,20,,,-3.012067,-10.548955
2006-06,-5552.0,-0.7402666666666666,0.7553378136462974,15,,,0.26078224,-12.421298
2006-07,0.0,0.0,0.0,0,,,0.44788122,-11.467112
2006-08,6421.0,0.8561333333333334,3.1335726033960993,6,,,2.182269,-8.854365
2006-09,4419.0,0.5892,2.351738541092822,10,,,2.7001739,-6.7512274
2006-10,18515.0,2.4686666666666666,6.9885978343549,2,,,3.1516194,-4.0557027
2006-11,24011.0,3.2014666666666662,8.315086054987153,10,,,1.988554,-1.774019
2006-12,1627.0,0.21693333333333334,0.4128268675716342,2,,,1.3371229,-1.1170387
2007-01,17551.0,2.340133333333333,4.2435224932225,6,,,1.5039921,-1.382339
2007-02,1296.0,0.17279999999999998,-0.4890198228984872,7,,,-1.9617081,-4.4782104
2007-03,18219.0,2.4292000000000002,5.763669986351684,8,,,1.1588573,-5.950445
2007-04,23053.0,3.073733333333333,6.893740240239815,3,,,4.429567,-2.2706747
2007-05,28189.0,3.7585333333333333,12.183511169890423,18,,,3.392017,-1.045227
2007-06,4140.0,0.5519999999999999,1.252876272819629,6,,,-1.46209,-3.3555627
2007-07,16027.0,2.1369333333333334,2.8116675970455196,8,,,-3.131014,-6.4229307
2007-08,13668.0,1.8224,3.84836234500402,15,,,1.2832642,-9.047562
2007-09,10788.0,1.4384,3.4402147443249667,3,,,3.8714647,-5.9844375
2007-10,18198.0,2.4264,4.135366423330256,4,,,1.3566732,-4.3519855
2007-11,10818.0,1.4424,3.263852222509861,11,,,-3.8732648,-9.924579
2007-12,18688.0,2.4917333333333334,7.540987818335316,14,,,-1.1260808,-7.291651
2008-01,-48306.0,-6.4408,-13.12361491892619,20,,,-6.0461044,-16.018803
2008-02,4856.0,0.6474666666666666,2.5576559825042935,8,,,-2.584231,-14.521879
2008-03,7718.0,1.0290666666666666,2.044445954757393,3,,,-0.8942306,-17.766262
