Date,Entry Date,Exit Date,Exit Type,Time Stop,Strategy,Ticker,Action,Entry Criteria,Price,Exit Price,Shares,PnL,ATR,stop_atr,tgt_atr,T+1 Open,Signal Close,Range %,Equity at Signal,Risk $,Risk bps,Size_Mult,Tranche,Entry Offset ATR,Pivot Rule Version,Pivot Nearest Type,Pivot Level,Pivot Date,Pivot Source Age Bars,Pivot High Source Age Bars,Pivot Low Source Age Bars,Pivot High Expired,Pivot Low Expired,Pivot Max Source Age Bars,Pivot Distance ATR,Pivot Matched Rule,R,Tier,censored
2005-05-12,2005-05-13,2005-05-18,Target,2005-05-27,Oversold Low Volume,UNP,BUY,Limit Order -0.25 ATR (Persistent),10.161236780030388,10.67176708153316,7712,3937.0,0.2042121206011091,1.25,2.5,10.2482271194458,10.212289810180664,5.908871399990448,750000.0,1968.75,52.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,9.530679702758789,2005-02-08,65.0,90.0,65.0,False,False,252.0,3.3377553957890447,default,1.9997460317460318,Liquid,False
2005-05-12,2005-05-13,2005-05-27,Time,2005-05-27,Oversold Low Volume,XOM,BUY,Limit Order -0.25 ATR (Persistent),27.15505599975586,28.302326202392578,2450,2811.0,0.6426620483398438,1.25,2.5,27.400436401367188,27.31572151184082,11.636294291886596,750000.0,1968.75,52.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,High,31.51517677307129,2005-03-04,48.0,48.0,286.0,False,True,252.0,-6.534469044933816,default,1.4278095238095239,Liquid,False
2005-05-13,2005-05-16,2005-05-27,Target,2005-05-31,Oversold Low Volume,XOM,BUY,Limit Order -0.25 ATR (Persistent),26.593649285180227,28.23369833401271,3361,5512.0,0.6560196195329938,1.25,2.5,26.658002853393555,26.757654190063477,8.450685241694613,747794.7707083566,2756.25,52.5,0.7,,0.25,olv_close_pivot_40_v2_20260901,High,31.51517677307129,2005-03-04,49.0,49.0,287.0,False,True,252.0,-7.252104116024136,default,1.9998185941043083,Liquid,False
2005-08-01,2005-08-02,2005-08-16,Time,2005-08-16,Oversold Low Volume,STZ,BUY,Limit Order -0.25 ATR (Persistent),22.88348320552281,22.846220016479492,2135,-80.0,0.5268581935337612,1.25,2.5,22.913806915283203,23.01519775390625,38.333383499382954,763936.6285666397,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,21.790082931518555,2005-05-26,45.0,77.0,45.0,False,False,252.0,2.325321761004728,default,-0.05688888888888889,Overflow,False
2005-08-11,2005-08-12,2005-08-26,Target,2005-08-26,Oversold Low Volume,STZ,BUY,Limit Order -0.25 ATR (Persistent),22.25795599392482,23.493627377918788,4552,5625.0,0.4942685535975865,1.25,2.5,22.30547523498535,22.38152313232422,22.115426358608353,762864.9438103607,2812.5,37.5,1.0,,0.25,olv_close_pivot_40_v2_20260901,Low,21.790082931518555,2005-05-26,53.0,85.0,53.0,False,False,252.0,1.1965968631846056,default,2.0,Overflow,False
2005-09-01,2005-09-02,2005-09-07,Stop,2005-09-19,Oversold Low Volume,GDEN,BUY,Limit Order -0.25 ATR (Persistent),17.75351003238133,16.31333611316681,2394,-3448.0,0.4697931834629604,1.25,2.5,17.944198608398438,17.87095832824707,20.000104167209205,769303.940568413,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,17.783063888549805,2005-05-25,69.0,135.0,69.0,False,False,252.0,0.18709177312743072,default,-2.451911111111111,Overflow,False
2005-09-02,2005-09-06,2005-09-20,Time,2005-09-20,Oversold Low Volume,GDEN,BUY,Limit Order -0.25 ATR (Persistent),17.609641449792043,16.625850677490234,3428,-3372.0,0.45933001382010324,1.25,2.5,17.724477767944336,17.72447395324707,0.0,769234.4281949656,1968.7499999999998,37.5,0.7,,0.25,olv_close_pivot_40_v2_20260901,Low,17.783063888549805,2005-05-25,70.0,40.0,70.0,False,False,252.0,-0.12755520767184428,default,-1.712761904761905,Overflow,False
2006-08-08,2006-08-09,2006-08-17,Target,2006-08-23,Oversold Low Volume,BLK,BUY,Limit Order -0.25 ATR (Persistent),77.42763682774135,82.50154931204659,554,2811.0,2.029564993722098,1.25,2.5,78.44451141357422,77.93502807617188,3.7035563236163536,760601.776050806,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,High,96.82222747802734,2006-04-19,77.0,77.0,331.0,False,True,252.0,-9.30603329298536,default,1.9989333333333332,Overflow,False
2006-08-14,2006-08-17,2006-08-29,Time,2006-08-29,Oversold Low Volume,BKR,BUY,Limit Order -0.25 ATR (Persistent),35.5014899798802,36.08917236328125,903,531.0,1.245810100010463,1.25,2.5,36.17638397216797,35.81294250488281,6.097637069639969,760335.5531907423,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,31.125446319580078,2006-03-20,102.0,50.0,102.0,False,False,252.0,3.7626089122759288,default,0.3776,Overflow,False
2006-08-22,2006-08-23,2006-09-07,Time,2006-09-07,Oversold Low Volume,KEX,BUY,Limit Order -0.25 ATR (Persistent),29.88214247567313,28.649999618530273,1050,-1294.0,1.0714285714285714,1.25,2.5,30.25,30.149999618530273,20.54790583440023,764360.0085659368,1406.25,37.5,0.5,,0.25,olv_close_pivot_40_v2_20260901,Low,22.375,2005-09-13,237.0,73.0,237.0,False,False,252.0,7.256666310628256,default,-0.9201777777777778,Overflow,False
