Strategy,Tier,Ticker,Signal Date,rows,pnl,risk,gap_atr,size_mult,any_eodd,all_tgt,all_time,far_time,far_R,entry,R,year,era,path_gap,path_size,exit_pos,rank_2d,rank_5d,rank_10d,rank_21d,extremity,cell,sector,semis,megacap_tech,theme
Overbot Vol Spike,Overflow,WGO,2003-04-22,2,945.0,900.0,0.10359692255594871,0.2,False,False,False,True,1.0827901271401204,2003-04-23,1.05,2003,pre,P2,P2,Mixed,92.00968523002422,96.11178614823815,95.59902200488997,91.07806691449815,93.69964007441261,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,OI,2003-05-15,1,-1086.0,900.0,0.019774109135688448,0.2,True,False,False,False,,2003-05-16,-1.2066666666666668,2003,pre,P2,P2,EOD-DD,90.39145907473309,96.9047619047619,96.52694610778443,93.3252427184466,94.28710245143151,top,Consumer Cyclical,False,False,False
Overbot Vol Spike,Liquid,REGN,2003-05-23,2,-1761.0,900.0,0.04439863306066065,0.2,False,False,True,True,-1.9563093944326464,2003-05-27,-1.9566666666666668,2003,pre,P2,P2,Time,91.16607773851591,99.40898345153664,98.69203329369797,97.34939759036145,96.654123018528,top,Healthcare,False,False,False
Overbot Vol Spike,Overflow,FITB,2003-05-29,1,-454.0,900.0,0.11735499190120138,0.2,True,False,False,False,,2003-05-30,-0.5044444444444445,2003,pre,P2,P2,EOD-DD,91.07981220657277,92.93286219081273,92.41706161137441,93.51740696278512,92.48678574288625,bottom,Financial Services,False,False,False
Overbot Vol Spike,Overflow,AEIS,2003-05-30,2,-1416.0,4500.0,0.5682051752172423,1.0,False,False,False,True,-1.1912178764115733,2003-06-02,-0.31466666666666665,2003,pre,P1,P1,Mixed,97.06916764361078,99.41176470588235,91.9526627218935,93.04556354916068,95.36978965513683,top,Industrials,False,False,False
Overbot Vol Spike,Overflow,DHI,2003-06-04,2,1178.0,900.0,0.01159151387697878,0.2,False,False,False,True,1.5160937932386616,2003-06-05,1.308888888888889,2003,pre,P2,P2,Mixed,88.78504672897196,90.2696365767878,96.10849056603774,92.1146953405018,91.81946730307483,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Liquid,WHR,2003-06-11,2,-759.0,900.0,0.08478799706120405,0.2,False,False,True,True,-0.8440827735919313,2003-06-12,-0.8433333333333334,2003,pre,P2,P2,Time,92.79907084785134,88.34498834498834,95.54513481828839,90.61757719714964,91.82669280206943,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Liquid,HUM,2003-06-11,2,-1372.0,900.0,8.873600004732587e-06,0.2,False,False,True,True,-1.5237737035448662,2003-06-12,-1.5244444444444445,2003,pre,P2,P2,Time,94.13472706155633,94.17249417249417,90.38686987104337,92.04275534441805,92.684211612378,bottom,Healthcare,False,False,False
Overbot Vol Spike,Overflow,BJRI,2003-07-07,2,7200.0,4500.0,0.33052104866566473,1.0,False,True,False,False,1.9997923347079132,2003-07-08,1.6,2003,pre,P1,P1,Target,94.76082004555809,94.28571428571428,89.02298850574712,86.37951105937137,91.1122584740977,bottom,Consumer Cyclical,False,False,False
Overbot Vol Spike,Overflow,EHC,2003-11-28,2,-7449.0,4500.0,0.4811034954270498,1.0,False,False,True,True,-1.6555232389076318,2003-12-01,-1.6553333333333333,2003,pre,P1,P1,Time,85.61224489795919,94.16581371545547,90.94650205761316,89.69823100936524,90.10569792009827,bottom,Healthcare,False,False,False
Overbot Vol Spike,Overflow,CMI,2004-04-06,2,680.0,900.0,0.05470817447969509,0.2,False,False,False,True,0.592662959486988,2004-04-07,0.7555555555555555,2004,pre,P2,P2,Mixed,97.09737827715355,94.83568075117371,96.1320754716981,94.18493803622498,95.56251813406259,top,Industrials,False,False,False
Overbot Vol Spike,Overflow,INGR,2004-11-30,2,42.0,900.0,2.0718161781095973e-05,0.2,False,False,True,True,0.0470724481860696,2004-12-01,0.04666666666666667,2004,pre,P2,P2,Time,86.52597402597402,91.29373474369406,85.7843137254902,92.74525968672712,89.08732054547134,bottom,Consumer Defensive,False,False,False
Overbot Vol Spike,Liquid,MRK,2004-12-14,2,-9676.0,4500.0,0.5836278221183974,1.0,False,False,True,True,-2.1504349680609147,2004-12-15,-2.1502222222222223,2004,pre,P1,P1,Time,89.69404186795491,93.62389023405973,91.65316045380875,94.6852003270646,92.414073220722,bottom,Healthcare,False,False,False
Overbot Vol Spike,Liquid,MRK,2004-12-15,2,-86.0,900.0,0.11489050845516086,0.2,False,False,False,True,-0.8248303407479884,2004-12-16,-0.09555555555555556,2004,pre,P2,P2,Mixed,96.94288012872083,93.62903225806451,96.92307692307692,95.01633986928104,95.62783229478583,top,Healthcare,False,False,False
Overbot Vol Spike,Liquid,VLO,2005-02-24,1,-1101.0,900.0,0.004877784416084727,0.2,True,False,False,False,,2005-02-25,-1.2233333333333334,2005,pre,P2,P2,EOD-DD,85.67002323780015,93.09006211180125,97.66173031956352,99.60691823899371,94.00718347703966,top,Energy,False,False,False
Overbot Vol Spike,Liquid,XOM,2005-02-24,1,-3410.0,4500.0,0.3169983344799382,1.0,True,False,False,False,,2005-02-25,-0.7577777777777778,2005,pre,P1,P1,EOD-DD,98.06351665375678,94.02173913043478,99.14263445050663,99.92138364779875,97.78731847062423,top,Energy,False,False,False
Overbot Vol Spike,Overflow,CMC,2005-02-24,2,870.0,900.0,0.1701025078629675,0.2,False,False,False,True,0.9459954744167386,2005-02-25,0.9666666666666667,2005,pre,P2,P2,Mixed,97.90859798605732,92.85714285714286,98.28526890101324,99.29245283018868,97.08586564360051,top,Industrials,False,False,False
Overbot Vol Spike,Overflow,IMO,2005-03-03,2,2825.0,4500.0,0.4258680254609864,1.0,False,False,False,True,0.37959524725475274,2005-03-04,0.6277777777777778,2005,pre,P1,P1,Mixed,89.73765432098766,86.6202629543697,98.36956521739131,98.82537196554424,93.38821361457323,bottom,Energy,False,False,False
Overbot Vol Spike,Overflow,SU,2005-06-15,2,-4565.0,4500.0,0.3072613488286253,1.0,False,False,True,True,-1.0143073453993123,2005-06-16,-1.0144444444444445,2005,pre,P1,P1,Time,87.5,99.12087912087912,98.16176470588235,99.9258710155671,96.17712871058215,top,Energy,False,False,False
Overbot Vol Spike,Overflow,GVA,2005-07-11,2,594.0,900.0,6.708897579573516e-06,0.2,False,False,False,True,0.4342276042003388,2005-07-12,0.66,2005,pre,P2,P2,Mixed,94.07942238267148,86.32416787264833,95.93318809005083,95.68081991215227,93.00439956438073,bottom,Industrials,False,False,False
Overbot Vol Spike,Overflow,OVV,2005-08-31,2,7199.0,4500.0,0.4310723516754142,1.0,False,True,False,False,1.9996712698379897,2005-09-01,1.5997777777777777,2005,pre,P1,P1,Target,99.88331388564761,99.76580796252928,99.76442873969376,97.01670644391407,99.10756425794618,top,Energy,False,False,False
Overbot Vol Spike,Overflow,WTRG,2005-09-08,2,5540.0,4500.0,0.8805681929902841,1.0,False,False,False,True,1.3854317936083478,2005-09-09,1.231111111111111,2005,pre,P1,P1,Mixed,89.83882270497547,94.66292134831461,94.29175475687104,91.1221590909091,92.47891447526754,bottom,Utilities,False,False,False
Overbot Vol Spike,Overflow,IMO,2005-09-08,2,5331.0,4500.0,0.25776126736362576,1.0,False,False,False,True,1.3078634146086574,2005-09-09,1.1846666666666668,2005,pre,P1,P1,Mixed,92.36159775753329,88.90449438202246,97.74489076814659,92.04545454545455,92.76410936328922,bottom,Energy,False,False,False
Overbot Vol Spike,Overflow,IMO,2005-09-20,2,7199.0,4500.0,0.43675739940547215,1.0,False,True,False,False,1.999987136306971,2005-09-21,1.5997777777777777,2005,pre,P1,P1,Target,93.58885017421603,95.81005586592178,95.30483531885073,99.85875706214689,96.14062460528386,top,Energy,False,False,False
Overbot Vol Spike,Overflow,PKG,2005-11-15,2,-2183.0,900.0,4.016523979652289e-06,0.2,False,False,True,True,-2.4259389508579945,2005-11-16,-2.4255555555555555,2005,pre,P2,P2,Time,93.54838709677419,96.56121045392022,85.71428571428571,95.13212795549374,92.73900280511846,bottom,Consumer Cyclical,False,False,False
