label,days,armed_days,armed_share,n_episodes,hedge_total_usd,hedge_bps_per_armed_day,friction_usd,ep_mean_usd,ep_median_usd,ep_pos_share,t_clustered,sharpe_unhedged,sharpe_hedged,ann_unhedged_pct,ann_hedged_pct,vol_unhedged_pct,vol_hedged_pct,ann_hedged_equal_vol_pct,maxdd_unhedged_pct,maxdd_hedged_pct,worst_unhedged_pct,worst_hedged_pct,armed_sharpe_unhedged,armed_sharpe_hedged,armed_sd_unhedged_bps,armed_sd_hedged_bps,armed_spy_ann_pct,drift_component_usd,calm_carry_bps_per_day,calm_carry_usd_per_year,false_alarm_episodes,false_alarm_usd,loyo_years_with_arming,loyo_years_hedged_not_worse,loyo_years_hedge_pnl_pos,beta_mean_armed,vintage,target,instrument,window,arming,mult
live|book|SPY|42|dial50_h45,2527,392,0.15512465373961218,10,19294.71326082594,0.6562827639736718,1179.9356485352275,1929.4713260825943,1561.1134431537928,0.6,0.3757836212161247,2.774985532961197,2.8228205203399246,35.815871867036016,36.07242207105807,12.906687779671694,12.778857816548046,36.4332631140778,-8.323155999999932,-8.023134554458933,-4.886210666666667,-4.886210666666667,1.8402397118732765,2.109955734024866,80.58551003581582,75.22187271956996,-9.656776604242623,56917.74439448756,-3.624873134784867,-68510.10224743398,4,-52636.94159713548,9,6,6,0.5052062406723161,live,book,SPY,42,dial50_h45,1.0
live|book|SPY|42|dial65_h60,2527,153,0.060546102097348634,7,59757.39128230468,5.207615798022195,631.6092061124474,8536.770183186383,13340.41134592403,0.7142857142857143,1.5576987096860044,2.774985532961197,2.8430288021808745,35.815871867036016,36.61042997826887,12.906687779671694,12.877263132257111,36.69408509836255,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.886210666666667,2.0446118373400926,3.2320017773754683,78.19334523861804,75.04432049659408,-28.741608001291752,61367.01690246205,-3.4841177325834476,-65849.82514582716,2,-17495.505319586166,6,4,4,0.4688908922949427,live,book,SPY,42,dial65_h60,1.0
live|book|SPY|42|dial50_nohyst,2527,349,0.13810842896715472,10,45267.59028422119,1.7294208322529587,1287.3534872577438,4526.759028422119,556.1037764730074,0.5,0.8911009496638899,2.774985532961197,2.848133966256298,35.815871867036016,36.41776780433313,12.906687779671694,12.78653610953635,36.75997585714803,-8.323155999999932,-8.414235560190741,-4.886210666666667,-4.886210666666667,2.0819696358825883,2.596748150553484,81.51290744035079,75.92615509793987,-10.85759288398549,54271.653783385824,-3.712966670153319,-70175.07006589773,4,-39877.450292319154,9,5,4,0.4812307305569016,live,book,SPY,42,dial50_nohyst,1.0
live|book|SPY|42|dial40_h35,2527,668,0.26434507320933914,13,-11306.406931346248,-0.225676785056811,1221.0601090991158,-869.7236101035562,-3270.5774399567595,0.38461538461538464,-0.15242434677289182,2.774985532961197,2.7944087432032534,35.815871867036016,35.66553737044193,12.906687779671694,12.763178420905682,36.06656117730916,-8.323155999999932,-8.009804866237902,-4.886210666666667,-4.886210666666667,2.4470898142397193,2.506854311554871,83.01956966711474,79.61126200889215,-7.431926764547825,66711.0243176439,-3.943860964502912,-74538.97222910504,6,-92208.22639435255,10,5,5,0.4515012974109275,live,book,SPY,42,dial40_h35,1.0
live|book|SPY|42|vix25_h20,2527,586,0.23189552829442026,15,-152853.1829393805,-3.477888121487611,982.2690506160562,-10190.212195958702,-7511.673423016196,0.0,-3.2421588161580344,2.774985532961197,2.675383720670856,35.815871867036016,33.78347497476724,12.906687779671694,12.627525058833802,34.530342373515126,-8.323155999999932,-8.323155999999932,-4.886210666666667,-3.669360231835435,3.383261449173571,3.0244181091858615,105.92270303332134,100.23562367292244,34.36483573168516,-140158.7140403747,-2.80327836448086,-52981.96108868826,14,-131588.3004955961,9,1,1,0.2338554487570601,live,book,SPY,42,vix25_h20,1.0
live|book|SPY|42|vixpct80_h60,2527,706,0.27938266719430155,21,-171764.12667326798,-3.243892855019224,2395.330067612576,-8179.244127298474,-9123.125703256495,0.19047619047619047,-2.4259590121639643,2.774985532961197,2.6376343315437505,35.815871867036016,33.532027523457934,12.906687779671694,12.71291745123456,34.043122794178245,-8.323155999999932,-7.8876973333333655,-4.886210666666667,-4.886210666666667,3.5758464121186706,3.1533847402262256,95.30391766429987,91.74172935690196,25.311967497691512,-134215.9406309897,-2.8598891831770845,-54051.90556204689,18,-155779.23177852467,10,3,2,0.2523554983331787,live,book,SPY,42,vixpct80_h60,1.0
live|book|SPY|42|spydd5_h3,2527,796,0.3149980213692125,14,-152348.0666340736,-2.5518939134685694,1021.798458215091,-10882.004759576683,-10206.723734729017,0.07142857142857142,-2.271762930206852,2.774985532961197,2.6640711382912845,35.815871867036016,33.79019120264944,12.906687779671694,12.68366700760184,34.38433440476018,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.886210666666667,3.438032629346791,3.119372732878303,86.47331188830843,82.32039894738702,21.03931016754359,-109334.11802059197,-3.1475593577678196,-59488.87186181179,13,-140640.53272935704,9,2,2,0.21935645525494432,live,book,SPY,42,spydd5_h3,1.0
live|book|SPY|42|always,2527,2527,1.0,1,-559997.8156829592,-2.9547437841074227,39.65388489340999,-559997.8156829592,-559997.8156829592,0.0,,2.774985532961197,2.341881619462849,35.815871867036016,28.36991753108531,12.906687779671694,12.114155256742842,30.225934879358906,-8.323155999999932,-13.333310042062973,-4.886210666666667,-3.669360231835435,2.774985532961197,2.341881619462849,81.30449074897075,76.31200512611281,15.896043414250016,-459166.05307325127,,,1,-559997.8156829592,11,3,1,0.3840738755053266,live,book,SPY,42,always,1.0
live|book|SPY|63|dial50_h45,2527,392,0.15512465373961218,10,35075.794753781,1.193054243325885,1030.398291004012,3507.5794753781024,7940.636685505916,0.7,0.7205494135559912,2.774985532961197,2.8352489355418466,35.815871867036016,36.282253625535034,12.906687779671694,12.796849395025383,36.593672788685126,-8.323155999999932,-8.123259733495436,-4.886210666666667,-4.886210666666667,1.8402397118732765,2.199577018464756,80.58551003581582,76.0308929109018,-9.656776604242623,55918.92932218626,-3.211896505379579,-60704.84395167405,4,-47379.58312415516,9,6,6,0.4963406819054959,live,book,SPY,63,dial50_h45,1.0
live|book|SPY|63|dial65_h60,2527,153,0.060546102097348634,7,58632.203961528976,5.109560258085313,587.8866144389226,8376.029137361284,11512.665882595351,0.7142857142857143,1.3708515889244686,2.774985532961197,2.8392326763774887,35.815871867036016,36.59546903882365,12.906687779671694,12.88921099820356,36.64508968784589,-8.323155999999932,-8.323155999999932,-4.886210666666667,-4.886210666666667,2.0446118373400926,3.1548592586773236,78.19334523861804,76.38590948994958,-28.741608001291752,69596.1335443651,-3.018359030918776,-57046.98568436487,2,-22580.031526057202,6,4,4,0.5317676303178118,live,book,SPY,63,dial65_h60,1.0
