acct,sym,strat,signal_date,ref,entry_day,entry_qty,entry_vwap,entry_comm,n_entry_fills,source,exit_qty,exit_dollars,exit_days,exit_kinds,remainder,mark_px,exit_vwap_realized,exit_vwap_blended,fully_closed,live_exit_kind,last_exit_day,Strategy,Ticker,Signal Date,ledger_R,ledger_entry,ledger_exit,ledger_exit_type,ledger_exit_date,rps,ledger_shares,ledger_open,size_mult,in_ledger,live_R,live_R_realized_only,entry_slip_bps,exit_diff_bps,shares_ratio,comm_R
PA (Gateway),ACHC,Oversold Low Volume,2026-08-19,ACHC|BUY|Oversold Low Volume|2026-08-20,2026-08-20,80.0,26.96,1.00024,1,broker,80.0,2274.4,['2026-08-24'],['manual/untagged'],0.0,28.25,28.43,28.43,True,manual/untagged,2026-08-24,Oversold Low Volume,ACHC,2026-08-19,1.9999993805618783,26.958571978977748,30.97285829271589,Target,2026-08-26,2.0089285714285716,700.0,False,0.5,True,0.7317333333333327,0.7317333333333327,0.5297094458001084,-820.9956823112818,0.11428571428571428,0.006223715555555555
PA (Gateway),CINF,Oversold Low Volume,2026-08-19,CINF|BUY|Oversold Low Volume|2026-08-20,2026-08-20,36.0,167.62,1.000108,1,broker,36.0,6173.64,['2026-08-24'],['manual/untagged'],0.0,170.38999938964844,171.49,171.49,True,manual/untagged,2026-08-24,Oversold Low Volume,CINF,2026-08-19,0.6350828319527235,167.61661284310478,170.38999938964844,Time,2026-09-01,4.36723602484472,322.0,True,0.5,True,0.8861440000000012,0.8861440000000012,0.20207763644419785,64.55781526450322,0.11180124223602485,0.006361180760493827
PA (Gateway),CMI,Oversold Low Volume,2026-08-21,CMI|BUY|Oversold Low Volume|2026-08-24,2026-08-24,6.0,580.83,1.000018,1,broker,6.0,3445.7999999999997,['2026-08-27'],['manual/untagged'],0.0,551.1500244140625,574.3,574.3,True,manual/untagged,2026-08-27,Oversold Low Volume,CMI,2026-08-21,-1.2129183169692501,582.5091465541294,551.1500244140625,Time,2026-09-01,26.041666666666668,54.0,True,0.5,True,-0.2507520000000033,-0.2507520000000033,-28.826097651212244,420.0303830259022,0.1111111111111111,0.0064001152000000006
PA (Gateway),CRS,Oversold Low Volume,2026-08-21,CRS|BUY|Oversold Low Volume|2026-08-24,2026-08-24,5.0,486.4049999999999,1.000015,1,broker,5.0,2442.0025,['2026-08-27'],['manual/untagged'],0.0,473.05999755859375,488.4005,488.4005,True,manual/untagged,2026-08-27,Oversold Low Volume,CRS,2026-08-21,-0.4439224563975185,486.2369956970215,473.05999755859375,Time,2026-09-01,29.920212765957448,47.0,True,0.5,True,0.066694044444448,0.066694044444448,3.455193752535113,324.2823853332943,0.10638297872340426,0.006684544711111111
PA (Gateway),D,Oversold Low Volume,2026-08-24,D|BUY|Oversold Low Volume|2026-08-25,2026-08-25,80.0,66.33,1.00024,1,broker,80.0,5317.64,['2026-08-27'],['manual/untagged'],0.0,66.37999725341797,66.4705,66.4705,True,manual/untagged,2026-08-27,Oversold Low Volume,D,2026-08-24,0.03788324093389526,66.32625034877232,66.37999725341797,Time,2026-09-01,1.4194304253785148,1387.0,True,0.5,True,0.09898336507936716,0.09898336507936716,0.5653344200773347,13.634038916350288,0.05767844268204758,0.00880846273015873
PA (Gateway),D,Oversold Low Volume,2026-08-28,D|BUY|Oversold Low Volume|2026-08-31,2026-08-31,268.0,64.84971791044775,1.340804,2,broker,134.0,8842.726999999999,['2026-08-31'],['manual/untagged'],134.0,66.37999725341797,65.9905,66.18524862670898,False,manual/untagged,2026-08-31,Oversold Low Volume,D,2026-08-28,1.2285475889944868,64.91999816894531,66.37999725341797,Time,2026-09-01,1.1885510996119018,2319.0,True,0.7,True,1.1236628502529875,0.9598090396994681,-10.825671669716375,-29.338450552429673,0.11556705476498491,0.004209326802721089
PA (Gateway),GL,LT Trend ST OS,2026-08-19,GL|BUY|LT Trend ST OS|2026-08-20,2026-08-20,99.0,170.49,1.000297,2,broker,99.0,16948.305,['2026-08-21'],['tagged_time_or_target_leg'],0.0,172.3000030517578,171.195,171.195,True,tagged_time_or_target_leg,2026-08-21,LT Trend ST OS,GL,2026-08-19,0.15186159731153512,170.4919716971261,171.0800018310547,Time,2026-08-21,3.8748564867967854,871.0,False,1.0,True,0.18194222222221812,0.18194222222221812,-0.1156475056551809,6.721894301757736,0.11366245694603903,0.0026075830512532734
PA (Gateway),LUV,Oversold Low Volume,2026-08-19,LUV|BUY|Oversold Low Volume|2026-08-20,2026-08-20,259.0,40.76926640926641,1.295777,4,broker,259.0,10706.871500000001,"['2026-08-25', '2026-08-26']","['manual/untagged', 'manual/untagged']",0.0,37.68000030517578,41.33927220077221,41.33927220077221,True,manual/untagged,2026-08-26,Oversold Low Volume,LUV,2026-08-19,-1.832097904701853,40.86000061035156,37.68000030517578,Time,2026-09-01,1.7361111111111112,2268.0,True,1.0,True,0.3283233359073406,0.3283233359073406,-22.20611838712694,971.1443380996432,0.11419753086419752,0.002881728
PA (Gateway),MOD,Oversold Low Volume,2026-08-20,MOD|BUY|Oversold Low Volume|2026-08-21,2026-08-24,10.0,187.78,1.00003,1,broker,10.0,1911.05,['2026-08-27'],['manual/untagged'],0.0,180.91000366210938,191.105,191.105,True,manual/untagged,2026-08-27,Oversold Low Volume,MOD,2026-08-20,-0.4629465868345503,187.77446937561035,180.91000366210938,Time,2026-09-01,14.960106382978724,94.0,True,0.5,True,0.222257777777777,0.222257777777777,0.29453548227476034,563.5396678744243,0.10638297872340426,0.006684644977777777
PA (Gateway),ON,Oversold Low Volume,2026-08-21,ON|BUY|Oversold Low Volume|2026-08-24,2026-08-24,36.0,72.69,1.000108,1,broker,36.0,2667.2580000000003,['2026-08-27'],['manual/untagged'],0.0,72.6500015258789,74.0905,74.0905,True,manual/untagged,2026-08-27,Oversold Low Volume,ON,2026-08-21,-0.14797790424614374,73.31339209420341,72.6500015258789,Time,2026-09-01,4.492811501597444,313.0,True,0.5,True,0.31172017777777955,0.31172017777777955,-85.03113502133286,198.2792076897577,0.11501597444089456,0.00618338378271605
