acct,sym,strat,signal_date,ref,entry_day,entry_qty,entry_vwap,entry_comm,n_entry_fills,source,exit_qty,exit_dollars,exit_days,exit_kinds,remainder,mark_px,exit_vwap_realized,exit_vwap_blended,fully_closed,live_exit_kind,last_exit_day,Strategy,Ticker,Signal Date,ledger_R,ledger_entry,ledger_exit,ledger_exit_type,ledger_exit_date,rps,ledger_shares,ledger_open,size_mult,in_ledger,live_R,live_R_realized_only,entry_slip_bps,exit_diff_bps,shares_ratio,comm_R
Primary (TWS),ACHC,Oversold Low Volume,2026-08-19,ACHC|BUY|Oversold Low Volume|2026-08-20,2026-08-20,700.0,26.96,3.5021,1,broker,700.0,20283.269999999997,"['2026-08-25', '2026-08-25', '2026-08-25', '2026-08-25', '2026-08-25', '2026-08-25']","['manual/untagged', 'manual/untagged', 'manual/untagged', 'manual/untagged', 'manual/untagged', 'manual/untagged']",0.0,28.25,28.976099999999995,28.976099999999995,True,manual/untagged,2026-08-25,Oversold Low Volume,ACHC,2026-08-19,1.9999993805618783,26.958571978977748,30.97285829271589,Target,2026-08-26,2.0089285714285716,700.0,False,0.5,True,1.003569777777775,1.003569777777775,0.5297094458001084,-644.6800207604631,1.0,0.0024903822222222217
Primary (TWS),CINF,Oversold Low Volume,2026-08-19,CINF|BUY|Oversold Low Volume|2026-08-20,2026-08-20,322.0,167.62,1.610966,1,broker,0.0,0.0,[],[],322.0,170.38999938964844,,170.38999938964844,False,open@mark,,Oversold Low Volume,CINF,2026-08-19,0.6350828319527235,167.61661284310478,170.38999938964844,Time,2026-09-01,4.36723602484472,322.0,True,0.5,True,0.634268304687499,,0.20207763644419785,0.0,1.0,0.0011455758222222222
Primary (TWS),CMI,Oversold Low Volume,2026-08-21,CMI|BUY|Oversold Low Volume|2026-08-24,2026-08-24,54.0,581.0012962962963,1.000162,2,broker,0.0,0.0,[],[],54.0,551.1500244140625,,551.1500244140625,False,open@mark,,Oversold Low Volume,CMI,2026-08-21,-1.2129183169692501,582.5091465541294,551.1500244140625,Time,2026-09-01,26.041666666666668,54.0,True,0.5,True,-1.1462888402777796,,-25.885434876908864,0.0,1.0,0.0007112263111111111
Primary (TWS),CRS,Oversold Low Volume,2026-08-21,CRS|BUY|Oversold Low Volume|2026-08-24,2026-08-24,47.0,486.405,1.000141,1,broker,0.0,0.0,[],[],47.0,473.05999755859375,,473.05999755859375,False,open@mark,,Oversold Low Volume,CRS,2026-08-21,-0.4439224563975185,486.2369956970215,473.05999755859375,Time,2026-09-01,29.920212765957448,47.0,True,0.5,True,-0.44601963715277687,,3.4551937525373333,0.0,1.0,0.0007112113777777777
Primary (TWS),D,Oversold Low Volume,2026-08-24,D|BUY|Oversold Low Volume|2026-08-25,2026-08-25,693.0,66.33,3.467079,2,broker,0.0,0.0,[],[],693.0,66.37999725341797,,66.37999725341797,False,open@mark,,Oversold Low Volume,D,2026-08-24,0.03788324093389526,66.32625034877232,66.37999725341797,Time,2026-09-01,1.4194304253785148,1387.0,True,0.5,True,0.035223461836558737,,0.5653344200773347,0.0,0.4996395097332372,0.0035246532063492064
Primary (TWS),D,Oversold Low Volume,2026-08-28,D|BUY|Oversold Low Volume|2026-08-31,2026-08-31,2319.0,64.85352307028892,11.601957000000002,7,broker,0.0,0.0,[],[],2319.0,66.37999725341797,,66.37999725341797,False,open@mark,,Oversold Low Volume,D,2026-08-28,1.2285475889944868,64.91999816894531,66.37999725341797,Time,2026-09-01,1.1885510996119018,2319.0,True,0.7,True,1.2843151494517098,,-10.239541055346857,0.0,1.0,0.0042093268027210895
Primary (TWS),GL,LT Trend ST OS,2026-08-19,GL|BUY|LT Trend ST OS|2026-08-20,2026-08-20,871.0,170.49,4.357613000000001,5,broker,871.0,149069.03,"['2026-08-21', '2026-08-21', '2026-08-21', '2026-08-21']","['tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg']",0.0,172.3000030517578,171.14699196326063,171.14699196326063,True,tagged_time_or_target_leg,2026-08-21,LT Trend ST OS,GL,2026-08-19,0.15186159731153512,170.4919716971261,171.0800018310547,Time,2026-08-21,3.8748564867967854,871.0,False,1.0,True,0.16955259259259334,0.16955259259259334,-0.1156475056551809,3.915719633442727,1.0,0.0012911445925925928
Primary (TWS),LUV,Oversold Low Volume,2026-08-17,LUV|BUY|Oversold Low Volume|sheets,2026-08-18,1069.0,42.98,,0,sheets_limit_proxy,1069.0,43727.87,"['2026-08-25', '2026-08-25', '2026-08-26', '2026-08-26', '2026-09-01', '2026-09-01']","['manual/untagged', 'manual/untagged', 'manual/untagged', 'manual/untagged', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg']",0.0,37.68000030517578,40.905397567820394,40.905397567820394,True,manual/untagged+tagged_time_or_target_leg,2026-09-01,Oversold Low Volume,LUV,2026-08-17,-2.8812211531127456,42.98196274893625,37.68000030517578,Time,2026-09-01,1.8416744621141254,1069.0,True,0.5,True,-1.1264761904761882,-1.1264761904761882,-0.45664479021434445,855.9971434505442,1.0,
Primary (TWS),LUV,Oversold Low Volume,2026-08-18,LUV|BUY|Oversold Low Volume|sheets,2026-08-19,1577.0,42.14,,0,sheets_limit_proxy,1577.0,59999.93499999999,"['2026-09-01', '2026-09-01', '2026-09-01', '2026-09-01', '2026-09-01', '2026-09-01', '2026-09-01', '2026-09-01', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02']","['tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg']",0.0,37.68000030517578,38.046883322764735,38.046883322764735,True,tagged_time_or_target_leg,2026-09-02,Oversold Low Volume,LUV,2026-08-18,-2.5527848500017187,42.14053733008249,37.68000030517578,Time,2026-09-01,1.7477805960684845,1577.0,True,0.7,True,-2.3418938775510254,-2.3418938775510254,-0.127509072387344,97.36810366706817,1.0,
Primary (TWS),LUV,Oversold Low Volume,2026-08-19,LUV|BUY|Oversold Low Volume|2026-08-20,2026-08-20,2268.0,40.73893650793651,11.346804,3,broker,914.0,35245.365000000005,"['2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02', '2026-09-02']","['tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg', 'tagged_time_or_target_leg']",1354.0,37.68000030517578,38.56166849015318,38.03531102875133,False,tagged_time_or_target_leg,2026-09-02,Oversold Low Volume,LUV,2026-08-19,-1.832097904701853,40.86000061035156,37.68000030517578,Time,2026-09-01,1.7361111111111112,2268.0,True,1.0,True,-1.557288276010662,-1.254106378243196,-29.629001616897632,94.2969003975147,1.0,0.002881728
