date,scenario,nlv_basis,nlv,m,maint_req,initial_req,maint_pct_nlv,initial_pct_nlv,past_70,past_85,past_100,initial_past_100
2013-11-04,pm,base_750k,750000.0000,1.0000,461023.9175,507126.3092,0.6147,0.6762,False,False,False,False
2013-11-04,pm,base_750k,750000.0000,1.2500,576286.4621,633915.1083,0.7684,0.8452,True,False,False,False
2013-11-04,pm,base_750k,750000.0000,1.5000,691532.7509,760686.0260,0.9220,1.0142,True,True,False,True
2013-11-04,pm,plan_live_632k,632000.0000,1.0000,461023.9175,507126.3092,0.7295,0.8024,True,False,False,False
2013-11-04,pm,plan_live_632k,632000.0000,1.2500,576286.4621,633915.1083,0.9118,1.0030,True,True,False,True
2013-11-04,pm,plan_live_632k,632000.0000,1.5000,691532.7509,760686.0260,1.0942,1.2036,True,True,True,True
2013-11-04,pm,live_nlv_2026-09-02,605462.5700,1.0000,461023.9175,507126.3092,0.7614,0.8376,True,False,False,False
2013-11-04,pm,live_nlv_2026-09-02,605462.5700,1.2500,576286.4621,633915.1083,0.9518,1.0470,True,True,False,True
2013-11-04,pm,live_nlv_2026-09-02,605462.5700,1.5000,691532.7509,760686.0260,1.1422,1.2564,True,True,True,True
2013-11-04,flat45,base_750k,750000.0000,1.0000,461023.9175,507126.3092,0.6147,0.6762,False,False,False,False
2013-11-04,flat45,base_750k,750000.0000,1.2500,576286.4621,633915.1083,0.7684,0.8452,True,False,False,False
2013-11-04,flat45,base_750k,750000.0000,1.5000,691532.7509,760686.0260,0.9220,1.0142,True,True,False,True
2013-11-04,flat45,plan_live_632k,632000.0000,1.0000,461023.9175,507126.3092,0.7295,0.8024,True,False,False,False
2013-11-04,flat45,plan_live_632k,632000.0000,1.2500,576286.4621,633915.1083,0.9118,1.0030,True,True,False,True
2013-11-04,flat45,plan_live_632k,632000.0000,1.5000,691532.7509,760686.0260,1.0942,1.2036,True,True,True,True
2013-11-04,flat45,live_nlv_2026-09-02,605462.5700,1.0000,461023.9175,507126.3092,0.7614,0.8376,True,False,False,False
2013-11-04,flat45,live_nlv_2026-09-02,605462.5700,1.2500,576286.4621,633915.1083,0.9518,1.0470,True,True,False,True
2013-11-04,flat45,live_nlv_2026-09-02,605462.5700,1.5000,691532.7509,760686.0260,1.1422,1.2564,True,True,True,True
2013-11-04,pm_rules3x,base_750k,750000.0000,1.0000,461023.9175,507126.3092,0.6147,0.6762,False,False,False,False
2013-11-04,pm_rules3x,base_750k,750000.0000,1.2500,576286.4621,633915.1083,0.7684,0.8452,True,False,False,False
2013-11-04,pm_rules3x,base_750k,750000.0000,1.5000,691532.7509,760686.0260,0.9220,1.0142,True,True,False,True
2013-11-04,pm_rules3x,plan_live_632k,632000.0000,1.0000,461023.9175,507126.3092,0.7295,0.8024,True,False,False,False
2013-11-04,pm_rules3x,plan_live_632k,632000.0000,1.2500,576286.4621,633915.1083,0.9118,1.0030,True,True,False,True
2013-11-04,pm_rules3x,plan_live_632k,632000.0000,1.5000,691532.7509,760686.0260,1.0942,1.2036,True,True,True,True
2013-11-04,pm_rules3x,live_nlv_2026-09-02,605462.5700,1.0000,461023.9175,507126.3092,0.7614,0.8376,True,False,False,False
2013-11-04,pm_rules3x,live_nlv_2026-09-02,605462.5700,1.2500,576286.4621,633915.1083,0.9518,1.0470,True,True,False,True
2013-11-04,pm_rules3x,live_nlv_2026-09-02,605462.5700,1.5000,691532.7509,760686.0260,1.1422,1.2564,True,True,True,True
2013-11-04,pm_conc_top,base_750k,750000.0000,1.0000,548778.1350,603655.9485,0.7317,0.8049,True,False,False,False
2013-11-04,pm_conc_top,base_750k,750000.0000,1.2500,685980.2251,754578.2476,0.9146,1.0061,True,True,False,True
2013-11-04,pm_conc_top,base_750k,750000.0000,1.5000,823164.0772,905480.4850,1.0976,1.2073,True,True,True,True
2013-11-04,pm_conc_top,plan_live_632k,632000.0000,1.0000,548778.1350,603655.9485,0.8683,0.9552,True,True,False,False
2013-11-04,pm_conc_top,plan_live_632k,632000.0000,1.2500,685980.2251,754578.2476,1.0854,1.1940,True,True,True,True
2013-11-04,pm_conc_top,plan_live_632k,632000.0000,1.5000,823164.0772,905480.4850,1.3025,1.4327,True,True,True,True
2013-11-04,pm_conc_top,live_nlv_2026-09-02,605462.5700,1.0000,548778.1350,603655.9485,0.9064,0.9970,True,True,False,False
2013-11-04,pm_conc_top,live_nlv_2026-09-02,605462.5700,1.2500,685980.2251,754578.2476,1.1330,1.2463,True,True,True,True
2013-11-04,pm_conc_top,live_nlv_2026-09-02,605462.5700,1.5000,823164.0772,905480.4850,1.3596,1.4955,True,True,True,True
2013-11-04,pm_conc_25,base_750k,750000.0000,1.0000,873794.8083,961174.2891,1.1651,1.2816,True,True,True,True
2013-11-04,pm_conc_25,base_750k,750000.0000,1.2500,1092262.7340,1201489.0074,1.4564,1.6020,True,True,True,True
2013-11-04,pm_conc_25,base_750k,750000.0000,1.5000,1310667.6812,1441734.4493,1.7476,1.9223,True,True,True,True
2013-11-04,pm_conc_25,plan_live_632k,632000.0000,1.0000,873794.8083,961174.2891,1.3826,1.5208,True,True,True,True
