Action,Quantity,Symbol,SecType,Exchange,Currency
Sell,16975,RETL,STK,SMART,USD
Sell,1868,SPXL,STK,SMART,USD
Sell,2750,TNA,STK,SMART,USD
Sell,3739,TECL,STK,SMART,USD
Sell,8692,TQQQ,STK,SMART,USD
Sell,4869,SOXL,STK,SMART,USD
Buy,2160,TBBK,STK,SMART,USD
Sell,209,QQQ,STK,SMART,USD
Sell,4876,DRN,STK,SMART,USD
Sell,958,NAIL,STK,SMART,USD
Sell,4214,WEBL,STK,SMART,USD
Sell,461,VNQ,STK,SMART,USD
Sell,431,IYR,STK,SMART,USD
Sell,956,XLRE,STK,SMART,USD
Sell,621,XLC,STK,SMART,USD
Sell,184,IWM,STK,SMART,USD
Sell,120,PSA,STK,SMART,USD
Sell,460,XLK,STK,SMART,USD
Sell,375,XLY,STK,SMART,USD
Sell,379,XHB,STK,SMART,USD
Sell,369,ITB,STK,SMART,USD
Sell,316,GWRE,STK,SMART,USD
Sell,138,NOVT,STK,SMART,USD
Sell,1325,SBGI,STK,SMART,USD
Sell,59,POOL,STK,SMART,USD
Sell,265,BLDR,STK,SMART,USD
Sell,96,ADSK,STK,SMART,USD
Sell,62,ZBRA,STK,SMART,USD
Sell,281,WSM,STK,SMART,USD
Sell,184,THO,STK,SMART,USD
Sell,721,UPBD,STK,SMART,USD
Sell,679,PSKY,STK,SMART,USD
Sell,312,MRVL,STK,SMART,USD
Sell,182,KMX,STK,SMART,USD
Sell,371,PAR,STK,SMART,USD
Sell,1064,CNK,STK,SMART,USD
Sell,169,BNS,STK,SMART,USD
Sell,81,MDT,STK,SMART,USD
Sell,31,TGT,STK,SMART,USD
Sell,185,WBD,STK,SMART,USD
Sell,128,NVDA,STK,SMART,USD
