symbol,sec_type,position,avg_cost,market_price,market_value,unrealized_pnl,con_id
AMZN,STK,65,230.0100031,256.3200073,16660.8,1710.15,3691937
CINF,STK,322,167.6250031,171.7115631,55291.12,1315.87,267661
CMI,STK,54,581.0198185,551.0499878,29756.7,-1618.37,6207
CRS,STK,47,486.4262787,460.99368285,21666.7,-1195.33,6077
D,STK,3012,65.1982334,66.05999755,198972.71,2595.63,6327
DX,FUT,2,99432.21,99.56500245,199130.0,265.58,814625534
FTI,STK,176,76.8132983,79.80000305,14044.8,525.66,262072228
LUV,STK,1354,43.17074225,38.7200012,52426.88,-6026.3,9282
MES,FUT,-5,38382.30666665,7672.63134765,-191815.78,95.75,793356217
MOD,STK,94,187.7906415,179.91000365,16911.54,-740.78,271952
NUE,OPT,-6,286.04286665,4.98e-05,-0.03,1716.23,787016811
NUE,OPT,6,635.94795,0.00090175,0.54,-3815.15,790773515
ON,STK,313,72.8000029,72.3899994,22658.07,-128.33,8677881
POWI,STK,637,54.432033,50.29999925,32041.1,-2632.11,4816793
SPY,OPT,-5,828.28936,1.9509479,-975.47,3165.97,882127272
SPY,OPT,6,1160.41411665,2.9163921,1749.84,-5212.65,882127559
TLT,OPT,30,68.72358665,0.86231835,2586.96,525.25,814394061
TLT,OPT,-30,22.30598335,0.35365955,-1060.98,-391.8,817016888
UNH,STK,139,386.2750031,399.519989,55533.28,1841.05,13272
UVXY,STK,1800,24.0075227,18.01758385,32431.65,-10781.89,829567196
WERN,STK,889,37.32500305,37.88000105,33675.32,493.39,276009
WWD,STK,96,340.2554198,335.63516235,32220.98,-443.54,6761574
