date,dial_pit,dial_cur,dial_live,armed_pit,armed_cur,armed_live,beta_hat,spy_pct,book_usd,hedge_usd,hedged_usd,hedge_cur_usd,hedge_live_usd,cum_book,cum_hedge_pit,cum_hedge_cur,cum_hedge_live
2026-07-15,29.56,26.25,29.45,0.0,0.0,0.0,0.03,0.4,-12.92,-0.0,-12.92,-0.0,-0.0,-12.92,-0.0,-0.0,-0.0
2026-07-16,32.74,29.45,32.13,0.0,0.0,0.0,0.03,-0.54,-3155.88,0.0,-3155.88,0.0,0.0,-3168.79,0.0,0.0,0.0
2026-07-17,36.02,32.68,34.92,0.0,0.0,0.0,0.04,-0.99,5243.51,0.0,5243.51,0.0,0.0,2074.72,0.0,0.0,0.0
2026-07-20,39.31,35.87,37.75,0.0,0.0,0.0,0.03,-0.16,592.24,0.0,592.24,0.0,0.0,2666.96,0.0,0.0,0.0
2026-07-21,42.49,38.9,40.49,0.0,0.0,0.0,0.03,0.83,16270.4,-0.0,16270.4,-0.0,-0.0,18937.36,0.0,0.0,0.0
2026-07-22,45.42,41.72,42.89,0.0,0.0,0.0,0.04,-0.12,3397.24,0.0,3397.24,0.0,0.0,22334.6,0.0,0.0,0.0
2026-07-23,48.15,44.33,44.97,0.0,0.0,0.0,0.04,-1.23,-11018.93,0.0,-11018.93,0.0,0.0,11315.67,0.0,0.0,0.0
2026-07-24,50.39,46.55,46.55,1.0,0.0,0.0,0.06,0.1,671.75,-56.71,615.04,-0.0,-0.0,11987.42,-56.71,0.0,0.0
2026-07-27,52.2,48.44,47.68,1.0,0.0,0.0,0.06,0.02,-1218.32,-10.26,-1228.57,-0.0,-0.0,10769.1,-66.96,0.0,0.0
2026-07-28,53.67,50.06,48.49,1.0,1.0,0.0,0.06,0.24,-8328.47,-113.7,-8442.17,-123.19,-0.0,2440.64,-180.66,-123.19,0.0
2026-07-29,54.99,51.54,49.29,1.0,1.0,0.0,0.06,-1.54,-18732.76,661.09,-18071.68,661.09,0.0,-16292.13,480.43,537.9,0.0
2026-07-30,55.96,52.69,49.89,1.0,1.0,0.0,0.1,1.68,40742.77,-1252.45,39490.31,-1252.45,-0.0,24450.64,-772.03,-714.56,0.0
2026-07-31,56.73,53.71,50.28,1.0,1.0,1.0,0.18,0.72,668.04,-973.58,-305.54,-973.58,-1000.62,25118.68,-1745.61,-1688.14,-1000.62
2026-08-03,57.79,55.03,50.9,1.0,1.0,1.0,0.18,1.42,5669.87,-1903.36,3766.51,-1903.36,-1903.36,30788.54,-3648.97,-3591.5,-2903.98
2026-08-04,59.29,56.81,51.59,1.0,1.0,1.0,0.19,1.8,3004.4,-2604.96,399.44,-2604.96,-2604.96,33792.94,-6253.93,-6196.46,-5508.95
2026-08-05,61.01,58.74,52.95,1.0,1.0,1.0,0.19,-0.2,-2809.74,286.93,-2522.81,286.93,286.93,30983.2,-5966.99,-5909.52,-5222.01
2026-08-06,62.98,60.87,54.68,1.0,1.0,1.0,0.19,-0.16,-889.43,228.32,-661.1,228.32,228.32,30093.77,-5738.67,-5681.2,-4993.69
2026-08-07,65.65,63.56,57.18,1.0,1.0,1.0,0.19,0.61,3629.89,-871.19,2758.7,-871.19,-871.19,33723.66,-6609.86,-6552.39,-5864.88
2026-08-10,68.77,66.61,60.24,1.0,1.0,1.0,0.19,-0.03,-3776.66,41.96,-3734.71,41.96,41.96,29947.0,-6567.9,-6510.43,-5822.92
2026-08-11,72.21,69.91,63.69,1.0,1.0,1.0,0.22,-0.32,686.02,524.57,1210.59,524.57,524.57,30633.02,-6043.33,-5985.87,-5298.35
2026-08-12,75.9,73.45,67.93,1.0,1.0,1.0,0.22,0.25,733.27,-410.86,322.41,-410.86,-410.86,31366.29,-6454.2,-6396.73,-5709.22
2026-08-13,80.44,77.83,72.24,1.0,1.0,1.0,0.22,0.7,416.1,-1138.15,-722.05,-1138.15,-1138.15,31782.39,-7592.35,-7534.88,-6847.37
2026-08-14,85.19,82.41,76.75,1.0,1.0,1.0,0.22,-0.2,125.4,320.84,446.24,320.84,320.84,31907.79,-7271.51,-7214.04,-6526.53
2026-08-17,89.44,86.54,80.82,1.0,1.0,1.0,0.23,-0.47,530.21,805.02,1335.22,805.02,805.02,32438.0,-6466.49,-6409.02,-5721.51
2026-08-18,92.95,89.97,84.82,1.0,1.0,1.0,0.23,-0.68,-525.91,1152.06,626.15,1152.06,1152.06,31912.09,-5314.43,-5256.96,-4569.45
2026-08-19,95.67,92.67,86.82,1.0,1.0,1.0,0.23,0.21,-1959.68,-358.2,-2317.88,-358.2,-358.2,29952.42,-5672.64,-5615.17,-4927.65
2026-08-20,97.49,94.47,88.08,1.0,1.0,1.0,0.23,-0.84,-7032.86,1419.37,-5613.49,1419.37,1419.37,22919.55,-4253.27,-4195.8,-3508.28
2026-08-21,98.39,95.36,89.15,1.0,1.0,1.0,0.23,0.41,5845.59,-713.11,5132.48,-713.11,-713.11,28765.14,-4966.37,-4908.9,-4221.39
2026-08-24,98.57,95.51,89.54,1.0,1.0,1.0,0.24,-0.29,2769.34,520.26,3289.6,520.26,520.26,31534.48,-4446.11,-4388.65,-3701.13
2026-08-25,98.33,95.21,89.5,1.0,1.0,1.0,0.24,0.32,4488.23,-569.73,3918.49,-569.73,-569.73,36022.71,-5015.85,-4958.38,-4270.87
2026-08-26,98.24,95.0,88.94,1.0,1.0,1.0,0.24,0.02,4739.36,-40.25,4699.11,-40.25,-40.25,40762.08,-5056.1,-4998.63,-4311.12
2026-08-27,97.77,94.42,88.6,1.0,1.0,1.0,0.25,0.66,-6620.95,-1212.71,-7833.66,-1212.71,-1212.71,34141.13,-6268.82,-6211.35,-5523.83
2026-08-28,97.07,93.63,88.06,1.0,1.0,1.0,0.24,-0.23,-10913.01,414.46,-10498.54,414.46,414.46,23228.12,-5854.35,-5796.88,-5109.37
2026-08-31,96.42,92.87,87.6,1.0,1.0,1.0,0.25,-0.3,-3523.49,557.02,-2966.47,557.02,557.02,19704.63,-5297.33,-5239.86,-4552.35
2026-09-01,96.1,92.44,87.12,1.0,1.0,1.0,0.25,-0.69,-4536.63,1290.84,-3245.79,1290.84,1290.84,15168.0,-4006.5,-3949.03,-3261.51
