,rows_live,grm_step,tilt_ne1,olv_ladder_up,adds,ovs_ext,flow_up,relief_day,pullback,p2cap_relax,clamp_ext,iob_clone
frag_band_dial50,17,17,12,0,1,0,0,8,0,0,0,4
pc_fear_boost,48,48,39,0,3,0,1,6,0,0,3,8
olv_recency_ladder,264,72,264,142,0,0,96,114,104,0,0,0
earnings_override,68,14,68,26,0,0,21,30,16,0,0,0
cycle_tilt_ovs,525,525,0,0,0,172,72,138,0,295,0,0
same_day_derate,20,20,0,0,0,0,0,9,0,0,0,0
gap_derate,109,109,109,0,0,0,27,32,0,0,3,0
overlap_clamp_live,188,188,188,0,0,0,99,101,0,0,4,50
ticker_cap_olv,0,0,0,0,0,0,0,0,0,0,0,0
adv_cap,0,0,0,0,0,0,0,0,0,0,0,0
per_strat_cap_bound,1244,1207,141,22,75,295,656,760,23,206,4,0
ovs_p2,1183,1183,0,0,0,391,212,280,0,495,0,0
ovs_p2_capped,495,495,0,0,0,152,139,185,0,495,0,0
ovs_scaleout,2426,2426,0,0,0,748,672,822,0,478,0,0
wcds_legacy_sznl_mult,153,153,153,0,153,0,36,45,0,0,8,0
