Ticker,Tier,Signal Date,Entry Date,ExitDate,Size_Mult,rung_ladder,n_open,n_working,f5_brief,spy_hi252_dist,tilt,ladder,flow,pullback,clip,study_C_grm1.875,ship_grm1.875,ship_noclip,Risk,PnL
EWZ,Overflow,2026-06-05,2026-06-08,2026-06-15,0.7,0.7,3.0,0.0,9.0,-3.005002019493852,1.17,1.4285714285714286,1.2,1.15,0.929,2.1,2.14,2.31,1968.7499999999995,3937.0
WLK,Overflow,2026-06-05,2026-06-08,2026-06-22,0.5,0.5,4.0,0.0,9.0,-3.005002019493852,1.17,2.0,1.2,1.15,0.929,2.1,3.0,3.23,1406.25,-2174.0
LYB,Overflow,2026-06-04,2026-06-05,2026-06-22,0.5,0.5,1.0,0.0,5.0,-0.4352997063264086,1.17,1.4,1.0,1.0,1.0,2.1,1.64,1.64,1406.25,-3007.0
LYB,Overflow,2026-06-08,2026-06-09,2026-06-22,1.0,1.0,5.0,0.0,10.0,-2.7853886018785357,1.17,1.0,1.2,1.0,1.0,2.02,1.4,1.4,2812.5,-4546.0
EWZ,Overflow,2026-06-04,2026-06-05,2026-06-22,0.5,0.5,2.0,0.0,5.0,-0.4352997063264086,1.17,1.4,1.0,1.0,1.0,2.1,1.64,1.64,1406.25,454.0
LYB,Overflow,2026-06-05,2026-06-08,2026-06-22,0.7,0.7,5.0,0.0,9.0,-3.005002019493852,1.17,1.4285714285714286,1.2,1.15,0.929,2.1,2.14,2.31,1968.7499999999998,-3058.0
GLNG,Overflow,2026-06-17,2026-06-18,2026-07-06,0.5,0.5,5.0,0.0,8.0,-2.556552869254536,1.17,2.0,1.2,1.0,1.0,2.1,2.81,2.81,1406.25,378.0
BP,Overflow,2026-06-18,2026-06-24,2026-07-07,0.5,0.5,3.0,0.0,11.0,-1.5434340859176943,1.17,2.0,1.2,1.0,1.0,2.1,2.81,2.81,1406.25,543.0
AKAM,Overflow,2026-06-18,2026-06-22,2026-07-07,0.5,0.5,6.0,0.0,11.0,-1.5434340859176943,1.17,2.0,1.2,1.0,1.0,2.1,2.81,2.81,1406.25,-1238.0
OXY,Liquid,2026-06-18,2026-06-22,2026-07-07,0.5,0.5,7.0,0.0,11.0,-1.5434340859176943,1.17,2.0,1.2,1.0,1.0,2.1,3.51,3.51,1968.75,283.0
DBC,Overflow,2026-06-29,2026-07-01,2026-07-08,1.0,1.0,12.0,0.0,11.0,-2.300243329091556,1.17,1.0,1.2,1.0,1.0,1.5,1.28,1.28,2812.5,5625.0
OXY,Liquid,2026-06-29,2026-06-30,2026-07-08,1.0,1.0,10.0,0.0,11.0,-2.300243329091556,1.17,1.0,1.2,1.0,1.0,1.5,1.61,1.61,558.7688554242803,1114.0
OXY,Liquid,2026-06-26,2026-06-29,2026-07-08,1.0,1.0,9.0,0.0,9.0,-3.883745396185745,1.17,1.0,1.2,1.15,0.929,2.1,1.88,2.02,3937.5,7871.0
OXY,Liquid,2026-06-22,2026-06-24,2026-07-08,0.7,0.7,4.0,1.0,11.0,-1.85327489958661,1.17,1.4285714285714286,1.2,1.0,1.0,2.1,2.51,2.51,2756.25,3085.0
OXY,Liquid,2026-06-24,2026-06-25,2026-07-10,1.0,1.0,5.0,0.0,9.0,-3.3233891669666282,1.17,1.0,1.2,1.15,0.929,2.1,1.88,2.02,3937.5,3865.0
USO,Liquid,2026-06-24,2026-06-26,2026-07-10,1.0,1.0,6.0,0.0,9.0,-3.3233891669666282,1.17,1.0,1.2,1.15,0.929,2.1,1.88,2.02,3937.5,2190.0
USO,Liquid,2026-06-29,2026-06-30,2026-07-13,1.0,1.0,11.0,0.0,11.0,-2.300243329091556,1.17,1.0,1.2,1.0,1.0,1.5,1.61,1.61,3937.5,7868.0
OXY,Liquid,2026-06-25,2026-06-26,2026-07-13,1.0,1.0,7.0,1.0,8.0,-3.1836300528689687,1.17,1.0,1.2,1.15,0.929,2.1,1.88,2.02,3937.5,6990.0
USO,Liquid,2026-06-25,2026-06-26,2026-07-13,1.0,1.0,8.0,1.0,8.0,-3.1836300528689687,1.17,1.0,1.2,1.15,0.929,2.1,1.88,2.02,3937.5,7116.0
