strategy,dim,cell,N,n_years,avgR,sdR,win,R_per_risk,sum_pnl,avgR_rest,sdR_rest,R_per_risk_rest,flow_ratio,sig_share,sess_share,t_episode,p_episode,n_episodes,t_year,p_year,n_years_paired,worst_R,pnl_share,q_p_episode_fam_dim,bonf_p_episode_fam_dim,q_p_year_fam_dim,bonf_p_year_fam_dim,q_p_episode_fam_strat,bonf_p_episode_fam_strat,q_p_year_fam_strat,bonf_p_year_fam_strat,survives_fdr10_year,survives_bonf05_year,survives_fdr10_episode,survives_fdr10_strat_year
3x Bear ETF Overbot Fade,month,Jan,1,1,-3.502577777777778,,0.0,-3.502577777777778,-9851.0,0.7326358664837678,1.51960888804073,0.7570713450292398,0.22272727272727275,0.01818181818181818,0.08163265306122448,,,0,,,1,-3.502577777777778,-0.097147027208268,,,,,,,,,False,False,False,False
3x Bear ETF Overbot Fade,month,Feb,3,2,-0.7472592592592594,1.6296544493732836,0.3333333333333333,-0.7472592592592593,-6305.0,0.7365680151946818,1.5869727424510693,0.7621129906025429,0.6972332015810276,0.05454545454545454,0.0782312925170068,-1.548469793069962,0.36504808228292596,2,,,2,-1.8734222222222223,-0.062177647604114275,0.9050531339660743,1.0,,,0.6270706983333965,1.0,,,False,False,False,False
3x Bear ETF Overbot Fade,month,Mar,10,3,0.5205017283950617,1.2718034898367998,0.6,0.5459229024943311,15047.0,0.6856609272976681,1.6869725557105133,0.7066595064569748,2.024793388429752,0.18181818181818182,0.08979591836734693,-0.3419502019743343,0.7549413903766692,4,-0.8924157302177833,0.4663369709454145,3,-1.5427555555555557,0.1483881147500567,0.960040566766348,1.0,0.9970919107269445,1.0,0.7549413903766692,1.0,0.6217826279272193,1.0,False,False,False,False
3x Bear ETF Overbot Fade,month,Apr,14,4,0.5150660619803477,1.8345625443969746,0.6428571428571429,0.6343891233005157,21143.0,0.7036301010883125,1.548184120921371,0.689296833064949,3.0175953079178885,0.2545454545454545,0.08435374149659863,-0.3806474763458785,0.7288192489882472,4,1.6673351835334633,0.1940389068198867,4,-3.069460317460318,0.2085046793487372,0.960040566766348,1.0,0.9970919107269445,1.0,0.7549413903766692,1.0,0.6217826279272193,0.7761556272795468,False,False,False,False
3x Bear ETF Overbot Fade,month,May,2,2,2.5756444444444444,0.3399140864583864,1.0,2.5756444444444444,14488.0,0.5831786815746565,1.594657179709426,0.6029875338753388,0.4242424242424242,0.03636363636363636,0.08571428571428572,6.9601446755032494,0.09084477159485776,2,,,2,2.335288888888889,0.14287545733360946,0.8389424383146786,1.0,,,0.4088014721768599,0.8176029443537198,,,False,False,False,False
3x Bear ETF Overbot Fade,month,Jun,2,2,-0.39082666666666666,0.3958289480178135,0.0,-0.4219259259259259,-2670.0,0.695120987654321,1.6265207066302412,0.7255633986928105,0.4310850439882698,0.03636363636363636,0.08435374149659863,-3.446601575795018,0.1797733796388597,2,,,2,-0.67072,-0.026330581935445695,0.8389424383146786,1.0,,,0.539320138916579,1.0,,,False,False,False,False
3x Bear ETF Overbot Fade,month,Jul,11,3,0.9361641301907969,1.4421185016722171,0.8181818181818182,0.8685800376647834,28826.0,0.5854989450056117,1.6574001755046872,0.6225610507974803,2.3520000000000003,0.2,0.08503401360544217,1.012030068776919,0.4180471322222643,3,0.9879017631188708,0.4273345881073016,3,-2.2402844444444443,0.2842716684910703,0.9050531339660743,1.0,0.9970919107269445,1.0,0.6270706983333965,1.0,0.6217826279272193,1.0,False,False,False,False
3x Bear ETF Overbot Fade,month,Sep,6,3,0.47502560846560854,1.1807978256035323,0.6666666666666666,0.471850540806293,7498.0,0.6777470481949394,1.663380121856197,0.701437908496732,1.4447174447174447,0.10909090909090909,0.07551020408163266,-0.5502088614150962,0.6374181246886522,3,-0.2089598537780692,0.853830054543684,3,-1.0734222222222223,0.07394258552508308,0.9476658844928635,1.0,0.9970919107269445,1.0,0.7549413903766692,1.0,0.853830054543684,1.0,False,False,False,False
3x Bear ETF Overbot Fade,month,Oct,3,2,1.7827555555555554,1.2531432858276081,1.0,1.824735632183908,14883.0,0.5906056220322887,1.6138327402558799,0.6109764978483946,0.6074380165289256,0.05454545454545454,0.08979591836734693,1.8934379700162065,0.3093368718568926,2,,,2,0.5653333333333334,0.14677080559746752,0.9050531339660743,1.0,,,0.6270706983333965,1.0,,,False,False,False,False
3x Bear ETF Overbot Fade,month,Nov,3,1,2.174103703703704,0.3070242981765156,1.0,2.174103703703704,18344.0,0.5680278442545109,1.6118083176392193,0.5877032614704256,0.6572280178837555,0.05454545454545454,0.08299319727891157,7.372689329011811,0.08582462979956974,1,,,1,1.8208,0.1809019457018037,0.8389424383146786,1.0,,,0.4088014721768599,0.7724216681961277,,,False,False,False,False
3x Bear ETF Overbot Fade,quarter,Q1,14,5,-0.03852416225749565,1.6756304790031935,0.5,-0.028573268921095008,-1109.0,0.8926609093646493,1.5366284650620006,0.9239217011688494,1.019568986871439,0.2545454545454545,0.24965986394557824,-1.6544790540840721,0.15893544203541385,6,-2.148961572565969,0.09809583464465842,5,-3.502577777777778,-0.010936560062325571,0.7975772600853813,1.0,0.9946099448218757,1.0,0.3178708840708277,0.6357417681416554,0.15965158696971538,0.29428750393397524,False,False,False,False
3x Bear ETF Overbot Fade,quarter,Q2,18,5,0.6433644679600236,1.7799907431653013,0.6111111111111112,0.7279171842650104,32961.0,0.6615999618666286,1.5467962625834717,0.655045311799013,1.2863393291200778,0.32727272727272727,0.254421768707483,-0.03590894431554176,0.9723575159211177,8,2.0765777014354243,0.10643439131314358,5,-3.069460317460318,0.325049554746901,0.9860913091107555,1.0,0.9946099448218757,1.0,0.9723575159211177,1.0,0.15965158696971538,0.31930317393943075,False,False,False,False
3x Bear ETF Overbot Fade,quarter,Q3,17,5,0.773409357817201,1.3368351782264574,0.7647058823529411,0.7401260744985674,36324.0,0.602942103406665,1.7325479908262098,0.6463463687150838,1.3094052921142258,0.3090909090909091,0.23605442176870747,0.4687234596285416,0.6589920638708059,6,0.12610702335752558,0.905731785797274,5,-2.2402844444444443,0.35821425401615337,0.9860913091107555,1.0,0.9946099448218757,1.0,0.8786560851610745,1.0,0.9057317857972741,1.0,False,False,False,False
3x Bear ETF Overbot Fade,quarter,Q4,6,2,1.9784296296296298,0.8436817040282041,1.0,2.0023804143126176,33227.0,0.4936567598891408,1.6115196012784763,0.5119399272556612,0.41980009519276534,0.10909090909090909,0.2598639455782313,4.081965583211286,0.055101648580586006,3,,,2,0.5653333333333334,0.3276727512992712,0.7975772600853813,1.0,,,0.22040659432234402,0.22040659432234402,,,False,False,False,False
3x Bear ETF Overbot Fade,half,MayOct,24,7,0.9527442210464433,1.3752229873376585,0.75,0.9109304426377597,63025.0,0.4256096034590658,1.758235699505788,0.47628311033546633,0.8799102132435466,0.43636363636363634,0.4959183673469388,1.2988017953247697,0.22057801586766188,12,0.9919620224660917,0.36676323605058075,6,-2.2402844444444443,0.6215299350117847,0.48143622665871727,1.0,0.5134685304708131,1.0,0.2231611565442604,0.44115603173532375,0.36676323605058075,0.7335264721011615,False,False,False,False
3x Bear ETF Overbot Fade,half,NovApr,31,6,0.4256096034590658,1.758235699505788,0.6129032258064516,0.47628311033546633,38378.0,0.9527442210464433,1.3752229873376585,0.9109304426377597,1.1181450128818549,0.5636363636363636,0.5040816326530613,-1.2988017953247686,0.2231611565442604,11,-0.9919620224660917,0.36676323605058075,6,-3.502577777777778,0.37847006498821534,0.48143622665871727,1.0,0.5134685304708131,1.0,0.2231611565442604,0.4463223130885208,0.36676323605058075,0.7335264721011615,False,False,False,False
3x Bear ETF Overbot Fade,wom,W1,9,4,0.8827303155006858,1.8453260268171752,0.5555555555555556,0.9192727272727272,22752.0,0.6111996994095547,1.5790453961765367,0.6291293588301462,0.6872727272727273,0.16363636363636364,0.23809523809523808,0.38152217188227966,0.7222164594481003,5,0.369696502579565,0.7361639626560508,4,-1.5427555555555557,0.2243720599982249,0.9540913465601865,1.0,0.8801960423061476,1.0,0.7396495009054596,1.0,0.7361639626560508,1.0,False,False,False,False
