combo,k,N,dates,raw_mean%,exc_mean%,exc_med%,hit_exc%,t_clust,t_nonovl,exc_pre16%,exc_post16%
"consol_user      mom[50,90] ac63>80 rvroc<20",5,10584,4417,0.35781641490757465,-0.007815054414095357,-0.0401411612983793,49.31027966742253,-0.2577220084850689,-0.7426074110088844,0.009178309846902266,-0.023381020582746714
"consol_user      mom[50,90] ac63>80 rvroc<20",21,10490,4393,1.1519788764417171,-0.20940518006682396,-0.3023974597454071,48.15061963775024,-2.3404397757732975,-0.28006818640649483,0.09580703335814178,-0.4911179654300213
"consol_user      mom[50,90] ac63>80 rvroc<20",63,10419,4361,4.320371523499489,-0.029352190904319286,-1.0803688317537308,46.08887609175545,-0.8613501244711951,0.05433466444540696,1.1952574364840984,-1.170186884701252
"consol_loose     mom[50,90] ac63>70 rvroc<30",5,19257,5099,0.29305932112038136,-0.033049428020603955,-0.046696607023477554,49.187308511190736,-1.8789629649137696,-2.3135186528580785,0.017110838962253183,-0.08012454491108656
"consol_loose     mom[50,90] ac63>70 rvroc<30",21,19113,5074,1.2960736639797688,-0.06468042265623808,-0.293007493019104,47.95688798200178,-0.2951529093290951,-1.168492137551861,0.5208131391555071,-0.6228290498256683
"consol_loose     mom[50,90] ac63>70 rvroc<30",63,19039,5042,4.253172129392624,-0.05558878765441477,-0.9812973439693451,46.541309942749095,0.3427068337347837,-0.559514241983557,1.0755699127912521,-1.1451075784862041
"consol_ac126     mom[50,90] ac126>80 rvroc<20",5,9435,4207,0.332949566654861,-0.03971295664086938,-0.06745140999555588,49.08320084790673,-0.6262952037562431,-1.642221610814308,0.03323252312839031,-0.10864349314942956
"consol_ac126     mom[50,90] ac126>80 rvroc<20",21,9376,4178,1.1863433755934238,-0.2905596513301134,-0.28542494401335716,48.229522184300336,-3.1959538775263403,-1.003332209063439,0.104816525708884,-0.6690972484648228
"consol_ac126     mom[50,90] ac126>80 rvroc<20",63,9343,4153,3.882265090942383,-0.48496825620532036,-1.0823138058185577,46.248528309964684,-2.1460280232142606,0.0505897992897345,0.35150134935975075,-1.2889552861452103
"consol_no_ac     mom[50,90] rvroc<20",5,40790,5368,0.28392395470291376,-0.07158692460507154,-0.09045713813975453,48.5364059818583,-2.6564574361857223,-2.379600479718117,-0.05568404449149966,-0.08686899673193693
"consol_no_ac     mom[50,90] rvroc<20",21,40576,5350,1.1083302088081837,-0.32796701416373253,-0.3620401956140995,47.569992113564666,-3.716493115944357,-0.17145259582897232,-0.10018217144533992,-0.5479391198605299
"consol_no_ac     mom[50,90] rvroc<20",63,40334,5312,3.732619807124138,-0.530711468309164,-1.1066004633903503,46.00337184509347,-2.4669199741631163,-0.5425603277100586,0.05083954310975969,-1.0993163101375103
"consol_sigma     mom[50,90] sigmad<20",5,19004,5131,0.2517781453207135,-0.06694102194160223,-0.06444950122386217,48.87392127973058,-1.7035301303997799,0.3285694588996792,-0.12509266380220652,-0.01296666159760207
"consol_sigma     mom[50,90] sigmad<20",21,18922,5108,1.4003208838403225,-0.07561817183159292,-0.26506315916776657,48.129161822217526,0.1486572847139574,-1.1604924394623843,0.2639115322381258,-0.38899309001863003
"consol_sigma     mom[50,90] sigmad<20",63,18825,5081,3.9268847554922104,-0.5197078920900822,-1.1111453175544739,45.800796812749006,-1.3705511848134688,0.8347541946441187,-0.17407634295523167,-0.8434707298874855
coil_rvroc       mom>80 rvroc<10,5,13803,4745,0.28849542140960693,-0.056175008649006486,-0.11591287329792976,48.47496920959212,-0.8706818977539932,-1.244432557511671,-0.00476719687867444,-0.10520342038944364
coil_rvroc       mom>80 rvroc<10,21,13705,4728,1.2006060220301151,-0.2662148093804717,-0.5694810301065445,47.31120029186428,-1.628718807907105,-0.013794208634334133,-0.08549627964384854,-0.4402803722769022
coil_rvroc       mom>80 rvroc<10,63,13673,4710,4.506747052073479,0.21172466222196817,-1.3048086315393448,46.49308856871206,1.3647059246072901,-0.3164725424742016,0.07412211271002889,0.3454966936260462
coil_sigma       mom>80 sigmad<20,5,9764,4340,0.19803678151220083,-0.02760268689598888,-0.027115305420011282,49.6517820565342,-0.6160007871057375,0.5213966415954674,0.07724737515673041,-0.12392295757308602
coil_sigma       mom>80 sigmad<20,21,9732,4318,1.460484229028225,0.015311097376979887,-0.14814226888120174,49.21907110563091,0.8347731639513134,1.3048433273606035,0.11514580110087991,-0.07573646726086736
coil_sigma       mom>80 sigmad<20,63,9652,4296,4.351964592933655,-0.008462130790576339,-0.8753275498747826,47.02652300041442,-0.2000260778540693,-0.8461643283535037,-0.45442115515470505,0.40217512287199497
"mom_9dec         mom[80,90]",5,18496,5158,0.3208601148799062,0.03201279614586383,-0.035603600554168224,49.50259515570934,0.5714729902676853,-0.9345271760861564,0.08675582939758897,-0.020799653430003673
"mom_9dec         mom[80,90]",21,18410,5133,1.3418537564575672,0.002436640534142498,-0.3084043972194195,48.202064095600214,0.23311527841145305,0.7136375282808629,0.0519259599968791,-0.045382388634607196
"mom_9dec         mom[80,90]",63,18342,5103,4.2378392070531845,0.08836506167426705,-0.9006001055240631,47.11045687493185,0.01538472452183842,-1.6689048724965816,0.08170349756255746,0.09488154319114983
mom_10dec        mom>90,5,8753,4230,0.2535516628995538,-0.04859690379817039,0.0,49.982863018393694,0.27338716094568183,-0.5613336945966274,0.08208323270082474,-0.17853268655017018
